"","Invaded.Range.Cluster","Geographic.Origin.Cluster","number_of_exotic_trees"
"1","Europe","SE.North.America",141
"2","Australia","SE.North.America",65
"3","Europe","N.North.America",76
"4","Australia","N.North.America",20
"5","Europe","Carribbean",5
"6","Australia","Carribbean",22
"7","Europe","W.North.America",77
"8","Australia","W.North.America",32
"9","Europe","C.America",28
"10","Australia","C.America",66
"11","Europe","SE.Asia",94
"12","Australia","SE.Asia",102
"13","Europe","Amazonia",15
"14","Australia","Amazonia",61
"15","Europe","Arabia.Sahara",19
"16","Australia","Arabia.Sahara",31
"17","Europe","NE.North.America",86
"18","Australia","NE.North.America",22
"19","Europe","N.Pacific",36
"20","Australia","N.Pacific",28
"21","Europe","S.Cone.Pacific",66
"22","Australia","S.Cone.Pacific",212
"23","Europe","Eurasian.Palearctic",159
"24","Australia","Eurasian.Palearctic",65
"25","Europe","Subsaharan.Africa",8
"26","Australia","Subsaharan.Africa",45
"27","Europe","Iberia.N.Africa",81
"28","Australia","Iberia.N.Africa",56
"29","Europe","Middle.East",75
"30","Australia","Middle.East",71
