"","Invaded.Range.in.North.America.Cluster","Geographic.Origin.Cluster","number_of_exotic_trees"
"1","Hawaii","SE.North.America",13
"2","Hawaii","N.North.America",4
"3","Hawaii","Carribbean",34
"4","Hawaii","W.North.America",10
"5","Hawaii","C.America",56
"6","Hawaii","SE.Asia",65
"7","Hawaii","Amazonia",63
"8","Hawaii","Arabia.Sahara",10
"9","Hawaii","NE.North.America",4
"10","Hawaii","N.Pacific",20
"11","Hawaii","S.Cone.Pacific",157
"12","Hawaii","Eurasian.Palearctic",5
"13","Hawaii","Subsaharan.Africa",30
"14","Hawaii","Iberia.N.Africa",7
"15","Hawaii","Middle.East",17
