Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,Algeria,Import,  All Products,Import (US$ Thousand),96.23,4898.309,4754.329,,45.661,6537.333,0.774,56.154,55.199,31.175,510.798,84.547,3913.48,1344.927,36142.9,5.436,12.632,9.761,37263.58,134614.978,218744.444,122733.857,139074.976,291048.052,68.585,78875.423,1965.374,60.226,238592.451,336048.034,562467.0144,622229.0887,117508.8656,129618.3148
Australia,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),,,,4.329,,,,,,5.452,,,40.537,1.599,0.81,1.104,6.051,13.882,103.765,255.201,760.853,243.96,241.813,569.234,414.151,12.713,65.182,1349.252,645.08,2626.94257,2910.5731,443.1203654,110.0252634,88.81099378
Australia,"Bahamas, The",Import,  All Products,Import (US$ Thousand),3944.571,4829.331,4261.395,3004.674,3493.081,2231.022,1536.997,3421.152,931.296,3180.516,4415.513,6192.723,4580.712,1562.514,1715.001,1902.252,1949.604,3296.541,3341.517,2359.026,2513.134,2281.007,2118.263,2461.558,3320.388,5456.864,4978.186,13301.642,1897.187,4070.470886,4349.954696,2059.942455,1126.795716,41.56692559
Australia,Belize,Import,  All Products,Import (US$ Thousand),,,,2.006,66.216,,,,,42.368,22.007,18.825,80.358,20.124,101.543,77.263,59.984,234.939,2032.777,2142.263,1044.074,2284.897,1322.034,3195.068,1466.254,2876.901,2100.674,1449.964,599.845,1257.418719,707.5455285,2402.417128,4373.206412,3469.074851
Australia,Botswana,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,25.257,3.957,8.911,17.336,55.208,65.771,35.629,43.575,65.77,31.936,26.37,620.683,38.59,650.933,10.083,37.548,803.889,6339.916156,186.7717264,395.0478149,961.8927824,9065.992318
Australia,Canada,Import,  All Products,Import (US$ Thousand),721084.164,881163.004,750130.162,600766.711,596415.088,674463.074,793442.166,1085938.668,1100975.473,895634.735,952940.361,1026344.419,1170330.831,967644.072,1013535.599,1252703.324,1448948.861,1530376.92,1791961.821,1861517.914,2384216.111,1585440.673,1731115.58,1823136.59,2375969.997,1921262.38,1835919.504,1668497.346,1563705.755,1719364.815,1700361.439,1946244.33,1752386.298,1912464.005
Australia,Cape Verde,Import,  All Products,Import (US$ Thousand),,,,,,,302.326,,,,,,,1.376,0.447,1.138,,,140.989,13.455,18.293,245.63,139.497,757.599,803.278,146.337,139.36,193.939,86.505,240.0115745,70.21219824,51.98803481,26.26841182,56.81905141
Australia,Czech Republic,Import,  All Products,Import (US$ Thousand),,,,,,32858.578,39918.77,37985.481,41405.344,35207.593,34664.788,44402.185,47886.917,39784.557,63623.495,85301.375,130037.859,148014.372,164758.893,207323.612,337843.789,197747.416,258891.901,382578.892,440028.146,614607.899,551304.06,630244.084,561029.98,572987.9404,552320.8035,558703.2507,538612.8519,708899.0147
Australia,Czechoslovakia,Import,  All Products,Import (US$ Thousand),35565.446,40466.442,30983.706,27118.772,29531.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"Egypt, Arab Rep.",Import,  All Products,Import (US$ Thousand),2181.48,3469.786,2621.755,1957.086,3751.726,3304.265,4415.613,6514.533,8375.096,9418.709,8067.403,8816.253,9757.435,7438.811,17524.937,10754.305,27188.961,12003.228,14820.317,16911.46,21403.041,30319.209,25564.358,52413.041,57785.831,24629.081,34779.4,25461.621,24910.511,41081.26371,43759.88358,37823.36696,51194.61779,46863.38643
Australia,Guinea-Bissau,Import,  All Products,Import (US$ Thousand),,,,,,1.36,,,,,,,,,,,,2.403,,,,3.381,,1.674,,,1.833,1.108,,2.89473752,2.009848743,2.769038435,,11.11620362
Australia,Guyana,Import,  All Products,Import (US$ Thousand),425.17,579.021,716.099,392.912,351.823,1050.5,472.542,1163.384,60.602,505.756,527.308,693.943,468.549,1026.627,401.251,228.099,945.681,1453.261,1106.084,1081.501,1097.329,1140.793,873.214,733.295,725.874,424.206,372.674,268.083,291.888,412.2566231,226.139323,348.7077487,406.6895023,383.8152918
Australia,"Iran, Islamic Rep.",Import,  All Products,Import (US$ Thousand),14044.585,8599.621,7701.045,10621.505,8180.144,10540.251,12943.733,15426.81,22136.873,18645.817,14351.371,17849.562,18874.223,14653.868,21792.147,36955.538,21865.092,27690.248,31330.243,32807.129,105970.415,38581.079,181184.791,65268.305,28776.736,23208.099,30067.687,24303.155,64106.22,35976.5597,49897.20686,17804.1562,19055.61165,25090.45146
Australia,Italy,Import,  All Products,Import (US$ Thousand),1008245.172,1209930.699,1150605.695,990090.346,947158.55,962120.145,1334538.057,1593134.388,1794009.087,1735077.998,1763438.523,1863187.792,1936854.207,1888260.217,2187458.615,2831089.019,3425703.022,3510013.264,3564906.606,4268608.674,4747998.995,3975279.387,4707391.061,5180805.183,5535815.014,5536386.463,5447721.765,4351358.239,4397576.701,4923085.245,5438785.174,5093025.962,4820034.623,5885524.226
Australia,Jamaica,Import,  All Products,Import (US$ Thousand),506.892,394.988,505.654,482.703,443.126,311.116,563.78,424.029,506.556,742.179,655.702,741.864,751.117,1528.957,3517.407,1009.076,1341.334,1192.109,1408.724,1208.921,1336.635,1286.37,1229.115,1576.154,1496.799,1027.89,1415.639,1415.056,1646.201,1337.312839,1122.613596,1410.02994,1141.675285,1817.62933
Australia,Kuwait,Import,  All Products,Import (US$ Thousand),78154.161,81591.57,81572.057,3087.132,34970.874,27906.478,31059.115,32534.635,47149.476,31347.138,19625.803,9314.898,96300.789,66392.356,94719.827,94203.823,87720.59,193334.543,171056.625,257451.687,429090.628,50701.675,350537.753,442263.64,479358.146,102940.279,89494.207,8989.525,14896.092,34538.75621,42313.44414,21354.86094,323.4000907,587.0034674
Australia,Lao PDR,Import,  All Products,Import (US$ Thousand),216.111,193.103,40.126,61.43,9.595,21.39,21.127,108.99,215.66,75.375,206.802,408.282,535.179,1016.979,321.445,340.835,471.691,6821.662,18422.32,5206.822,781.882,1644.134,2004.291,6187.665,45876.694,50647.697,2222.032,2817.127,8462.807,12207.46249,17433.95847,17911.24651,90547.74509,359887.0609
Australia,Bahrain,Import,  All Products,Import (US$ Thousand),29518.358,17127.11,10377.709,10728.592,4048.805,8563.696,4117.852,4480.653,10932.527,18968.415,17159.542,25064.817,29681.886,27673.775,38875.06,75837.02,108331.309,99226.282,97857.901,132292.636,196093.657,70627.353,44452.594,111822.495,69915.567,72889.862,62791.14,,44534.597,72092.31237,75136.45863,62667.69456,95270.2225,95053.61505
Australia,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,1.674,,,,,2.435,,,439.464,9.903,205.42,,6.794,4.523,8.509,3.785,6.157,9.434,,14.16946928,,,
Australia,Comoros,Import,  All Products,Import (US$ Thousand),12.325,7.884,7.29,2.252,2.056,3.783,27.334,20.665,52.593,15.348,12.482,8.325,180.961,4.845,8.565,,,,2.651,,1.307,3.306,20.114,8.59,,209.205,289.765,39.708,10.947,24.39066444,50.49089657,7.535433048,53.00705072,112.9994952
Australia,"Congo, Rep.",Import,  All Products,Import (US$ Thousand),,60.043,17.69,,,,36.983,56.253,147.434,43011.795,7509.039,15900.021,86.162,124.025,172.114,111.78,87.62,3394.148,227.693,66468.486,136.849,64.292,191240.575,705567.018,926969.282,910259.393,781885.206,97034.702,200288.109,254102.7386,403758.8318,62343.2815,38172.48102,208401.6583
Australia,Djibouti,Import,  All Products,Import (US$ Thousand),,,10.863,,,,,,,,,,0.802,,,,3.274,56.808,170.623,100.839,221.8,140.251,110.88,356.303,527.769,386.029,320.738,858.38,864.565,1461.648339,1476.866452,1349.882622,373.1288202,744.9042775
Australia,Dominica,Import,  All Products,Import (US$ Thousand),,,,,,35.755,,1.738,14.027,13.888,221.074,43.763,140.717,145.072,112.998,32.392,12.798,35.18,366.838,346.007,3338.153,280.608,334.477,472.952,620.06,263.623,280.074,259.071,210.239,70.89490694,523.8043334,376.0566748,69.43936334,80.3442288
