Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermuda,Afghanistan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,3.22,4.622,0.826,,,,,3.894,12.957,13.514,7.423,2.193,14.52624,,0.04576,0.99578,0.97741
Bermuda,Albania,Import,  All Products,Import (US$ Thousand),6.962,,,,,,,,,,,,,0.944,0.02,2.263,2.491,1.91,4.107,6.421,5.923,1.167,12.0224,10.67985,3.67384,5.9352,6.84245
Bermuda,Algeria,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,6.407,2.107,0.122,1.368,,,,1.094,0.001,0.005,0.729,0.026,,1.65951,0.13017,0.37371,0.5337
Bermuda,American Samoa,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,18.685,11.298,20.417,1.355,2.594,,,,2.225,0.832,4.559,0.356,0.1,2.74928,1.1502,0.08219,0.05897
Bermuda,Andorra,Import,  All Products,Import (US$ Thousand),12.528,,,,,,,,,,,,,4.332,0.376,,,0.782,0.077,0.122,,,,,0.02089,0.1749,0.38491
Bermuda,Angola,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,0.131,,,0.017,0.17336,0.00935
Bermuda,Anguila,Import,  All Products,Import (US$ Thousand),11.642,,10.672,,,,,,,,1.52,1.5,,,0.5,,0.05,,1.365,,0.438,0.875,2.1,846.84156,1635.24642,0.42336,
Bermuda,Antarctica,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,0.72933,,,0.00827,0.116
Bermuda,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),1729.482,,,,,,,,,,7.505,14.034,21.428,13.166,132.258,1.198,17.382,14.268,6.679,0.2,2.291,4029.105,10127.50597,12532.81938,906.45605,1966.63893,4882.01549
Bermuda,Argentina,Import,  All Products,Import (US$ Thousand),10.19,,28.979,,,,,,,,143.425,193.597,154.435,423.57,532.92,217.218,71.805,254.783,475.549,481.341,370.29,487.192,369.57954,325.12265,279.15057,243.57208,199.03382
Bermuda,Armenia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,0.24,0.01,0.225,0.02995,,1.52154,0.12499
Bermuda,Aruba,Import,  All Products,Import (US$ Thousand),20370.182,,5663.122,,,,,,,,19.391,13.718,11.169,12.997,2.81,1.176,0.697,1.603,0.26,0.083,0.084,,0.064,18.139,8.971,,10.05788
Bermuda,Australia,Import,  All Products,Import (US$ Thousand),279.812,,979.838,,,,,,,,1284.832,3129.662,1123.884,1373.639,1496.219,801.664,444.245,605.354,388.472,691.692,550.232,1100.833,1148.28419,672.24368,962.71241,785.38525,962.19921
Bermuda,Austria,Import,  All Products,Import (US$ Thousand),390.257,,306.309,,,,,,,,233.422,1531.382,553.885,1397.143,221.423,431.734,223.972,137.873,191.992,357.908,329.829,474.026,1039.24091,631.47859,770.97197,414.17398,236.12437
Bermuda,Azerbaijan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,0.803,,0.25192,0.02854
Bermuda,"Bahamas, The",Import,  All Products,Import (US$ Thousand),658.309,,282.698,,,,,,,,98.121,10.981,72.606,189.958,25.526,288.611,257.83,543.134,61614.59,77.398,13796.212,2717.715,18939.45135,28576.41233,90.55901,9421.67254,488.6023
Bermuda,Bahrain,Import,  All Products,Import (US$ Thousand),25.956,,20.474,,,,,,,,59.251,5.054,3.541,0.017,0.09,,,0.344,1.456,214.769,0.366,0.114,0.005,2.46907,10.66717,1.93553,7.63961
Bermuda,Bangladesh,Import,  All Products,Import (US$ Thousand),17.06,,20.817,,,,,,,,11.088,29.08,41.528,102.784,121.888,155.342,173.992,240.701,273.915,270.695,482.116,541.586,718.38255,755.227,693.41045,655.72904,775.93811
Bermuda,Barbados,Import,  All Products,Import (US$ Thousand),387.134,,328.829,,,,,,,,743.133,884.214,733.167,488.284,490.062,482.315,301.891,16950.01,366.279,685.039,516.551,741.053,2256.38169,1403.94162,521.82667,617.07009,504.06502
Bermuda,Belarus,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,2.514,,,,0.32,,,,0.014,,,0.3285,,0.378,0.145,0.03
Bermuda,Belgium,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,667.75,794.8,378.474,752.486,395.844,484.049,428.564,373.336,878.648,3693.244,913.419,653.383,838.37599,818.65631,647.9103,696.62291,565.65436
Bermuda,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),223.057,,186.582,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Belize,Import,  All Products,Import (US$ Thousand),7.359,,,,,,,,,,,3.217,0.059,0.912,0.036,0.072,4.396,34.762,2.038,0.045,0.135,0.934,0.015,5.0775,0.22983,0.1432,0.0558
Bermuda,Benin,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,1.478,,,,,0.029,,,,,,,,0.02323
Bermuda,Bhutan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,0.07197,
Bermuda,Bolivia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.064,,,,,2.94,0.66,2.235,,0.127,1.037,6.55999,,2.59289,2.5982,42.56212
Bermuda,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,1.92,0.574,3.98,1.796,5.706,5.242,4.573,2.119,10.601,21.32966,6.13996,0.26737,1.31436,2.35536
Bermuda,Botswana,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,0.103,,,,,,,0.01,,,0.29926,4.23705,
