Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cyprus,Afghanistan,Import,  All Products,Import (US$ Thousand),60.234,186.719,302.428,54.947,63.282,93.604,19.307,103.928,115.846,34.456,21.252,2.594,48.566,25.607,58.853,0.109,61.502,22.402,34.36,25.823,,0.097,0.114,8.588,,,0.083213,0.63278636,,782.3194889,677.3740641,3.12390606,0.662334574
Cyprus,Albania,Import,  All Products,Import (US$ Thousand),,,,10.105,,4.72,,6.08,,2.943,10.504,5.651,6.293,37.471,65.459,94.143,6.819,6.066,2634.455,1132.615,71.652,7.118,29.959,56.596,97.021676,1258.434529,72.416804,367.5913491,39.58025063,160.1941025,1068.169937,575.3366894,1635.982955
Cyprus,Algeria,Import,  All Products,Import (US$ Thousand),15388.923,32120.854,33155.364,23715.866,10028.212,15944.964,2295.332,,358.667,393.902,609.707,20.6,52.057,391.208,1095.044,51.445,87.112,4720.201,13601.561,10740.494,1777.882,105.692,633.965,245.532,364.85128,705.496471,1256.09631,5287.817266,6836.560731,19404.02626,17948.22421,2667.222976,3615.298864
Cyprus,American Samoa,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,18.323,7.551,,,,,,0.482,5.312,,0.172705,,,,,,,8.27918217
Cyprus,Andorra,Import,  All Products,Import (US$ Thousand),,8.985,2.12,15.656,,,,,,,,,,4.547,6.673,,0.157,0.742,19.077,,,1.552,4.256,0.234,,0.696135,0.799959,0.79098295,0.301352339,2.725818971,2.723152328,3.58078446,3.614454387
Cyprus,Angola,Import,  All Products,Import (US$ Thousand),,5.458,,,,,2.2,,,,,,,0.443,2.111,,,,,,,4.311,219.943,0.339,0.300155,,,0.851827792,11.74141218,1.2442673,0.040309821,,0.818456295
Cyprus,Anguila,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131284174
Cyprus,Antarctica,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.057,,54.836,,,,,,,0.536,,,,,,,,,,,0.147842539
Cyprus,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,11.475,0.017,,4.83,5.34,,,,,,,0.66016,563.8126467,5728.190227,2779.851338,3120.146955,0.758418144,38.0877862
Cyprus,Argentina,Import,  All Products,Import (US$ Thousand),2238.772,3395.041,3966.686,8766.893,15384.001,25688.064,21866.26,23489.474,26623.026,13074.409,16878.244,19193.088,19538.191,30069.873,28664.749,29502.658,23663.1,23332.918,39911.042,46697.408,46360.167,53274.913,38339.639,28988.148,13908.40896,19626.06882,39578.11059,29056.92571,28796.61888,41192.8974,38436.42397,49011.2877,50788.04456
Cyprus,Armenia,Import,  All Products,Import (US$ Thousand),,,,,,2984.246,5.889,,,109.007,9.947,4.932,87.782,263.332,117.434,76.985,1190.996,75.145,251.76,484.766,50.995,80.659,29.678,15.322,15.183045,17.514957,1.028519,18.32314769,8.6010036,18.5967199,11.08967954,15.8765244,26.3218856
Cyprus,Aruba,Import,  All Products,Import (US$ Thousand),,,,,,0.73,,,993.088,2.487,,0.625,0.453,,,,0.437,,,,,,,,,,,,62898.31797,,,0.537974316,
Cyprus,Australia,Import,  All Products,Import (US$ Thousand),1669.647,2328.495,3864.554,4376.515,3855.851,5279.904,6208.89,7047.306,5032.98,7448.636,8727.298,8538.306,9779.563,8387.108,8691.191,10013.322,7626.487,10831.976,14569.805,11761.05,8005.889,9061.626,8518.171,6315.855,5247.036954,14521.84975,4361.368009,3225.83313,4510.5795,4226.87164,7071.068117,4477.814942,6065.893025
Cyprus,Austria,Import,  All Products,Import (US$ Thousand),24094.356,26020.264,32113.524,49091.048,21558.12,16977.526,22093.652,21210.36,19058.282,31887.416,27701.342,27959.102,25551.743,25903.194,28004.352,35152.804,33909.065,43741.888,53472.366,60028.717,46393.2,38944.581,56181.758,58172.995,45674.02318,50630.35946,41710.82424,60276.21959,47852.3746,53085.8439,53456.54504,56946.05478,62679.6468
Cyprus,Azerbaijan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,458.57,48.288,,,1149.644,,37.979,,2888.718,1441.607,13.508,,30.913275,4.097097,9.437518,15222.76556,12980.29657,0.354155778,23427.77999,6308.289114,11338.35181
Cyprus,"Bahamas, The",Import,  All Products,Import (US$ Thousand),3.599,33.938,45.123,41.884,2.838,17.223,9.495,16.448,14.448,,243.036,267.819,317.514,302.504,334.559,1.771,6.596,9.642,1.896,1.721,0.44,,,7.732,50.396766,0.341425,,9.87898985,10.686679,0.283324622,60641.1984,46730.00019,7104.246763
Cyprus,Bahrain,Import,  All Products,Import (US$ Thousand),340.851,1210.406,149.012,462.993,663.702,269.672,753.024,326.233,744.9,571.533,534.477,550.355,209.4,254.991,493.961,701.185,492.512,4258.053,2602.024,232.707,1272.32,7220.883,234.037,557.397,602.062452,503.476637,14968.7339,366.0890346,407.9381689,508.2666648,538.5257671,431.5958915,534.5205593
Cyprus,Bangladesh,Import,  All Products,Import (US$ Thousand),141.697,286.489,340.347,130.743,156.937,254.365,196.713,225.538,210.436,2018.189,560.252,791.776,1269.065,1116.18,2102.6,2388.172,1951.434,2630.933,2537.282,1792.902,1930.041,3120.336,4159.092,3489.199,2120.490464,3370.581071,5083.969417,3984.566101,4941.038658,5362.350549,5796.151349,5695.435855,16720.6647
Cyprus,Barbados,Import,  All Products,Import (US$ Thousand),,,,,0.611,,,,,,,,,1.644,,,,,,,,,0.279,,,,,10.22193351,6030.155467,18278.85565,57.49076197,23.19343198,0.014192884
Cyprus,Belarus,Import,  All Products,Import (US$ Thousand),,,,,,,586.741,830.496,,61.237,6.63,4.702,9.932,6.683,42.317,1577.218,13206.001,9645.643,3495.978,13502.77,16280.036,42609.49,10534.223,210.424,21.879416,1805.423559,3230.282748,343.9072176,226.6203576,342.2455192,205.4177263,291.8048075,206.7323615
Cyprus,Belgium,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,55232.256,56084.533,61964.2,62356.302,70317.363,114072.935,133243.305,152621.703,194821.228,229978.755,254926.083,177418.299,230212.273,179894.579,232406.3143,262646.8942,163725.4867,231807.0265,230055.0708,195112.5908,250553.0859,268367.2094,308202.2299
Cyprus,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),40276.336,45506.436,45661.58,54583.108,48346.704,60297.156,68758.968,59653.536,67183.568,60962.4,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Belize,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,34.683,1.488,26.212,,,159.403,20.178,,0.379,,,,,63.137,,26.24188,2052.59905,12999.07686,1678.757976,16110.31968,,686.6299832,7446.07054
Cyprus,Benin,Import,  All Products,Import (US$ Thousand),,,,,,,,,,54.848,,,,,,,,0.028,,,,,,,,,,,11.25313076,,,,26.41413934
Cyprus,Bermuda,Import,  All Products,Import (US$ Thousand),,1.189,,,,,,,,,,,,0.77,,4.156,15.929,,,26.437,,,,,,39.193437,264454.3186,,,907.2337734,801.5831778,,1874.338244
