Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Europe & Central Asia,Argentina,Import,  All Products,Import (US$ Thousand),1187684.054,1601867.642,2445107.748,2579911.875,3197874.825,2982491.012,4603942.449,5355393.182,5488730.497,5007835.659,5252587.141,5704353.561,5612897.215,5704680.483,6719620.274,8022695.806,8826593.354,9785159.72,11925407.23,14811303.08,19875169.4,14838466.65,14435762.15,17550087.43,16250877.56,13787908.38,13073389.33,11935035.44,12175831.36,12535707.52,13315318.1,12283512.52,11587756.03,14811711.87
Europe & Central Asia,"Bahamas, The",Import,  All Products,Import (US$ Thousand),16119.888,99681.325,189170.752,59930.785,216173.221,329006.279,312357.133,330641.025,361830.01,462425.308,343322.387,398627.343,476615.6039,670400.8039,662815.5309,745713.7013,853495.7459,1553491.231,1522670.705,1000075.544,1087838.956,623822.7626,802432.3527,613681.871,478899.835,685661.883,855369.5463,981642.9166,404856.3322,445723.128,566403.9559,568543.4474,416133.5267,426380.1808
Europe & Central Asia,Barbados,Import,  All Products,Import (US$ Thousand),2886.439,2738.722,2383.364,2350.671,5428.152,51462.714,39639.239,46007.289,106196.841,87122.38,85069.921,50191.661,61865.11555,80429.36768,108688.2877,71763.47659,85493.34142,214798.6526,150061.2952,206660.1228,69224.28598,63623.97965,61486.91186,90557.15176,40572.02488,81138.67569,108035.8388,45340.12518,34525.50121,83981.59338,82627.06331,110402.4554,39290.54008,63637.90063
Europe & Central Asia,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,,,,186917.776,54388.633,26515.331,50458.247,406307.131,669295.245,759976.397,785917.489,855572.6719,906608.4402,1090401.235,1217378.588,1946071.366,2129811.465,3146465.791,3872551.685,4497941.219,3277817.433,3980052.084,5047713.288,4561473.208,5093190.983,5389394.522,4805864.705,5089641.415,5956309.932,6793825.401,6225850.789,5879969.856,8302438.98
Europe & Central Asia,Bouvet Island,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,101.1569301,3427.477962,1014.754141,290.5687642,184.1292601,348.84,6039.72465,927.704879,3539.89983,8512.821338,2089.43637,875.1829922,1984.087982,2238.430433,1160.70344,1618.163511,549.0196273,1907.507129,3380.432198,541.3999221,228.5739821,143.5761119
Europe & Central Asia,Burundi,Import,  All Products,Import (US$ Thousand),67120.582,57316.515,41952.301,32633.929,48395.327,56847.446,76286.275,124131.693,63656.46,62981.361,53270.463,53070.57,40514.61694,23804.92973,20660.47286,53939.87105,58142.43518,87484.69688,37823.06913,57185.1407,29124.75189,70358.95097,42531.80587,80695.35211,61568.01515,37254.91659,25287.67285,34518.78994,36894.29264,28218.66625,32368.27341,34998.41398,25864.2749,32978.40486
Europe & Central Asia,Comoros,Import,  All Products,Import (US$ Thousand),1758.042,2512.63,4687.925,4018.991,4077.876,3226.894,12094.561,9613.329,14752.199,9754.653,10239.621,10358.188,9317.833075,18932.77636,20425.49281,26876.17905,13593.18178,14264.74255,29866.01881,26820.05738,24025.48527,21482.32607,14280.18762,28906.02649,26217.10037,27974.86073,19127.02859,16183.88581,21520.23104,30018.8284,40827.89813,36996.19826,33577.17264,35668.09952
Europe & Central Asia,Costa Rica,Import,  All Products,Import (US$ Thousand),237717.693,272831.334,364789.48,386275.345,414299.572,540349.789,1119099.964,1102474.822,1174996.138,1076801.034,1426323.766,1842344.135,2038922.427,1514694.016,2115729.955,3384712.118,4361642.813,4574008.17,4589898.542,5100788.787,5801490.06,4844371.34,5346953.523,6100556.056,6973677.653,6796454.697,6479591.622,3434039.209,3570354.089,3773094.879,3997581.952,4089967.65,4555326.422,6246971.157
Europe & Central Asia,Croatia,Import,  All Products,Import (US$ Thousand),,,,,757908.588,1181866.015,3183030.273,3311718.643,3232543.999,2940216.33,2929020.413,2819895.024,2901790.796,3068696.79,3192833.058,4502227.242,6238770.702,6380842.713,8211281.441,9615782.241,10889847.23,8307962.271,9170809.382,10933138.04,9956350.915,10143896.61,10284299.83,9359994.683,10100736.24,11466727.46,12884543.68,12693261.87,12543893.15,16828478.97
Europe & Central Asia,Curaçao,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,275841.5318,623710.7037,492473.521,591590.2403,420536.2851,662929.8,433241.8136,224806.7212,185850.0527,34130.71211,79095.81332
Europe & Central Asia,Dominican Republic,Import,  All Products,Import (US$ Thousand),55778.646,108302.573,93334.113,89122.621,84558.854,134822.943,249000.775,309946.938,320770.768,321115.837,310727.975,295831.579,379855.9681,352018.0991,384345.9187,433390.9443,555033.2297,628920.8738,876037.2908,1222114.018,1344580.091,1035950.097,1000957.902,1125429.387,1237526.915,1416476.081,1581603.158,1251408.339,1586984.3,1337713.832,1464673.199,2140027.427,2468459.085,2387575.451
