Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greenland,Afghanistan,Import,  All Products,Import (US$ Thousand),9.276,0.831,,,,,,,,,,,19.979,,,1.03991,,,,4.57667,6.96871,0.50243,5.72344,6.57888,10.83472
Greenland,Albania,Import,  All Products,Import (US$ Thousand),,,,,5.251,1.228,,,,,,,,,2.773,3.44886,2.70267,3.82105,12.9742,3.11373,,,,,21.5192
Greenland,Algeria,Import,  All Products,Import (US$ Thousand),,,,5.017,,,,,,0.129,,,14.045,6.564,458.209,51.01236,36.72985,35.51686,7.07332,42.72736,21.34728,54.21225,25.73512,1.95156,82.36034
Greenland,American Samoa,Import,  All Products,Import (US$ Thousand),,,,,,,,,,0.594,,,,,0.229,,,,,,,,,,
Greenland,Andorra,Import,  All Products,Import (US$ Thousand),1.42,,,,,,,,,,,,,,,0.11673,,19.90711,,,,,,123.07831,27.65742
Greenland,Angola,Import,  All Products,Import (US$ Thousand),,,,,,0.633,,,,,,,,,,,,0.5355,,,,,,,
Greenland,Anguila,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,0.33088,,,,,,,,
Greenland,Antarctica,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,1.25575,0.72164,,,,,,,,2.85091
Greenland,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.169,,,,67.49036,0.77585,,,47.10759,49.76285,,0.23951,0.34958
Greenland,Argentina,Import,  All Products,Import (US$ Thousand),22.569,58.36,83.49,28.31,23.56,121.723,,,,65.618,,,212.61,60.308,177.093,242.03055,265.99357,198.5939,488.13106,171.11274,109.80289,169.56271,94.50841,87.72018,275.66053
Greenland,Armenia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,2.80179
Greenland,Australia,Import,  All Products,Import (US$ Thousand),106.671,364.822,54.79,33.443,252.711,301.703,,,3.109,203.064,0.008,0.243,355.075,38.266,737.06,422.60537,399.28325,505.07553,409.71083,304.28448,11561.39866,262.19447,310.91842,389.40506,547.60854
Greenland,Austria,Import,  All Products,Import (US$ Thousand),347.196,211.654,420.07,261.227,291.164,2340.516,0.211,6.426,8.788,358.269,6.378,12.583,433.899,270.245,614.018,2453.44082,830.05052,1101.81973,667.72501,581.22514,591.33263,546.98477,8869.97825,739.41199,1113.37626
Greenland,Azerbaijan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,0.3616,3.13219,1.79305
Greenland,"Bahamas, The",Import,  All Products,Import (US$ Thousand),7.877,5.37,7.139,22.347,19.943,27.621,,,,32.91,,,126.011,,60.324,82.09093,49.49412,52.43103,44.89646,30.01566,26.73542,16.22678,24.80842,15.61275,22.40939
Greenland,Bahrain,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.045,,316.806,,0.14542,,,,,,,0.96047,0.89811
Greenland,Bangladesh,Import,  All Products,Import (US$ Thousand),78.03,66.062,125.458,68.49,92.416,116.768,,,,253.707,,,330.54,118.983,349.43,390.31771,384.01061,637.39604,680.53796,898.57493,813.60444,870.78944,1058.03086,1239.43481,1288.64215
Greenland,Barbados,Import,  All Products,Import (US$ Thousand),,,,,,,,,,0.105,,,1.244,,1.191,1.35887,4.96958,3.3145,2.92395,3.05756,0.47233,0.12101,0.19639,0.48857,0.54629
Greenland,Belarus,Import,  All Products,Import (US$ Thousand),4.577,25.096,6.37,,4.182,1.559,,,,1.262,,,0.26,,,,0.14809,0.79879,2.35556,0.15807,,0.22602,,0.33498,0.71109
Greenland,Belgium,Import,  All Products,Import (US$ Thousand),,,,,,1103.734,4.609,,28.761,6154.916,133.856,0.063,3396.953,313.648,1976.724,2725.60207,3028.97008,3370.72612,1477.98052,1530.50878,1480.12036,1261.99547,1866.51818,1832.38615,3899.16513
Greenland,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),1016.399,1012.374,1084.653,911.689,979.835,,,,,,,,,,,,,,,,,,,,
Greenland,Belize,Import,  All Products,Import (US$ Thousand),,,,,,,,,,2.371,,,,,,,,,,,,,,,
Greenland,Bermuda,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,0.08657,,
Greenland,Bhutan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,0.09189,,
Greenland,Bolivia,Import,  All Products,Import (US$ Thousand),,,,,,0.948,,,,4.091,,,,,4.406,4.69133,4.15608,3.04019,3.79352,2.02715,2.70264,3.59453,8.4158,1.62602,5.99973
Greenland,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,,,,,,,,,0.271,,,8.547,0.323,7.678,28.23029,25.18263,15.46293,12.99835,51.3733,6.53606,4.70193,1.25784,2.54186,31.17679
Greenland,Brazil,Import,  All Products,Import (US$ Thousand),101.868,122.618,125.316,36.992,31.427,68.406,,,,374.949,,,742.481,846.294,413.401,269.65726,316.87512,555.27066,547.65259,383.27363,446.62247,384.12455,478.46618,1131.88067,830.65845
Greenland,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.237,,0.163,2.52426,,,,0.05476,,,,,0.56771
Greenland,British Virgin Islands,Import,  All Products,Import (US$ Thousand),6.153,,,,,,,,,0.508,,,0.022,,0.938,3.72382,4.25432,5.41514,0.27575,0.13657,,,,,0.59806
Greenland,Brunei,Import,  All Products,Import (US$ Thousand),,1.905,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Bulgaria,Import,  All Products,Import (US$ Thousand),29.413,16.346,21.935,106.786,238.724,72.176,,,,9.441,,,33.143,4.455,22.201,36.53571,46.51718,27.1846,29.09835,16.23744,47.59177,47.80069,113.75632,45.04772,229.44951
Greenland,Bunkers,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,2.33099,13.83145,7.81189,2.90563,,
Greenland,Burkina Faso,Import,  All Products,Import (US$ Thousand),,,,0.774,,,,,,,,,,,,1.55687,2.93812,1.09472,0.94769,0.22066,,0.06107,1.29367,1.36547,2.9433
Greenland,Cambodia,Import,  All Products,Import (US$ Thousand),4.707,8.406,5.481,3.142,11.364,27.991,,,,39.026,,,28.56,2.738,21.94,105.6967,25.25417,28.16563,45.18129,18.71717,39.61559,89.43555,249.52187,203.95926,244.60365
Greenland,Cameroon,Import,  All Products,Import (US$ Thousand),,,8.69,,,,,,,,,,20.923,,2.654,9.1909,1.50781,2.70748,8.9517,,8.89879,1.49727,1.00659,0.26289,0.46806
Greenland,Canada,Import,  All Products,Import (US$ Thousand),8511.591,4096.876,13415.272,5221.055,9724.456,4509.082,1270.905,2270.508,1514.591,11489.661,8496.76,9377.356,3508.434,6602.448,5449.078,6561.15628,12133.41301,19155.2004,10380.99265,17996.17768,14931.53056,31342.88921,18858.88784,10758.35342,11399.11708
Greenland,Cape Verde,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,0.05168,,,,,,,,,0.23919
Greenland,Central African Republic,Import,  All Products,Import (US$ Thousand),,,2.204,,,,,,,,,,,,,71.62499,,,,,,,,,1.86312
Greenland,Chile,Import,  All Products,Import (US$ Thousand),305.579,295.502,237.246,131.085,116.289,147.02,56.082,,,537.347,,,844.462,25.39,624.959,861.1233,740.07961,978.47278,808.71689,938.44196,990.67254,870.41874,866.76036,900.28467,1029.6928
Greenland,China,Import,  All Products,Import (US$ Thousand),1819.045,1798.119,2460.566,2215.495,2208.042,3970.07,,,12.549,8772.908,56.205,17.63,11584.309,2924.167,11481.185,17576.75287,15420.98762,23015.31729,24363.12745,22248.89199,17740.85359,15900.15703,16122.60602,16229.38788,20119.74261
Greenland,Christmas Island,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,0.81167
Greenland,Cocos (Keeling) Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,,,0.331,,,,,,0.60826,0.15347,,,,,,0.23135,0.17172,
Greenland,Colombia,Import,  All Products,Import (US$ Thousand),13.569,23.636,1.753,6.147,24.622,109.871,,,,281.747,0.862,0.04,307.526,,365.835,368.71104,67.86274,70.88201,135.18573,12.37696,16.12704,5.87102,6.91795,6.42681,37.31583
Greenland,Comoros,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,0.78,,12.025,,,,0.37925,,,,,,1.0902
Greenland,"Congo, Dem. Rep.",Import,  All Products,Import (US$ Thousand),,,,,4.44,,,,,2.594,,,,,,2.65625,0.16783,,,,,1.13848,0.41678,,0.09195
Greenland,"Congo, Rep.",Import,  All Products,Import (US$ Thousand),,,,,,,,,,1.647,,,,,,,,,,,3.53687,,,,
Greenland,Cook Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,8.18232,0.77014,,,,,,
Greenland,Costa Rica,Import,  All Products,Import (US$ Thousand),44.662,13.285,176.718,135.279,145.417,177.369,,,,69.211,,7.94,28.037,53.802,2.964,8.03044,12.98891,11.88166,11.08189,19.72002,26.70417,32.8111,59.93217,56.8383,100.12723
