Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total,,
Afghanistan,0,24902.77175,70935.02719,0,0,0,0,583.0434782,1263.63587,250.1902174,0,5425.000001,9785.195655,0,113144.8642,,# this is not in thousands
Albania,638.3152173,0,197.3097826,0,478.3940217,0,0,1073.73913,3260.307065,1686.766304,12828.2337,23639.18479,237.2065218,4634.608697,48674.06522,,
Algeria,0,53674243.87,40011371.38,0,0,190854264.9,0,0,0,0,0,0,0,0,284539880.1,,
Andorra,0,0,0,0,1420.777174,0,0,6434.608695,0,0,0,0,0,0,7855.385868,,
Angola,0,0,0,277614764.5,151310957.8,116778995.6,0,0,0,0,0,0,91550607.96,3103281.773,640358607.7,,
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,4086.005435,0,0,0,4086.005435,,
Argentina,551085.1874,39536.25001,57734607.39,166746336.2,410771000.2,203920276.4,413781957.6,102962919.9,34937889.38,347820.8968,3324700.571,52908841.45,42835686.32,104707135,1595569793,,
Armenia,0,0,0,0,0,0,0,0,26977.59783,1675.467391,0,0,0,0,28653.06522,,
Aruba,15305.38043,0,0,0,0,0,18364.10055,0,7895.747283,0,2003.220109,0,0,774.2228264,44342.6712,,
Australia,243323342.3,136315055.3,126499578.4,16107807.87,24609206.37,43655747.64,19832745.06,23268408.26,32129987.68,19735097.16,25708718.53,14929930.22,9710779.361,9794858.371,745621262.5,,
Austria,787277.4211,676902.935,245101.2365,807328.5081,513348.6276,1910558.378,489980.7501,2893154.869,475112.8533,1633700.152,660080.5027,1391691.93,1483044.185,1426712.971,15393995.32,,
Azerbaijan,0,0,0,0,25961693.74,0,0,0,0,15911.29076,0,0,0,0,25977605.03,,
Bahamas,12211.67935,0,0,0,0,15770745.61,0,0,0,0,82880.43479,6317.934784,8481.413046,5364.130437,15886001.21,,
Bahrain,17730.97826,0,0,0,20849.18478,0,0,16686.78261,0,1989.415761,0,0,0,237193.8017,294450.1631,,
Bangladesh,129825.5136,447923.4784,537320.6251,39158.4375,138408.2608,91340.55706,54268.73642,391150.1738,220657.0761,306100.4674,651465.0815,1000902.391,436103.3371,1010617.373,5455241.509,,
Barbados,580.1576086,993.3695655,12874.10326,3192.171196,35110.78532,0,343.152174,3283.043478,34817.20109,20793.22826,9764.972826,758.152174,19020.89131,0,141531.2283,,
Belarus,0,0,0,0,0,0,0,0,0,0,0,242.6086957,290.9619566,0,533.5706523,,
Belgium,1742731.043,1443030.381,1011582.052,1340728.965,1983314.714,4999261.904,2116820.753,4789681.043,5969230.81,1222032.326,2754897.582,1094529.973,609763.2556,2583579.784,33661184.58,,
Belize,0,15053.15218,0,0,1601.217391,0,1717.320652,0,1611.570652,3559.157609,10811.75272,109599.3207,0,0,143953.4919,,
