Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kazakhstan,Afghanistan,Import,  All Products,Import (US$ Thousand),89.197,32.699,5.8,322.898,164.297,28.6,33.7,6.9,3.7,260.079,158.122,891.056,4013.427,6658.347,1204.087,1232.666,3833.021,593.5,2957.629,3170.892,1963.555,2529.942,2064.35032,4174.42644,2812.11002,1851.15169,4957.54986
Kazakhstan,Albania,Import,  All Products,Import (US$ Thousand),17.399,,,,57.999,1.4,7.4,,,5.356,745.639,300.674,5.986,38.103,43.793,484.14,228.29,222.1,439.064,757.51,606.713,445.996,538.40253,711.24024,445.71254,266.96241,426.95868
Kazakhstan,Algeria,Import,  All Products,Import (US$ Thousand),,,40.699,1.6,,3.2,,,2,29.59,5.301,20.894,4961.057,17.745,86.199,73.005,,9.2,1.285,4.455,42.554,2.52,68.81791,105.0108,97.63443,209.48298,332.74894
Kazakhstan,American Samoa,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.069,0.402,,0.264,0.263,80.149,164.7,11.395,19.004,,71.826,,,,,
Kazakhstan,Andorra,Import,  All Products,Import (US$ Thousand),,,,,,22.4,,,,,19.079,1.726,,0.387,0.39,1.433,,,,0.954,0.173,3.027,1.29118,0.4026,0.001,,0.01016
Kazakhstan,Angola,Import,  All Products,Import (US$ Thousand),28.199,,,,,,,13.1,0.4,,3.417,23.247,46.2,15.664,18.243,108.259,0.273,,53.604,,,274.785,,10.54383,5.629,,
Kazakhstan,Anguila,Import,  All Products,Import (US$ Thousand),,18.899,205.572,,97.695,94.8,433.5,220,45.6,14.786,14.964,59.151,46.2,177.615,67.039,20.326,292.539,17.6,176.778,52.64,11.747,0.161,41.10957,0.51304,0.60042,,1.1228
Kazakhstan,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),4,,1.699,59.995,35.096,31.3,13.2,,,,,,,,,,6.127,37,0.071,14.667,6.805,,,,3.74679,,
Kazakhstan,Argentina,Import,  All Products,Import (US$ Thousand),,476.399,217.999,702.093,4985.496,2889.3,3800.4,5997.8,818.9,3648.972,21575.724,35725.697,35007.487,32987.482,40432.07,56174.723,30575.198,42309.6,41746.311,25945.317,18495.748,10615.326,30959.56143,22015.73619,13198.51099,16553.20424,38055.28518
Kazakhstan,Armenia,Import,  All Products,Import (US$ Thousand),2591.09,409.893,1824.592,494.494,303.897,1185.2,904.6,752.1,833.3,1530.385,2085.872,3658.622,5910.121,4057.812,2414.847,3212.189,3402.986,3169,7128.28,7806.756,4255.612,2993.402,5033.2969,9000.16229,7080.78368,7829.06387,10484.59235
Kazakhstan,Aruba,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,27.3,3.499,,,,,,,,
Kazakhstan,Australia,Import,  All Products,Import (US$ Thousand),2923.487,4921.379,2423.186,3899.848,4823.055,5593.2,14209.2,5754.8,18716.8,20179.782,31126.871,38129.277,62102.545,55328.736,43049.45,45243.481,47733.785,63167.4,100864.328,85566.565,67033.834,25948.242,23164.7797,30182.54669,65382.69326,43114.8303,33860.63731
Kazakhstan,Austria,Import,  All Products,Import (US$ Thousand),51536.913,19716.728,36360.308,32349.183,17919.314,18244.3,30469.2,45696.2,82148.1,141333.274,156623.781,191123.99,228960.459,315833.547,254082.111,222172.053,220703.997,268166.6,342746.277,278940.259,190775.973,149842.393,153268.6901,172188.099,178267.6361,159115.307,159833.0481
Kazakhstan,Azerbaijan,Import,  All Products,Import (US$ Thousand),25240.852,22547.672,19377.366,10003.975,4139.068,9924.1,10731.6,15471.8,13687.8,16105.003,21291.876,70810.022,86596.545,256715.007,145442.427,102635.258,61783.365,41583.1,73670.797,32015.518,15720.475,30372.004,33843.6471,46163.98413,20356.60275,25012.4465,44357.31453
Kazakhstan,"Bahamas, The",Import,  All Products,Import (US$ Thousand),30.097,1440.799,1340.499,,9.199,28.2,809.7,1536.6,607.7,355.739,52.989,203.135,361.046,541.069,417.655,159.635,27.211,36.5,75.741,32.365,31.485,12.318,14.60695,14.99853,0.19518,0.02227,0.87907
Kazakhstan,Bahrain,Import,  All Products,Import (US$ Thousand),,,,,1.399,1.1,,,,275.769,293.021,902.563,160.295,344.305,1085.597,32.273,1891.938,1371.2,1452.527,1513.352,787.033,887.864,2101.64118,4.14096,136.59309,2.88585,176.56251
Kazakhstan,Bangladesh,Import,  All Products,Import (US$ Thousand),4246.991,953.799,162.1,2455.199,3116.697,1891.8,1262.6,1594.3,975.2,790.903,1738.804,1139.164,1226.034,2231.024,2543.945,3848.783,10340.031,23596.1,34437.63,41655.445,45095.423,36026.255,45830.76909,48198.54669,34604.50694,29822.13124,31213.72227
Kazakhstan,Barbados,Import,  All Products,Import (US$ Thousand),,,,478.1,13.398,,1.9,1.6,1.1,,,,121.786,13.995,12.282,18.6,75.98,431.9,98.269,33.222,27.4,12.054,14.51838,43.49754,41.84832,28.03711,21.57705
Kazakhstan,Belarus,Import,  All Products,Import (US$ Thousand),77739.863,120459.168,58204.189,59970.001,38263.198,39524.5,46348.1,54802,94896.2,143821.99,207994.633,284350.549,395967.009,396202.11,367063.179,251123.979,623366.2,675526.58,698342.372,773817.059,488032.838,332607.223,531693.329,607328.5762,662556.8456,664879.9433,780733.468
Kazakhstan,Belgium,Import,  All Products,Import (US$ Thousand),,,,,26733.392,33264.7,50729.3,40237.4,58602.5,108056.525,144751.289,185603.052,231986.633,199146.401,157352.736,176089.237,178115.914,201656.8,241925.093,216384.704,164909.19,162606.241,128530.5583,153891.2847,141093.2494,104350.0282,155500.2336
Kazakhstan,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),8123.569,33601.033,33812.396,30798.486,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Belize,Import,  All Products,Import (US$ Thousand),259.3,,,0.699,20.698,38.7,0.1,6.2,,,,0.04,2.242,251.85,175.682,,6.621,192.9,124.511,31.3,0.112,1.037,1.1802,0.25738,1,,
Kazakhstan,Benin,Import,  All Products,Import (US$ Thousand),44.9,286.697,130.095,,33.399,1,3.2,,,,0.389,,,0.256,1.799,2.305,0.001,4,71.88,110.5,,0.098,,17.99436,110.30418,,59.10693
Kazakhstan,Bermuda,Import,  All Products,Import (US$ Thousand),91.399,,,,,,,,15.4,,0.071,,,1.121,75.889,2.096,8.734,2.7,0.345,15.276,11.874,7.049,1.16901,0.94074,4.38947,0.06085,0.83357
Kazakhstan,Bhutan,Import,  All Products,Import (US$ Thousand),,,,85.697,173.487,65.1,20.5,,,,,,,,,,1.075,,0.073,,0.333,,,,,,
Kazakhstan,Bolivia,Import,  All Products,Import (US$ Thousand),,,,1761,2554.399,,,,2077.2,0.775,,0.587,52.707,43.185,807.692,52.536,1485.427,1412,459.937,553.636,1096.921,168.204,66.93595,0.52713,1.53111,139.70498,1272.88987
Kazakhstan,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,,107.8,,6.6,,6.6,21.5,27.2,27.459,19.069,399.917,217.958,168.246,182.484,323.58,812.443,969,854.45,1053.295,794.051,797.676,524.46735,714.28256,430.43971,602.1522,704.31475
Kazakhstan,Botswana,Import,  All Products,Import (US$ Thousand),,,,,,,0.2,,,,,,,1.129,0.851,0.068,0.289,,0.119,,,,,,14.38105,,
Kazakhstan,Bouvet Island,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,13.421,,0.342,,,3.789,,,,,
Kazakhstan,Brazil,Import,  All Products,Import (US$ Thousand),138.8,461.799,14357.697,40015.191,36993.988,27566.3,67862.3,71864.7,87989.9,115816.926,166609.427,182957.338,141714.113,247907.869,201440.315,225405.144,342558.131,297937.8,331445.843,256036.009,127697.543,156065.627,111510.3634,102083.0558,255923.3097,38960.90459,96700.01414
Kazakhstan,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),,,,,6.199,42.5,0.2,,55.9,0.008,1.487,0.057,41.402,1.603,,,3.25,0.1,0.191,,,,,0.008,,,0.02237
Kazakhstan,British Virgin Islands,Import,  All Products,Import (US$ Thousand),9.399,510.498,2660.097,,107.497,244.2,100.2,417.5,374.5,2273.317,486.839,14745.819,9508.648,13542.077,1244.953,101.089,7.478,5.9,2534.516,307.457,427.772,59.637,166.15323,,0.04293,,0.73055
