Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kyrgyz Republic,Afghanistan,Import,  All Products,Import (US$ Thousand),3026.399,7.899,,,,113.264,,2.5,61.063,258.714,189.961,128.293,216.322,577.379,654.684,1434.236,68.857,269.088,1106.911,570.472,72.738,86.552,239.242,6.128,24.27,199.745,2425.126
Kyrgyz Republic,Albania,Import,  All Products,Import (US$ Thousand),,,,,,,,,,1.2,,,,,,,0.262,,,0.077,0.895,0.531,10.228,184.728,20.653,10.02,6.428
Kyrgyz Republic,Algeria,Import,  All Products,Import (US$ Thousand),,,,,,13.853,,,6.157,,0.953,,3,,,,,,,,4.941,,,1.248,55.649,76.171,17.73
Kyrgyz Republic,American Samoa,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,46.8,,29,135,,
Kyrgyz Republic,Andorra,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,10.446,,,,,,,,3.98,,,,96.615,,,
Kyrgyz Republic,Angola,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,0.293,,,,,,,,,,
Kyrgyz Republic,Anguila,Import,  All Products,Import (US$ Thousand),,,,,,,76.58,,,,,,,,,,,34.357,26.676,34.626,,91.45,2.261,4.022,38.7,373.328,2.856
Kyrgyz Republic,Argentina,Import,  All Products,Import (US$ Thousand),,,,,,22.792,75.96,107.575,25.155,20.284,559.87,1875.617,773.214,5467.41,80.892,297.021,1966.949,1109.595,1560.4,1770.617,1175.425,388.98,1182.829,327.255,787.117,152.045,2297.201
Kyrgyz Republic,Armenia,Import,  All Products,Import (US$ Thousand),601.099,0.899,,,,15.278,34.48,447.495,5.734,17.946,39.919,56.146,89.017,144.224,166.292,2379.919,401.555,272.647,943.392,248.512,331.175,1028.263,1806.175,651.539,593.563,2081.836,3357.66
Kyrgyz Republic,Australia,Import,  All Products,Import (US$ Thousand),,50,,,,255.88,234.08,350.323,122.627,189.634,2396.191,4178.111,3539.439,13074.742,7255.12,5478.765,3867.034,5735.341,2241.354,4132.43,2827.787,1353.815,4956.405,1786.238,1782.458,2027.877,1734.864
Kyrgyz Republic,Austria,Import,  All Products,Import (US$ Thousand),1324.797,9817.996,,,,832.521,607.07,1220.795,3275.95,1825.132,3410.463,2252.147,3771.862,10915.149,7776.657,9034.083,10803.593,12919.391,14092.809,14927.754,9276.533,8041.686,7372.781,7621.713,10978.753,7119.524,5959.742
Kyrgyz Republic,Azerbaijan,Import,  All Products,Import (US$ Thousand),3262.987,1382.495,,,,2350.352,436.28,2374.408,353.134,389.828,1851.146,7669.766,1990.557,10482.598,5156.787,4201.954,11153.038,3730.722,11600.199,20576.01,6071.727,6557.174,439.966,2761.659,2152.791,1905.034,5615.91
Kyrgyz Republic,"Bahamas, The",Import,  All Products,Import (US$ Thousand),,,,,,,,,,12.119,2.301,2.366,0.29,1.006,,5.726,27.015,11.713,6.86,23.049,1.542,2.913,2.378,1.329,,0.057,
Kyrgyz Republic,Bahrain,Import,  All Products,Import (US$ Thousand),,66.6,,,,,,,,,,3.063,27.943,11.495,54,2101.761,92.919,6,2.3,8.988,,,28.831,15.196,0.015,,1.941
Kyrgyz Republic,Bangladesh,Import,  All Products,Import (US$ Thousand),,337.899,,,,150.468,,27.892,54.044,94.76,110.02,241.957,364.955,706.675,418.164,291.256,969.806,415.102,432.179,1588.03,1696.354,1317.399,3100.174,3742.202,3537.2,1911.404,1532.726
Kyrgyz Republic,Barbados,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,0.059,1281.999,1.187,0.38,1.629,,0.97,0.702,0.898,3.406,0.769,0.879,0.166,1.45
Kyrgyz Republic,Belarus,Import,  All Products,Import (US$ Thousand),5033.675,6103.865,,,,3882.782,5955.24,5065.234,5888.685,4210.958,7079.58,18705.987,23826.661,42489.293,72940.438,53448.257,109534.564,161251.507,116362.603,91439.152,53605.086,35166.413,108651.278,47190.316,46478.144,31342.771,58163.51
Kyrgyz Republic,Belgium,Import,  All Products,Import (US$ Thousand),,,,,,10654.765,8434.22,1575.308,3318.55,2261.912,4494.271,16764.76,8028.96,13202.695,13251.701,16767.696,16176.936,16761.73,19130.634,16320.268,10336.932,9622.243,10328.927,10724.87,8505.837,5932.887,8521.277
Kyrgyz Republic,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),3829.493,8680.189,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,Belize,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,3.852,,,,144,0.062,,,,,,4.5,,,
Kyrgyz Republic,Benin,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.642,,,,,0.101,7.669,,,,,,,,,
Kyrgyz Republic,Bermuda,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,0.2,0.522,0.45,,,0.657,8.377,,1.182,,,,,,,2.8
Kyrgyz Republic,Bhutan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,10.883,,,,,,,,,,,,,,,
Kyrgyz Republic,Bolivia,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,18.3,,,,,0.985,,,,,0.358,,15.2
Kyrgyz Republic,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,,,,,,,,,4.181,0.748,8.002,0.618,0.963,1609.841,4.564,24.795,75.996,12.03,28.073,11.179,7.608,146.592,116.643,130.646,4.694,62.71
Kyrgyz Republic,Botswana,Import,  All Products,Import (US$ Thousand),,,,,,,,2.5,,,,,,,,,,,,,,,,,3.802,,
Kyrgyz Republic,Brazil,Import,  All Products,Import (US$ Thousand),,32349.3,,,,273.577,1760.51,222.617,316.863,2027.944,1988.55,7370.613,9554.838,8750.136,2523.04,3215.402,2326.615,4325.45,3764.772,2291.472,291.646,13914.263,634.048,5197.478,287.229,2780.169,6828.082
Kyrgyz Republic,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),,,,,,1.196,,,,,,,,,43.805,,0.053,,,248.17,243.217,,,,,,
Kyrgyz Republic,British Virgin Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,0.82,299.934,76.202,95.57,38.427,12.799,8.306,18.831,30.439,0.7,52.715,142.755,67.93,201.241,31.977,12.403,
Kyrgyz Republic,Brunei,Import,  All Products,Import (US$ Thousand),,,,,,,,,8.109,,,,,,,,19.24,18.228,,,,,,7.077,,,
Kyrgyz Republic,Bulgaria,Import,  All Products,Import (US$ Thousand),3012.595,876.199,,,,885.501,339.34,306.282,681.844,765.499,1221.977,1030.408,1616.905,1889.241,2622.913,2260.364,3849.023,5514.26,8758.317,7528.894,7144.786,3841.024,9558.603,11650.715,11902.252,7081.836,6806.557
Kyrgyz Republic,Burkina Faso,Import,  All Products,Import (US$ Thousand),,,,,,1.619,0.09,,,,,,,,,,,,,,,,,,,0.015,
Kyrgyz Republic,Burundi,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,0.503,,,,
