Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North America,Albania,Import,  All Products,Import (US$ Thousand),2.812,6.913,3581.407,5545.363,8150.771,6665.019,10966.355,11277.73,12595.221,13209.237,9690.713,7869.901,7621.197,6540.511,5642.725,14314.862,39896.157,26453.354,12058.245,15688.785,19288.168,36953.823,34173.314,24110.679,28966.875,77044.838,169626.1832,132310.2449,53101.47353,79918.62024,69606.63973,56388.38378,80834.75804
North America,American Samoa,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,124.55,97.306,252.298,1455.509,368.737,577.481,566.279,1839.571,220.029,319.064,292.499,573.68,546.503,151.785,220.376,413.2795038,914.6303213,560.0803267,654.5116827,1060.487518,517.863682,536.375569
North America,Belize,Import,  All Products,Import (US$ Thousand),7482.961,9087.799,54270.232,67444.073,66388.83,67152.525,64488.636,78395.679,91468.257,75927.326,93846.466,100199.009,99799.517,87557.617,109311.103,119558.006,112132.74,164311.818,123674.277,173730.478,114116.631,136120.704,207575.124,165065.916,129568.634,105057.684,84367.62065,59584.062,282015.0505,230514.9555,61191.00599,55125.71941,72588.24256
North America,British Virgin Islands,Import,  All Products,Import (US$ Thousand),62.535,,2448.907,3380.591,14479.806,15358.14,12083.409,8070.367,17463.475,8360.261,23802.41,31868.864,12722.195,42017.49,37399.574,19523.321,36280.969,31173.371,45572.224,23668.315,6904.449,19821.495,7533.351,14497.016,33805.991,13337.695,17983.0862,32103.65534,9205.544407,20996.38986,6352.254712,9401.498034,4712.564487
North America,Cape Verde,Import,  All Products,Import (US$ Thousand),63.186,124.519,5.472,57.444,90.175,127.003,294.871,416.134,559.681,195.669,118.856,4220.89,1501.407,1978.956,5964.456,4022.058,2825.499,1993.347,2262.79,505.102,962.048,1551.224,1658.577,3982.417,2403.532,1868.841,2357.819221,4268.462515,3740.395555,3899.595521,4059.619623,5101.075834,5978.957791
North America,Cayman Islands,Import,  All Products,Import (US$ Thousand),29.791,4.151,19072.511,11648.633,36895.319,53835.852,19259.407,19097.342,20875.3,19327.946,10734.498,6917.977,24572.654,11372.014,13714.342,14486.636,56097.897,17536.918,24275.816,15894.368,15310.863,12473.149,19964.123,15534.008,32463.788,25705.021,98849.40737,88835.72458,56859.7352,38089.53998,50708.44717,23649.07959,47461.13599
North America,Chad,Import,  All Products,Import (US$ Thousand),,,244.73,298.101,338.24,2015.342,3482.676,7504.994,3156.803,7960.337,7431.647,4588.244,5767.35,6355.132,24752.873,827972.148,1583652.16,2021298.251,2239894.091,3471023.311,2060108.141,2110900.713,3248524.685,2775646.688,2459411.733,2379036.997,1360008.432,957741.6893,543356.5965,495167.4722,135865.2948,3722.601834,4274.252853
North America,Chile,Import,  All Products,Import (US$ Thousand),147134.736,154229.472,1682303.296,1793220.704,1853996.352,2245278.128,2400382.148,2831472.432,2862531.196,3054337.712,3571370.208,3642963.875,3909140.882,4781056.948,4959848.485,6426448.839,8818008.139,11926622.91,11360299.04,10671790.02,8142769.141,9507257.109,11666586.02,11045616.86,12090911.1,11825342.63,11028461.33,10819409.45,12848419.13,13596663.98,12390841.37,12125827.91,17399296.72
North America,Curaçao,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,585244.27,850849.45,402295.24,381829.878,344084.2165,267782.7597,165746.2353,110158.9763,73510.57463,29544.09846,43756.046
North America,Czech Republic,Import,  All Products,Import (US$ Thousand),,,,,335156.42,378636.452,440585.039,575019.784,718626.982,779376.072,868295.64,1178939.377,1223234.28,1408344.769,1584591.982,2019625.595,2539639.534,2756744.945,2822443.748,3016747.042,2215187.642,2843000.599,3830525.616,4342996.972,4357253.568,4929849.992,5102528.78,4954452.528,5218859.516,5761874.773,6327522.487,6218031.972,7295443.15
