Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tajikistan,Afghanistan,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,317.833,571.002,127.216,224.491,884.293,2932.548
Tajikistan,Albania,Import,  All Products,Import (US$ Thousand),2,,,,,,,,,,,,,,,,0.044,0.065,2.714,0.287,,0.035
Tajikistan,Algeria,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,3.254,,,26.58,37.22
Tajikistan,American Samoa,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,1.111,40.817,12.948,,65.014
Tajikistan,Andorra,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,10.725,79.297,63.48,52.534,47.171,49.127
Tajikistan,Anguila,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,74.037,145.265,130.433,580.786,9.868,351.932
Tajikistan,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,345.501
Tajikistan,Argentina,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,866.566,1677.83,2694.334,4743.71,6951.188,10162.823
Tajikistan,Armenia,Import,  All Products,Import (US$ Thousand),1,,,,,,,,,,,,,,,,264.414,216.094,322.962,372.581,233.029,343.593
Tajikistan,Australia,Import,  All Products,Import (US$ Thousand),313,,,,,,,,,,,,,,,,193.212,547.495,1791.66,378.647,137.279,280.131
Tajikistan,Austria,Import,  All Products,Import (US$ Thousand),37,,,,,,,,,,,,,,,,7481.383,2517.569,2918.378,2546.347,26753.776,18664.611
Tajikistan,Azerbaijan,Import,  All Products,Import (US$ Thousand),63112,,,,,,,,,,,,,,,,13409.655,2785.974,6784.433,5792.945,6238.991,6063.19
