"","Invaded.Range.in.North.America.Cluster","Geographic.Origin.Cluster","number_of_exotic_trees"
"1","SE.North.America","Carribbean",2
"2","N.North.America","Carribbean",0
"3","W.North.America","Carribbean",0
"4","NE.North.America","Carribbean",0
"5","SE.North.America","C.America",7
"6","N.North.America","C.America",2
"7","W.North.America","C.America",1
"8","NE.North.America","C.America",2
"9","SE.North.America","SE.Asia",38
"10","N.North.America","SE.Asia",15
"11","W.North.America","SE.Asia",22
"12","NE.North.America","SE.Asia",34
"13","SE.North.America","Amazonia",8
"14","N.North.America","Amazonia",0
"15","W.North.America","Amazonia",1
"16","NE.North.America","Amazonia",0
"17","SE.North.America","Arabia.Sahara",3
"18","N.North.America","Arabia.Sahara",1
"19","W.North.America","Arabia.Sahara",1
"20","NE.North.America","Arabia.Sahara",1
"21","SE.North.America","N.Pacific",20
"22","N.North.America","N.Pacific",2
"23","W.North.America","N.Pacific",9
"24","NE.North.America","N.Pacific",20
"25","SE.North.America","S.Cone.Pacific",25
"26","N.North.America","S.Cone.Pacific",0
"27","W.North.America","S.Cone.Pacific",8
"28","NE.North.America","S.Cone.Pacific",3
"29","SE.North.America","Eurasian.Palearctic",24
"30","N.North.America","Eurasian.Palearctic",19
"31","W.North.America","Eurasian.Palearctic",27
"32","NE.North.America","Eurasian.Palearctic",33
"33","SE.North.America","Subsaharan.Africa",2
"34","N.North.America","Subsaharan.Africa",0
"35","W.North.America","Subsaharan.Africa",0
"36","NE.North.America","Subsaharan.Africa",0
"37","SE.North.America","Iberia.N.Africa",14
"38","N.North.America","Iberia.N.Africa",13
"39","W.North.America","Iberia.N.Africa",16
"40","NE.North.America","Iberia.N.Africa",19
"41","SE.North.America","Middle.East",17
"42","N.North.America","Middle.East",14
"43","W.North.America","Middle.East",16
"44","NE.North.America","Middle.East",18
"45","SE.North.America","Hawaii",0
"46","N.North.America","Hawaii",0
"47","W.North.America","Hawaii",0
"48","NE.North.America","Hawaii",0
