"country","sciname"
"Australia","Opuntia stricta"
"Australia","Crotalaria agatiflora"
"Australia","Rhamnus alaternus"
"Australia","Morus alba"
"Australia","Populus alba"
"Australia","Salix alba"
"Australia","Ailanthus altissima"
"Australia","Agave americana"
"Australia","Pyracantha angustifolia"
"Australia","Psoralea arborea"
"Australia","Berberis aristata"
"Australia","Cestrum aurantiacum"
"Australia","Salix babylonica"
"Australia","Acacia baileyana"
"Australia","Gossypium barbadense"
"Australia","Coprosma baueri"
"Australia","Solanum betaceum"
"Australia","Dovyalis caffra"
"Australia","Cinnamomum camphora"
"Australia","Phoenix canariensis"
"Australia","Tecoma capensis"
"Australia","Acacia cardiophylla"
"Australia","Prunus cerasifera"
"Australia","Solanum chrysotrichum"
"Australia","Salix cinerea"
"Australia","Corymbia citriodora"
"Australia","Ricinus communis"
"Australia","Lophostemon confertus"
"Australia","Pittosporum crassifolium"
"Australia","Pyracantha crenulata"
"Australia","Erythrina crista-galli"
"Australia","Senna didymobotrya"
"Australia","Sorbus domestica"
"Australia","Olea europaea"
"Australia","Vernicia fordii"
"Australia","Nicotiana glauca"
"Australia","Manihot grahamii"
"Australia","Baccharis halimifolia"
"Australia","Gossypium hirsutum"
"Australia","Salix humboldtiana"
"Australia","Rhaphiolepis indica"
"Australia","Paraserianthes lophantha"
"Australia","Ligustrum lucidum"
"Australia","Cupressus lusitanica"
"Australia","Buddleja madagascariensis"
"Australia","Solanum mauritianum"
"Australia","Aleurites moluccanus"
"Australia","Opuntia monacantha"
"Australia","Crataegus monogyna"
"Australia","Senna multiglandulosa"
"Australia","Acer negundo"
"Australia","Populus nigra"
"Australia","Salix nigra"
"Australia","Cestrum nocturnum"
"Australia","Celtis occidentalis"
"Australia","Tetrapanax papyrifer"
"Australia","Cestrum parqui"
"Australia","Lagunaria patersonia"
"Australia","Pinus patula"
"Australia","Senna pendula"
"Australia","Prunus persica"
"Australia","Leptospermum petersonii"
"Australia","Pinus pinaster"
