"biogeographic_region","Year","Reporter Name","Dollars"
"Amazonia",1989,"Australia",800362.699411255
"Arabia.Sahara",1989,"Australia",1097048.87974428
"C.America",1989,"Australia",205420.02877209
"Carribbean",1989,"Australia",29704.0228226308
"Eurasian.Palearctic",1989,"Australia",24375425.9455948
"Iberia.N.Africa",1989,"Australia",577618.594694852
"Middle.East",1989,"Australia",463685.883030333
"N.Pacific",1989,"Australia",21938023.062726
"S.Cone.Pacific",1989,"Australia",7631406.94680312
"SE.Asia",1989,"Australia",3716840.08450833
"Subsaharan.Africa",1989,"Australia",305063.984918551
"North America",1989,"Australia",23842812.3377738
"Amazonia",1990,"Australia",588707.014087328
"Arabia.Sahara",1990,"Australia",1299714.67603402
"C.America",1990,"Australia",179676.175914507
"Carribbean",1990,"Australia",40254.8187203722
"Eurasian.Palearctic",1990,"Australia",22737105.3938147
"Iberia.N.Africa",1990,"Australia",498518.349425643
"Middle.East",1990,"Australia",445733.193194781
"N.Pacific",1990,"Australia",18580234.0076029
"S.Cone.Pacific",1990,"Australia",7504837.79937434
"SE.Asia",1990,"Australia",3734199.23241519
"Subsaharan.Africa",1990,"Australia",287105.510967582
"North America",1990,"Australia",22896389.4931489
"Amazonia",1991,"Australia",612334.643698621
"Arabia.Sahara",1991,"Australia",1379515.32820044
"C.America",1991,"Australia",153318.303300381
"Carribbean",1991,"Australia",27234.1745417542
"Eurasian.Palearctic",1991,"Australia",20277161.8059237
"Iberia.N.Africa",1991,"Australia",415252.553737519
"Middle.East",1991,"Australia",439013.796303988
"N.Pacific",1991,"Australia",16888012.5601297
"S.Cone.Pacific",1991,"Australia",8973944.93647768
"SE.Asia",1991,"Australia",4398394.80357209
"Subsaharan.Africa",1991,"Australia",235579.981737689
"North America",1991,"Australia",21734566.1562712
"Amazonia",1992,"Australia",537422.452712377
"Arabia.Sahara",1992,"Australia",966089.830807191
"C.America",1992,"Australia",161609.096256004
"Carribbean",1992,"Australia",38369.3316643324
"Eurasian.Palearctic",1992,"Australia",20320398.7360751
"Iberia.N.Africa",1992,"Australia",437055.349293447
"Middle.East",1992,"Australia",455049.436631689
"N.Pacific",1992,"Australia",17970686.3459641
"S.Cone.Pacific",1992,"Australia",10054449.8814666
"SE.Asia",1992,"Australia",5265880.22060026
"Subsaharan.Africa",1992,"Australia",281996.748283434
"North America",1992,"Australia",20660655.8632667
"Amazonia",1993,"Australia",556610.402872099
"Arabia.Sahara",1993,"Australia",989822.271884386
"C.America",1993,"Australia",147133.375187138
"Carribbean",1993,"Australia",25564.2997045939
"Eurasian.Palearctic",1993,"Australia",19840502.2673136
"Iberia.N.Africa",1993,"Australia",439372.803046992
"Middle.East",1993,"Australia",515538.276149309
"N.Pacific",1993,"Australia",19346373.6171314
"S.Cone.Pacific",1993,"Australia",10276166.0851781
"SE.Asia",1993,"Australia",5755418.95389956
"Subsaharan.Africa",1993,"Australia",401516.371775848
"North America",1993,"Australia",20132030.2796762
"Amazonia",1994,"Australia",641891.603149347
"Arabia.Sahara",1994,"Australia",823501.379732089
"C.America",1994,"Australia",179601.986983178
"Carribbean",1994,"Australia",31063.1478154694
"Eurasian.Palearctic",1994,"Australia",24011261.790869
"Iberia.N.Africa",1994,"Australia",713970.763400344
"Middle.East",1994,"Australia",629246.440307652
"N.Pacific",1994,"Australia",20487789.7799906
"S.Cone.Pacific",1994,"Australia",11027015.1482695
"SE.Asia",1994,"Australia",6994486.55403501
"Subsaharan.Africa",1994,"Australia",501171.412602161
"North America",1994,"Australia",23801332.6622036
"Amazonia",1995,"Australia",761398.870587044
"Arabia.Sahara",1995,"Australia",1187238.94034114
"C.America",1995,"Australia",247799.724344
"Carribbean",1995,"Australia",37852.0085585621
"Eurasian.Palearctic",1995,"Australia",28409734.6713737
"Iberia.N.Africa",1995,"Australia",882288.551440411
"Middle.East",1995,"Australia",680563.545016354
"N.Pacific",1995,"Australia",20548112.4200133
"S.Cone.Pacific",1995,"Australia",12348763.6111066
"SE.Asia",1995,"Australia",7879051.20677496
"Subsaharan.Africa",1995,"Australia",648810.219440995
"North America",1995,"Australia",26541318.9349027
"Amazonia",1996,"Australia",644052.190059861
"Arabia.Sahara",1996,"Australia",1156171.18746396
"C.America",1996,"Australia",264087.150448329
"Carribbean",1996,"Australia",30509.1310274337
"Eurasian.Palearctic",1996,"Australia",29093005.8369735
"Iberia.N.Africa",1996,"Australia",941103.471198448
"Middle.East",1996,"Australia",722556.750722879
"N.Pacific",1996,"Australia",18642380.0191092
"S.Cone.Pacific",1996,"Australia",13848883.0379499
"SE.Asia",1996,"Australia",8618560.53920795
"Subsaharan.Africa",1996,"Australia",883635.553058888
"North America",1996,"Australia",29349921.8721386
"Amazonia",1997,"Australia",576133.726796487
"Arabia.Sahara",1997,"Australia",1177532.90310852
"C.America",1997,"Australia",284496.351890891
"Carribbean",1997,"Australia",24795.3266848212
"Eurasian.Palearctic",1997,"Australia",27947392.7371163
"Iberia.N.Africa",1997,"Australia",920101.866086849
"Middle.East",1997,"Australia",810567.092599831
"N.Pacific",1997,"Australia",19791502.1193074
"S.Cone.Pacific",1997,"Australia",13992386.1506282
"SE.Asia",1997,"Australia",9237061.06775737
"Subsaharan.Africa",1997,"Australia",903803.147975579
"North America",1997,"Australia",26921900.0889267
"Amazonia",1998,"Australia",417073.989587884
