"biogeographic_region","Reporter Name","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","sum_1989_to_2007T","sum_2008_to_2021T","cumulativeT"
"Amazonia","Australia",800362.699411255,588707.014087328,612334.643698621,537422.452712377,556610.402872099,641891.603149347,761398.870587044,644052.190059861,576133.726796487,417073.989587884,453950.916143743,812418.226645598,584573.187952129,585589.895314381,712012.63444067,855414.27914948,1094806.76217029,1198664.92656391,1477852.33142476,1847512.16752596,1002262.16772765,1409833.98329003,1402037.12734125,1117614.61788612,1004009.86185136,995411.143292913,887796.200043288,1157409.63321277,1245897.36710165,1240895.85819485,1026755.95712173,1059793.7153409,1162397.61403762,0.0139112707527673,0.0165596274139681,0.0304708981667354
"Amazonia","Europe",19566691.2212348,19835276.1938722,19118606.4060327,24481538.6599143,25900327.7300338,42492768.6675624,45803584.509114,45110011.668313,46945505.3395351,45463930.9141306,45507350.2020044,51031877.0427046,51678280.1683301,52512419.5898144,61022764.2176636,72974286.6089793,84991560.2849304,102366711.66975,125633059.938638,144249723.034135,107276411.5539,114370253.958099,137993689.932419,134587316.35289,118660005.196457,113435172.223077,91355183.2648262,87321126.7689099,90530127.9662666,94626286.5225584,83405831.2629061,76408220.5930738,94921037.6555303,0.982436551032557,1.48914038628505,2.47157693731761
"Amazonia","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90270.59973976,4106.38630511,8272.600776226,19421.718519317,68136.273089434,51538.43271887,78423.514302,54758.034777,11158.740563,63559.981345,49852.33537,38973.213488,44536.164416,12719.53605683,0.000494441705867897,0.000595727531466547,0.00109016923733444
"Amazonia","North America",4366604.03652671,3610125.1578387,51309749.4133437,51182712.3603138,50517386.1609633,54296340.4046409,58553576.970604,64814474.608541,68709152.5522344,60206204.1713145,67797740.9331215,82246508.2700118,72382689.4701556,77772455.5987535,86760719.6513918,112124751.795988,138613279.613189,146678654.956913,144188073.091702,173151324.985506,112967872.847825,136806489.378247,175384173.620485,162890994.892329,145014409.035424,140548174.711677,103849592.039105,93213156.3964435,98463806.1074557,100557621.429516,84931767.9484301,68557990.5879586,85789726.2272682,1.39613119921755,1.68212710020767,3.07825829942522
"Arabia.Sahara","Australia",1097048.87974428,1299714.67603402,1379515.32820044,966089.830807191,989822.271884386,823501.379732089,1187238.94034114,1156171.18746396,1177532.90310852,545954.761899431,828800.940970211,1838767.28778844,1333000.82353439,1238720.71618692,1123492.52747334,1423980.00981927,1851972.91256733,1592625.21460888,1371485.78668598,1219971.93891112,833522.629558115,1139714.35394131,978369.066384261,2294849.26267867,1349434.05014901,587582.684137208,529325.667314279,489524.84486731,518174.496300748,1308235.69290346,1046863.26406711,962964.01007265,1340829.28783719,0.0232254363788502,0.0145993612491224,0.0378247976279727
"Arabia.Sahara","Europe",17341868.9920971,24788793.1886039,24797996.4877822,30977784.2377728,29163921.8051355,48297179.1999895,49219464.3524215,54415499.8858276,51994727.0795266,37979833.0789275,37551897.5481438,57203952.6177075,48098142.4515377,41961273.2076606,53649395.6199808,72584788.8899035,94508723.6821327,115503099.360378,115761802.82858,149313830.648813,86317817.4334096,105171068.052892,101220843.389852,138045933.435978,118059427.460422,94388031.0508073,57976800.2749305,48479017.7055166,65955692.944313,87536949.4258821,79441565.2447253,46034292.8519984,85376967.9393653,1.00580014451411,1.2633182378589,2.26911838237301
"Arabia.Sahara","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670928.010531254,419935.5572287,284949.28288752,813541.00224141,1060814.7611288,333143.75486923,114.765684827,13225.54773867,113867.482336406,323461.470839253,374416.56868533,767116.85937526,97731.574234154,583165.39914552,0.00441975775556911,0.00585641203692634,0.0102761697924954
"Arabia.Sahara","North America",570454.682269159,1321599.64992265,29350875.9918424,27183253.5271444,21097850.2772733,20560288.3069081,20561623.6892012,21644603.3808065,22045487.3066212,15686462.1074145,18467421.5455939,28915677.2038799,26245915.0841147,27893735.9526945,36843259.0958388,41818822.9647263,55104630.3190721,62618527.4378811,68107709.7908448,94642331.4929644,42528727.4540433,56485415.1037182,78844878.9263955,87836470.0807669,79005316.742825,69659722.6145341,36175808.9399495,29368624.8967174,33305726.9436072,40827388.4461185,27926551.5673418,18747748.2009494,28174688.6343488,0.54603819831405,0.72352940004428,1.26956759835833
"C.America","Australia",205420.02877209,179676.175914507,153318.303300381,161609.096256004,147133.375187138,179601.986983178,247799.724344,264087.150448329,284496.351890891,424424.367690532,485949.696654769,527791.709784748,602357.4828733,525508.677497151,706357.875481874,911661.287374372,1123706.67481101,1356370.12339493,1585289.23336966,1916462.54393304,1571291.9761884,2105751.38426518,2730736.09139965,2982249.56966561,2882756.40256086,2572392.04690495,2590153.09517268,2546683.55821998,2965606.90277026,3165960.15738584,2840736.58578122,2690619.09318645,3318589.20230266,0.0100725593220289,0.0368799886097368,0.0469525479317657
"C.America","Europe",7248598.82557513,8429046.49509999,7687844.20472515,8345134.73445114,8083658.77147488,12026895.4462743,14920373.5658026,14638036.132748,14483089.2228277,15414017.3943841,16790508.9492796,20051137.4447704,18511267.3433027,18199340.3713026,22391014.7025764,25591026.010203,31038021.8729185,34169936.6742762,40521518.5128926,48411521.2862599,35682531.4621707,39979628.6659875,48096600.8443833,51869350.5537313,51302719.5339712,48818633.8327949,42042087.2285893,42977700.8822787,49605247.9752329,51446952.7606003,51376058.95571,46877065.2868487,55061962.8850992,0.338540466674885,0.663548062153658,1.00208852882854
"C.America","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36847.816871569,24217.2775105585,13274.4944956751,15040.7042837481,12280.850655058,9673.346042063,78311.3105606,17357.248170876,13433.0819021388,10786.550112343,32373.30336867,16011.6676389945,11516.333116911,20306.015901,0.000193307986640754,0.000311430000630205,0.000504737987270959
"C.America","North America",4046661.23753018,3838216.72605918,84315318.0959865,92533275.2162542,102342365.861673,121474389.959993,146387687.394423,167640076.320633,192311027.948889,207744327.570331,236517873.389939,275843993.162598,258459997.831158,265720725.744108,268066019.927218,294227554.442713,310143390.038895,346674487.427526,358694875.232689,356222477.572129,297724886.38882,384205962.251358,427979944.807758,438044708.145687,435158674.503258,448697396.332477,441486552.706922,433521235.119435,452465072.926095,483249901.74851,489781583.63361,436969060.187882,494980413.370864,3.73698226352862,6.0204878696948,9.75747013322342
"Carribbean","Australia",29704.0228226308,40254.8187203722,27234.1745417542,38369.3316643324,25564.2997045939,31063.1478154694,37852.0085585621,30509.1310274337,24795.3266848212,18320.0120444862,22911.4814230032,21431.7952889541,20193.142474693,24625.4222313051,19842.2084992766,22397.476337964,33375.8764549706,47831.9220140916,55088.9895753257,76877.6025843223,55282.5890926699,50017.3282313157,54465.9977148777,59918.7149638257,69181.0026913401,67320.9378036145,87044.8301818049,97238.6241652127,108490.540468048,87831.8104599373,69410.3546952023,69355.2321276141,80740.586587122,0.00057136458788404,0.00103317615176691,0.00160454073965095
"Carribbean","Europe",1634433.61001793,1469665.81778418,1068725.2907154,1779086.0528864,2612388.94628033,4221581.60832671,4664238.65443207,5843796.30404811,5953431.77141326,5325000.72094412,5246887.29458058,5556616.03393457,5499880.77891223,5457675.80773745,6244286.67837301,7615383.01493731,8927112.30544628,12459433.815688,9070897.90891486,13807099.0947609,8453932.01892864,8661235.87650922,9637286.47225824,7603997.10411122,9021681.27737726,7665153.26941106,6594842.00320137,5800933.95553997,6073805.73396884,6937820.46776795,8792344.6204944,7760800.29478333,8577309.02966125,0.100650522415373,0.115388241218774,0.216038763634146
"Carribbean","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13277.496246926,23182.030986534,5619.0311977422,13133.12271935,10296.9999272095,32833.078617543,14179.20770404,4298.392955564,3620.0534433917,13546.74705287,12478.631592386,9998.9413326537,5962.819044942,19134.2108818274,0.000212218679745333,0.00018156076370298,0.000393779443448312
"Carribbean","North America",743306.188485674,844284.092649738,10996594.9627726,11754313.9594012,12207218.4558693,13062181.1060493,13327186.8036622,13959643.9684612,15192360.0428628,14666450.1227024,15025469.0064411,17453118.9939157,15930433.7972025,16033428.7277716,20377884.007645,24408050.6459339,29408694.6663649,29170102.6367934,30078897.1754929,28952481.5727225,18964942.2972465,19503727.4399496,26848630.0785922,21852648.9561732,19284857.4463171,20112932.3056102,16686508.1714312,14083145.9935277,14788835.8887974,15725005.9998304,15019215.9974293,12738814.7148178,16068476.6958545,0.304639619360477,0.2606302235583,0.565269842918777
"Eurasian.Palearctic","Australia",24375425.9455948,22737105.3938147,20277161.8059237,20320398.7360751,19840502.2673136,24011261.790869,28409734.6713737,29093005.8369735,27947392.7371163,26686561.7433202,27891657.8647047,28366478.4252368,25624365.7131668,29300200.1439148,35655787.4333078,42169739.5386557,45687447.2344498,44355203.0203657,53639903.6783074,61012743.0643622,47975328.1682555,53416232.2499437,60509078.5293024,60483075.3795797,56144367.6448709,54020440.4100632,46528360.7384252,48478698.8147022,50836771.4765064,53874987.8420748,49947360.8937802,47167918.9070864,54268273.1924035,0.576389333980484,0.744663637311356,1.32105297129184
"Eurasian.Palearctic","Europe",788201019.910294,937064387.27612,925527358.232746,1291223008.89084,1325027664.41925,2093386969.40314,2524329785.00843,2639212196.38432,2566753329.71469,2662773325.24344,3008888825.0183,3116801928.98858,3006429876.46004,3172023554.7094,3803981516.57862,4497228194.0026,4737982261.97232,5307222823.02919,6204035486.20481,6645209614.51409,4954041564.24864,5268479486.17709,6104833833.43402,5631573679.30206,5761607228.01082,5669593242.83927,4733948595.04768,4701478051.29089,5058459653.39831,5468931086.77733,5145096178.32382,4760735412.18174,5690860680.74062,54.6080935114471,75.5948483062864,130.202941817734
"Eurasian.Palearctic","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416390.822375105,421669.705693161,916167.669774328,916772.065746775,1187823.77416168,1078153.48381204,658064.151596005,805002.482189286,366934.038191859,491216.284336575,851977.082548995,808851.876378349,279942.898767056,293502.283111329,0.00743115539833952,0.00949246861868254,0.0169236240170221
"Eurasian.Palearctic","North America",35907126.008668,37723499.3244357,256282939.141227,263871112.920366,266788083.967838,297482024.239686,327010548.914628,340436106.304735,366945954.695028,398885540.310862,452786935.31014,488073119.610853,469097620.417462,485907437.279855,520174117.149952,575233693.682322,617857795.590281,646093730.528802,665841557.526363,692085922.039369,527375127.332015,597880949.965938,678174100.710375,657093829.922564,653939162.848642,689821959.789765,684430555.272882,661980572.265599,685021470.244529,752312089.895195,779059279.577138,728614335.441616,808458791.067368,7.5123989429235,9.59624814637299,17.1086470892965
"Iberia.N.Africa","Australia",577618.594694852,498518.349425643,415252.553737519,437055.349293447,439372.803046992,713970.763400344,882288.551440411,941103.471198448,920101.866086849,983570.550522195,967430.005983339,963365.456175328,928556.285854477,1211172.79157115,1464602.02812191,1858245.07571893,1916459.71243091,1950340.13423724,2867800.88109085,3487051.94930944,2235042.56290034,2684331.10900764,3255016.86884124,4227808.62186789,3466368.18906939,3856322.37321485,2222039.10199755,2563108.33276298,2901288.7669356,3437266.12978829,3016085.04187109,2240836.89341839,3323891.87385488,0.0209368252240308,0.0429164578148396,0.0638532830388704
"Iberia.N.Africa","Europe",44204286.6792206,57518012.519361,62474677.5656207,80905072.9042678,80523672.1416989,161547115.147192,200670707.067963,213398966.06709,212698302.55093,219211247.604967,224311972.384665,231057700.962444,220842340.905401,238183631.437548,286741847.581611,327572240.751931,340325012.455589,383053851.038295,424280551.182876,459776038.25646,346150094.581991,375388737.478179,427051728.586596,396097137.734343,411035436.548517,408986223.519637,348954833.930795,349738057.6436,375469467.684717,406403274.502195,386172051.020821,359242742.13948,430888838.817979,4.00952120894867,5.48135466244531,9.49087587139398
"Iberia.N.Africa","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8551.12739576,59467.933382,46403.12601461,6890.41094858,2384.84575236,192948.59947848,10733.54341266,9304.53573794,11845.79313906,2489.0649951,6496.3491574,9626.5917408,3361.63195167,7864.87910719,0.000297621909306087,0.00037836843221361,0.000675990341519697
"Iberia.N.Africa","North America",1655082.62484179,1531656.56113531,15408199.2289368,14040553.8848637,14184674.1419465,15366011.1309707,16697950.7600119,18382388.2399445,19531584.8422039,18230326.0210319,19132186.3699897,21579546.1461972,19789584.6869293,21799805.1734187,29116532.4661057,36196805.9983776,43596638.2412801,55351687.5391834,58886400.4987542,63765942.0820857,37865489.8710643,45312864.5180405,51654839.8052794,45230433.5935292,34846788.6116704,36685129.8161691,34112536.6993215,33088540.2472652,36357139.5969575,39024856.8543689,35484360.1380457,29703952.3979559,36848831.5283149,0.440477614556123,0.559981705760068,1.00045932031619
