"Invaded.Range.Cluster","Geographic.Origin.Cluster","Number.of.pests","NMDS.Distance","Climate.Distance","Cumulative.Import.Value.T","NorthAm","number_of_exotic_trees"
"Australia","Amazonia",3,0.442401071267857,0.539170452529178,0.0304708981667354,FALSE,61
"Eurasian.Palearctic","Amazonia",3,0.208744146939972,0.531971604077108,2.47157693731761,FALSE,15
"Hawaii","Amazonia",5,0.298324284307494,0.439195516267817,0.00109016923733444,FALSE,63
"N.North.America","Amazonia",1,0.559937625555571,0.551743007550478,3.07825829942522,TRUE,0
"NE.North.America","Amazonia",1,0.456505085526661,0.575270615747832,3.07825829942522,TRUE,0
"SE.North.America","Amazonia",2,0.379016414653998,0.570921153922923,3.07825829942522,TRUE,8
"W.North.America","Amazonia",2,0.240630894686904,0.494561317422181,3.07825829942522,TRUE,1
"Australia","C.America",2,0.4180943251336,0.220786289779695,0.0469525479317657,FALSE,66
"Eurasian.Palearctic","C.America",3,0.290292864063771,0.48175624093087,1.00208852882854,FALSE,28
"Hawaii","C.America",0,0.271690997124912,0.403927169466459,0.000504737987270959,FALSE,56
"N.North.America","C.America",3,0.495630989397216,0.496431221410394,9.75747013322342,TRUE,2
"NE.North.America","C.America",5,0.454876696284563,0.543472446081376,9.75747013322342,TRUE,2
"SE.North.America","C.America",5,0.333994021357256,0.513921354354328,9.75747013322342,TRUE,7
"W.North.America","C.America",5,0.250918684665726,0.298439439490525,9.75747013322342,TRUE,1
"Australia","Caribbean",0,0.368632622947828,0.65852073682501,0.00160454073965095,FALSE,22
"Eurasian.Palearctic","Caribbean",0,0.84063591206763,0.642391593851267,0.216038763634146,FALSE,5
"Hawaii","Caribbean",1,0.305826262689261,0.563642830369496,0.000393779443448312,FALSE,34
"N.North.America","Caribbean",0,0.96509284415035,0.662111567895271,0.565269842918777,TRUE,0
"NE.North.America","Caribbean",0,0.890261400761069,0.686692169696425,0.565269842918777,TRUE,0
"SE.North.America","Caribbean",0,0.560781247002511,0.701901709208732,0.565269842918777,TRUE,2
"W.North.America","Caribbean",0,0.713659459026791,0.62445757779941,0.565269842918777,TRUE,0
"Australia","Eurasian.Palearctic",20,0.209046865971552,0.549835350346976,1.32105297129184,FALSE,65
"Hawaii","Eurasian.Palearctic",3,1,0.342742972785673,0.0169236240170221,FALSE,5
"N.North.America","Eurasian.Palearctic",20,0.37706075755352,0.201146958549773,17.1086470892965,TRUE,19
"NE.North.America","Eurasian.Palearctic",34,0.284030196923973,0.122447926530393,17.1086470892965,TRUE,33
"SE.North.America","Eurasian.Palearctic",17,0.32365027009031,0.47854180809827,17.1086470892965,TRUE,24
"W.North.America","Eurasian.Palearctic",27,0.163478929202424,0.294317636814823,17.1086470892965,TRUE,27
"Australia","Iberia.N.Africa",0,0.215373313079176,0.15241099283086,0.0638532830388704,FALSE,56
"Eurasian.Palearctic","Iberia.N.Africa",0,0.125576665023884,0.565110132208178,9.49087587139398,FALSE,81
"Hawaii","Iberia.N.Africa",0,1,0.510356225038887,0.000675990341519697,FALSE,7
"N.North.America","Iberia.N.Africa",0,0.720188526644168,0.572133838655245,1.00045932031619,TRUE,13
"NE.North.America","Iberia.N.Africa",0,0.606173548473765,0.618480428220377,1.00045932031619,TRUE,19
"SE.North.America","Iberia.N.Africa",0,0.602186846550086,0.565764047967804,1.00045932031619,TRUE,14
"W.North.America","Iberia.N.Africa",1,0.194502470973998,0.392052605648974,1.00045932031619,TRUE,16
"Australia","Middle.East",0,0.499127630788469,0.223923209758158,0.0310372665988948,FALSE,71
"Eurasian.Palearctic","Middle.East",2,0.195234704256734,0.449389425240656,3.13469583486261,FALSE,75
"Hawaii","Middle.East",0,0.890389023506469,0.450131626674109,6.7345528786554e-05,FALSE,17
"N.North.America","Middle.East",0,0.645566666901031,0.465737754856809,1.34275926450563,TRUE,14
"NE.North.America","Middle.East",1,0.575088944872295,0.504797681013353,1.34275926450563,TRUE,18
"SE.North.America","Middle.East",0,0.6986953408986,0.522477564202672,1.34275926450563,TRUE,17
"W.North.America","Middle.East",1,0.347556381978673,0.215754576563632,1.34275926450563,TRUE,16
"Australia","N.North.America",1.33333333333333,1,0.559360926896975,0.957907113701793,FALSE,20
"Eurasian.Palearctic","N.North.America",2.91666666666667,0.37706075755352,0.201146958549773,13.4142694955554,FALSE,76
"Hawaii","N.North.America",0,0.952664127174441,0.381600392944853,0.00346991663103827,FALSE,4
"Australia","N.Pacific",3,0.352174385573139,0.555718918283655,0.863311792251983,FALSE,28
"Eurasian.Palearctic","N.Pacific",12,0.367505224499402,0.357318500598908,7.33622823567234,FALSE,36
"Hawaii","N.Pacific",4,0.683700131756163,0.278147382087701,0.0168564769244815,FALSE,20
