"Invaded.Range.Cluster","Geographic.Origin.Cluster","Number.of.pests","NMDS.Distance","spatauto","Climate.Distance","Cumulative.Import.Value.T","NorthAm","number_of_exotic_trees"
"Australia","Amazonia",3,0.241736659963459,0,0.539170452529178,0.0304708981667354,FALSE,61
"Eurasian.Palearctic","Amazonia",3,0.383805669665699,0,0.531971604077108,2.47157693731761,FALSE,15
"Hawaii","Amazonia",5,0.273878318148754,0,0.439195516267817,0.00109016923733444,FALSE,63
"N.North.America","Amazonia",1,0.421364020189188,2,0.551743007550478,3.07825829942522,TRUE,0
"NE.North.America","Amazonia",1,0.34379579471355,2,0.575270615747832,3.07825829942522,TRUE,0
"SE.North.America","Amazonia",2,0.275468047321383,2,0.570921153922923,3.07825829942522,TRUE,8
"W.North.America","Amazonia",2,0.306015616598677,2,0.494561317422181,3.07825829942522,TRUE,1
"Australia","C.America",2,0.218801605331963,0,0.220786289779695,0.0469525479317657,FALSE,66
"Eurasian.Palearctic","C.America",3,0.349884108868132,0,0.48175624093087,1.00208852882854,FALSE,28
"Hawaii","C.America",0,0.288306498715477,0,0.403927169466459,0.000504737987270959,FALSE,56
"N.North.America","C.America",3,0.409173633891096,6,0.496431221410394,9.75747013322342,TRUE,2
"NE.North.America","C.America",5,0.329853506840645,6,0.543472446081376,9.75747013322342,TRUE,2
"SE.North.America","C.America",5,0.267563800361405,6,0.513921354354328,9.75747013322342,TRUE,7
"W.North.America","C.America",5,0.27977552006848,5,0.298439439490525,9.75747013322342,TRUE,1
"Australia","Caribbean",0,0.229093690415748,0,0.65852073682501,0.00160454073965095,FALSE,22
"Eurasian.Palearctic","Caribbean",0,0.490664542170663,0,0.642391593851267,0.216038763634146,FALSE,5
"Hawaii","Caribbean",1,0.162404836213247,0,0.563642830369496,0.000393779443448312,FALSE,34
"N.North.America","Caribbean",0,0.53715123262378,0,0.662111567895271,0.565269842918777,TRUE,0
"NE.North.America","Caribbean",0,0.460435858194494,0,0.686692169696425,0.565269842918777,TRUE,0
"SE.North.America","Caribbean",0,0.389853213008118,0,0.701901709208732,0.565269842918777,TRUE,2
"W.North.America","Caribbean",0,0.421403179316824,0,0.62445757779941,0.565269842918777,TRUE,0
"Australia","Eurasian.Palearctic",22,0.425926249853966,0,0.549835350346976,1.32105297129184,FALSE,65
"Hawaii","Eurasian.Palearctic",3,0.615635205156008,0,0.342742972785673,0.0169236240170221,FALSE,5
