"group","latent","lhs","op","rhs","est","se","pvalue"
"all","rich","potential_richness","=~","log_numexotics",1,0,NA
"all","rich","potential_richness","=~","NMDS.Distance",-0.664080811644004,0.183023582978405,0.000285194980559345
"all","rich","potential_richness","=~","Climate.Distance",-0.917855196474889,0.205594595977232,8.0295841802247e-06
"all","rich","logNumber.of.pests","~","potential_richness",0.689629788791885,0.145694596346583,2.20797336547562e-06
"all","rich","logNumber.of.pests","~","root4_trade",0.548540684102628,0.074478580032788,1.7696955012525e-13
"all","rich","NMDS.Distance","~~","Climate.Distance",-0.0728186937753628,0.0884778360444624,0.410498772237115
"all","rich","NMDS.Distance","~~","root4_trade",-0.316518920663881,0.10272531815786,0.00206156856703932
"all","rich","log_numexotics","~~","log_numexotics",0.437335894899705,0.118681129502925,0.000228733415714943
"all","rich","NMDS.Distance","~~","NMDS.Distance",0.738288448034422,0.132050251857884,2.25809999587767e-08
"all","rich","Climate.Distance","~~","Climate.Distance",0.524188735115212,0.123975255805447,2.3559740855994e-05
"all","rich","logNumber.of.pests","~~","logNumber.of.pests",0.399268991758472,0.0763266038650018,1.68541418821277e-07
"all","rich","root4_trade","~~","root4_trade",0.988636438598883,0.14904255095026,3.28375104885481e-11
"all","rich","potential_richness","~~","potential_richness",0.551300575411039,0.166147932612162,0.000906220313325212
"all","rich","log_numexotics","~1","",-2.967020621966e-17,0.105992949503447,1
"all","rich","NMDS.Distance","~1","",1.72015573248404e-16,0.105605065872102,0.999999999999999
"all","rich","Climate.Distance","~1","",-9.00026454513266e-17,0.105992945971221,0.999999999999999
"all","rich","logNumber.of.pests","~1","",-9.5792766160923e-17,0.0866983810606337,0.999999999999999
"all","rich","root4_trade","~1","",-3.63199170220685e-17,0.105992947803513,1
"all","rich","log_numexotics","r2","log_numexotics",0.557637303464798,NA,NA
"all","rich","NMDS.Distance","r2","NMDS.Distance",0.247729732292468,NA,NA
"all","rich","Climate.Distance","r2","Climate.Distance",0.469786128881387,NA,NA
"all","rich","logNumber.of.pests","r2","logNumber.of.pests",0.583634733300169,NA,NA
"nam","rich","potential_richness","=~","log_numexotics",1,0,NA
