family,taxon,author,endemism,IUCN category,ThreatSearch assessed
Acanthaceae,Aphelandra formosa,(Bonpl.) Nees,no,NE,yes
Acanthaceae,Aphelandra pulcherrima,(Jacq.) Kunth,no,LC,yes
Achariaceae,Lindackeria paludosa,(Benth.) Gilg,no,LC,yes
Achariaceae,Mayna odorata,Aubl.,no,LC,yes
Achatocarpaceae,Achatocarpus microcarpus,Schinz & Autran,no,NE,no
Achatocarpaceae,Achatocarpus nigricans,Triana,no,LC,yes
Actinidiaceae,Saurauia chaparensis,Soejarto,yes,NE,yes
Actinidiaceae,Saurauia rusbyi,Britton,yes,NE,no
Actinidiaceae,Saurauia spectabilis,Hook.,yes,NE,no
Alzateaceae,Alzatea verticillata,Ruiz & Pav.,no,LC,yes
Anacardiaceae,Anacardium giganteum,Hancock ex Engl.,no,NE,yes
Anacardiaceae,Anacardium humile,A.St.-Hil.,no,NE,yes
Anacardiaceae,Anacardium occidentale,L.,no,LC,yes
Anacardiaceae,Astronium fraxinifolium,Schott,no,NE,yes
Anacardiaceae,Astronium graveolens,Jacq.,no,LC,yes
Anacardiaceae,Astronium lecointei,Ducke,no,NE,yes
Anacardiaceae,Cardenasiodendron brachypterum,(Loes.) F.A.Barkley,yes,NE,no
Anacardiaceae,Lithraea molleoides,(Vell.) Engl.,no,LC,yes
Anacardiaceae,Loxopterygium grisebachii,Hieron. & H. Lorentz,no,VU,yes
Anacardiaceae,Mauria heterophylla,Kunth,no,LC,yes
Anacardiaceae,Mauria subserrata,Loes.,no,NE,no
Anacardiaceae,Mauria thaumatophylla,Loes.,no,LC,yes
Anacardiaceae,Myracrodruon urundeuva,Allemão,no,DD,yes
Anacardiaceae,Ochoterenaea colombiana,F.A.Barkley,no,LC,yes
Anacardiaceae,Schinopsis boqueronensis,Mogni & Oakley,no,NE,yes
Anacardiaceae,Schinopsis brasiliensis,Engl.,no,LC,yes
Anacardiaceae,Schinopsis cornuta,Loes. ex Herzog,no,LC,yes
Anacardiaceae,Schinopsis lorentzii,Engl.,no,NE,yes
Anacardiaceae,Schinus fasciculata,(Griseb.) I.M. Johnst.,no,LC,yes
Anacardiaceae,Schinus meyeri,F.A. Barkley,no,VU,yes
Anacardiaceae,Schinus microphylla,I.M.Johnst.,no,LC,yes
Anacardiaceae,Schinus myrtifolia,(Griseb.) Cabrera,no,LC,yes
Anacardiaceae,Schinus pearcei,Engl.,no,DD,yes
Anacardiaceae,Schinus pilifera,I.M.Johnst.,no,NE,no
Anacardiaceae,Schinus polygama,(Cav.) Cabrera,no,LC,yes
Anacardiaceae,Schinus venturii,F.A. Barkley,no,VU,yes
Anacardiaceae,Spondias globosa,J.D.Mitch. & Daly,no,NE,yes
Anacardiaceae,Spondias mombin,L.,no,LC,yes
Anacardiaceae,Spondias purpurea,L.,no,LC,yes
Anacardiaceae,Spondias testudinis,J.D.Mitch. & Daly,no,NE,yes
Anacardiaceae,Tapirira guianensis,Aubl.,no,LC,yes
Anacardiaceae,Tapirira obtusa,(Benth.) J.D.Mitch.,no,LC,yes
Anacardiaceae,Thyrsodium bolivianum,J.D. Mitch. & D.C. Daly,no,NE,yes
Anacardiaceae,Thyrsodium rondonianum,J.D. Mitch. & D.C. Daly,no,DD,yes
Anacardiaceae,Toxicodendron striatum,(Ruiz & Pav.) Kuntze,no,LC,yes
Annonaceae,Anaxagorea brevipes,Benth.,no,LC,yes
Annonaceae,Anaxagorea dolichocarpa,Sprague & Sandwith,no,LC,yes
Annonaceae,Annona amazonica,R.E.Fr.,no,LC,yes
Annonaceae,Annona ambotay,Aubl.,no,LC,yes
Annonaceae,Annona boliviana,(R.E.Fr.) H.Rainer,yes,NT,yes
Annonaceae,Annona cherimola,Mill.,no,LC,yes
Annonaceae,Annona cordifolia,(Szyszyl.) Poepp. ex Maas & Westra,no,LC,yes
Annonaceae,Annona coriacea,Mart.,no,NE,yes
Annonaceae,Annona cornifolia,A.St.-Hil.,no,LC,yes
Annonaceae,Annona cuspidata,(Mart.) H.Rainer,no,LC,yes
Annonaceae,Annona dioica,A.St.-Hil.,no,LC,yes
Annonaceae,Annona edulis,(Triana & Planch.) H.Rainer,no,LC,yes
Annonaceae,Annona emarginata,(Schltdl.) H.Rainer,no,LC,yes
Annonaceae,Annona excellens,R.E.Fr.,no,LC,yes
Annonaceae,Annona exsucca,DC.,no,LC,yes
Annonaceae,Annona foetida,Mart.,no,LC,yes
Annonaceae,Annona fosteri,(Maas & Westra) H.Rainer,no,VU,yes
Annonaceae,Annona herzogii,(R.E.Fr.) H.Rainer,no,LC,yes
Annonaceae,Annona hypoglauca,Mart.,no,LC,yes
Annonaceae,Annona jucunda,(Diels) H.Rainer,no,LC,yes
Annonaceae,Annona macrocalyx,R.E.Fr.,no,EN,yes
Annonaceae,Annona monticola,Mart.,no,LC,yes
Annonaceae,Annona mucosa,Jacq.,no,LC,yes
Annonaceae,Annona muricata,L.,no,LC,yes
Annonaceae,Annona neoulei,H.Rainer,no,LC,yes
Annonaceae,Annona nutans,(R.E.Fr.) R.E.Fr.,no,LC,yes
Annonaceae,Annona oleifolia,Westra & H.Rainer,no,NE,yes
Annonaceae,Annona papilionella,(Diels) H.Rainer,no,LC,yes
Annonaceae,Annona reticulata,L.,no,LC,yes
Annonaceae,Annona scandens,Diels ex Pilg.,no,VU,yes
Annonaceae,Annona sericea,Dunal,no,LC,yes
Annonaceae,Annona tomentosa,R.E.Fr.,no,LC,yes
Annonaceae,Annona williamsii,(Rusby ex R.E.Fr.) H.Rainer,no,LC,yes
Annonaceae,Bocageopsis mattogrossensis,(R.E.Fr.) R.E.Fr.,no,LC,yes
Annonaceae,Bocageopsis multiflora,(Mart.) R.E.Fr.,no,LC,yes
Annonaceae,Cardiopetalum calophyllum,Schltdl.,no,LC,yes
Annonaceae,Cremastosperma confusum,Pirie,no,LC,yes
Annonaceae,Cremastosperma leiophyllum,(Diels) R.E.Fr.,yes,LC,yes
Annonaceae,Cremastosperma monospermum,(Rusby) R.E.Fr.,no,LC,yes
Annonaceae,Cymbopetalum longipes,Benth. ex Diels,no,LC,yes
Annonaceae,Duguetia flagellaris,Huber,no,LC,yes
Annonaceae,Duguetia hadrantha,(Diels) R.E.Fr.,no,LC,yes
Annonaceae,Duguetia lucida,Urb.,no,LC,yes
Annonaceae,Duguetia marcgraviana,Mart.,no,LC,yes
Annonaceae,Duguetia quitarensis,Benth.,no,LC,yes
Annonaceae,Duguetia riparia,Huber,no,LC,yes
Annonaceae,Duguetia spixiana,Mart.,no,LC,yes
Annonaceae,Ephedranthus boliviensis,Chatrou & Pirie,no,VU,yes
Annonaceae,Guatteria beckii,Maas & Westra,no,LC,yes
Annonaceae,Guatteria blepharophylla,Mart.,no,LC,yes
Annonaceae,Guatteria citriodora,Ducke,no,LC,yes
Annonaceae,Guatteria discolor,R.E.Fr.,no,LC,yes
Annonaceae,Guatteria duodecima,Maas & Westra,no,LC,yes
Annonaceae,Guatteria dura,R.E.Fr.,no,LC,yes
Annonaceae,Guatteria foliosa,Benth.,no,LC,yes
Annonaceae,Guatteria hirsuta,Ruiz & Pav.,no,LC,yes
Annonaceae,Guatteria maypurensis,Kunth,no,LC,yes
Annonaceae,Guatteria megalophylla,Diels,no,LC,yes
Annonaceae,Guatteria oblongifolia,Rusby,yes,LC,yes
Annonaceae,Guatteria punctata,(Aubl.) R.A.Howard,no,LC,yes
Annonaceae,Guatteria sanctae-crucis,Maas & Westra,no,VU,yes
Annonaceae,Guatteria schomburgkiana,Mart.,no,LC,yes
Annonaceae,Guatteria subsessilis,Mart.,no,LC,yes
Annonaceae,Guatteria tomentosa,Rusby,no,LC,yes
Annonaceae,Guatteria ucayalina,Huber,no,LC,yes
Annonaceae,Klarobelia inundata,Chatrou,no,LC,yes
Annonaceae,Klarobelia pandoensis,Chatrou,no,NE,no
Annonaceae,Malmea dielsiana,Saff. ex R.E. Fr.,no,LC,yes
Annonaceae,Mosannona parva,Chatrou,no,LC,yes
Annonaceae,Onychopetalum periquino,(Rusby) D.M.Johnson & N.A.Murray,no,LC,yes
Annonaceae,Oxandra espintana,(Spruce ex Benth.) Baill.,no,LC,yes
Annonaceae,Oxandra saxicola,Maas & Junikka,no,NT,yes
Annonaceae,Oxandra xylopioides,Diels,no,LC,yes
Annonaceae,Porcelia nitidifolia,Ruiz & Pav.,no,LC,yes
Annonaceae,Porcelia ponderosa,(Rusby) Rusby,no,LC,yes
Annonaceae,Porcelia steinbachii,(Diels) R.E. Fr.,yes,VU,yes
Annonaceae,Pseudomalmea diclina,(R.E. Fr.) Chatrou,no,LC,yes
Annonaceae,Pseudoxandra lucida,R.E.Fr.,no,LC,yes
Annonaceae,Pseudoxandra polyphleba,(Diels) R.E. Fr.,no,LC,yes
Annonaceae,Ruizodendron ovale,(Ruiz & Pav.) R.E. Fr.,no,LC,yes
Annonaceae,Trigynaea duckei,(R.E.Fr.) R.E.Fr.,no,LC,yes
Annonaceae,Unonopsis floribunda,Diels,no,LC,yes
Annonaceae,Unonopsis guatterioides,(A.DC.) R.E.Fr.,no,LC,yes
Annonaceae,Unonopsis spectabilis,Diels,no,LC,yes
Annonaceae,Xylopia aromatica,(Lam.) Mart.,no,LC,yes
Annonaceae,Xylopia benthamii,R.E.Fr.,no,LC,yes
Annonaceae,Xylopia cuspidata,Diels,no,LC,yes
Annonaceae,Xylopia emarginata,Mart.,no,LC,yes
Annonaceae,Xylopia frutescens,Aubl.,no,LC,yes
Annonaceae,Xylopia ligustrifolia,Dunal,no,LC,yes
Annonaceae,Xylopia multiflora,R.E.Fr.,no,LC,yes
Annonaceae,Xylopia peruviana,R.E.Fr.,no,VU,yes
Annonaceae,Xylopia sericea,A.St.-Hil.,no,LC,yes
Annonaceae,Xylopia spruceana,Benth. ex Spruce,no,LC,yes
Apocynaceae,Aspidosperma australe,Müll.Arg.,no,LC,yes
Apocynaceae,Aspidosperma carapanauba,Pichon,no,LC,yes
Apocynaceae,Aspidosperma cuspa,(Kunth) S.F.Blake ex Pittier,no,LC,yes
Apocynaceae,Aspidosperma cylindrocarpon,Müll.Arg.,no,LC,yes
Apocynaceae,Aspidosperma desmanthum,Benth. ex Müll.Arg.,no,LC,yes
Apocynaceae,Aspidosperma excelsum,Benth.,no,LC,yes
Apocynaceae,Aspidosperma macrocarpon,Mart.,no,LC,yes
Apocynaceae,Aspidosperma nobile,Müll.Arg.,no,NE,yes
Apocynaceae,Aspidosperma parvifolium,A.DC.,no,NE,no
Apocynaceae,Aspidosperma pyrifolium,Mart.,no,LC,yes
Apocynaceae,Aspidosperma quebracho-blanco,Schltdl.,no,LC,yes
Apocynaceae,Aspidosperma quirandy,Hassl.,no,NE,yes
Apocynaceae,Aspidosperma ramiflorum,Müll.Arg.,no,LC,yes
Apocynaceae,Aspidosperma resonans,H.J.Will. & Goyder,yes,NE,yes
Apocynaceae,Aspidosperma rigidum,Rusby,no,LC,yes
Apocynaceae,Aspidosperma spruceanum,Benth. ex Müll.Arg.,no,LC,yes
Apocynaceae,Aspidosperma subincanum,Mart.,no,LC,yes
Apocynaceae,Aspidosperma tomentosum,Mart.,no,LC,yes
Apocynaceae,Aspidosperma triternatum,Rojas Acosta,no,NT,yes
Apocynaceae,Cascabela thevetia,(L.) Lippold,no,LC,yes
Apocynaceae,Couma macrocarpa,Barb.Rodr.,no,LC,yes
Apocynaceae,Geissospermum reticulatum,A.H.Gentry,no,NE,no
Apocynaceae,Hancornia speciosa,Gomes,no,LC,yes
Apocynaceae,Himatanthus articulatus,(Vahl) Woodson,no,LC,yes
Apocynaceae,Himatanthus obovatus,(Müll.Arg.) Woodson,no,LC,yes
Apocynaceae,Himatanthus tarapotensis,(K.Schum. ex Markgr.) Plumel,no,LC,yes
Apocynaceae,Lacmellea arborescens,(Müll.Arg.) Markgr.,no,LC,yes
Apocynaceae,Laxoplumeria tessmannii,Markgr.,no,LC,yes
Apocynaceae,Malouetia tamaquarina,(Aubl.) A.DC.,no,LC,yes
Apocynaceae,Parahancornia fasciculata,(Poir.) Benoist,no,LC,yes
Apocynaceae,Rauvolfia andina,Markgr.,no,LC,yes
Apocynaceae,Rauvolfia ligustrina,Roem. & Schult.,no,LC,yes
Apocynaceae,Rauvolfia praecox,K.Schum. ex Markgr.,no,LC,yes
Apocynaceae,Rauvolfia schuelii,Speg.,no,NE,no
Apocynaceae,Rauvolfia sellowii,Müll.Arg.,no,NE,no
Apocynaceae,Tabernaemontana amygdalifolia,Jacq.,no,LC,yes
Apocynaceae,Tabernaemontana catharinensis,A.DC.,no,LC,yes
Apocynaceae,Tabernaemontana cymosa,Jacq.,no,LC,yes
Apocynaceae,Tabernaemontana heterophylla,Vahl,no,LC,yes
Apocynaceae,Tabernaemontana linkii,A.DC.,no,LC,yes
Apocynaceae,Tabernaemontana siphilitica,(L.f.) Leeuwenb.,no,LC,yes
Apocynaceae,Tabernaemontana vanheurckii,Müll.Arg.,no,LC,yes
Apocynaceae,Vallesia glabra,(Cav.) Link,no,LC,yes
Aquifoliaceae,Ilex affinis,Gardner,no,LC,yes
Aquifoliaceae,Ilex aggregata,(Ruiz & Pav.) Loes.,no,LC,yes
Aquifoliaceae,Ilex amboroica,Loes.,no,DD,yes
Aquifoliaceae,Ilex amplifolia,Rusby,no,NE,no
Aquifoliaceae,Ilex andicola,Loes.,no,LC,yes
Aquifoliaceae,Ilex ardisiifrons,Reissek,no,DD,yes
Aquifoliaceae,Ilex argentina,Lillo,no,DD,yes
Aquifoliaceae,Ilex boliviana,Britton,no,DD,yes
Aquifoliaceae,Ilex goudotii,Loes.,no,LC,yes
Aquifoliaceae,Ilex guayusa,Loes.,no,LC,yes
Aquifoliaceae,Ilex hippocrateoides,Kunth,no,LC,yes
Aquifoliaceae,Ilex hualgayoca,"Loizeau & see Spichiger, Rodolphe Edouard",no,LC,yes
Aquifoliaceae,Ilex inundata,Poepp. ex Reissek,no,LC,yes
Aquifoliaceae,Ilex jenmanii,Loes.,no,LC,yes
Aquifoliaceae,Ilex laurina,Kunth,no,LC,yes
Aquifoliaceae,Ilex mandonii,Loes.,no,LC,yes
Aquifoliaceae,Ilex myricoides,Kunth,no,LC,yes
Aquifoliaceae,Ilex nervosa,Triana,no,LC,yes
Aquifoliaceae,Ilex paraguariensis,A.St.-Hil.,no,NT,yes
Aquifoliaceae,Ilex pseudoebenacea,Loes.,yes,NE,no
Aquifoliaceae,Ilex sessiliflora,Triana & Planch.,no,NE,yes
Aquifoliaceae,Ilex teratopis,Loes.,no,LC,yes
Araliaceae,Aralia soratensis,Marchal,no,NE,yes
Araliaceae,Aralia warmingiana,(Marchal) J.Wen,no,LC,yes
Araliaceae,Dendropanax arboreus,(L.) Decne. & Planch.,no,NE,yes
Araliaceae,Dendropanax bolivianus,Gand.,yes,NE,no
Araliaceae,Dendropanax cuneatus,(DC.) Decne. & Planch.,no,LC,yes
Araliaceae,Dendropanax oblongifolius,Rusby,yes,NE,no
Araliaceae,Dendropanax williamsii,(Harms) Harms,no,LC,yes
Araliaceae,Didymopanax distractiflorus,Harms,no,LC,yes
Araliaceae,Didymopanax morototoni,(Aubl.) Decne. & Planch.,no,LC,yes
Araliaceae,Oreopanax artocarpoides,Standl.,no,DD,yes
Araliaceae,Oreopanax atopanthus,Harms,yes,NE,no
Araliaceae,Oreopanax boliviensis,Seem.,yes,NE,no
Araliaceae,Oreopanax capitatus,(Jacq.) Decne. & Planch.,no,LC,yes
Araliaceae,Oreopanax herzogii,Harms,yes,NE,no
Araliaceae,Oreopanax ilicifolius,Marchal,yes,NE,no
Araliaceae,Oreopanax kuntzei,Harms ex Kuntze,no,NE,no
Araliaceae,Oreopanax macrocephalus,Decne. & Planch. ex Wedd.,yes,NE,no
Araliaceae,Oreopanax membranaceus,Rusby,yes,NE,no
Araliaceae,Oreopanax pentlandianus,Decne. & Planch. ex Wedd.,yes,NE,no
Araliaceae,Oreopanax rusbyi,Britton,no,NE,no
Araliaceae,Oreopanax steinbachianus,Harms,yes,NE,no
Araliaceae,Oreopanax thaumasiophyllus,Harms,yes,EN,yes
Araliaceae,Oreopanax trollii,Harms,yes,NE,no
Araliaceae,Sciodaphyllum allocotanthum,"(Harms) Lowry, G.M.Plunkett & M.M.Mora",yes,NE,no
Araliaceae,Sciodaphyllum bangii,"(Harms) Lowry, G.M.Plunkett & M.M.Mora",yes,NE,no
Araliaceae,Sciodaphyllum buchtienii,"(Harms) Lowry, G.M.Plunkett & M.M.Mora",yes,NE,no
Araliaceae,Sciodaphyllum herzogii,"(Harms) Lowry, G.M.Plunkett & M.M.Mora",yes,NE,no
Araliaceae,Sciodaphyllum inambaricum,"(Harms) Lowry, G.M.Plunkett & M.M.Mora",no,NE,yes
