family,taxon,author,endemism,IUCN category,ThreatSearch assessed
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,no,LC,yes
Amaranthaceae,Haloxylon persicum,Bunge,no,LC,yes
Amaranthaceae,Xylosalsola richteri,(Moq.) Akhani & Roalson,no,LC,yes
Anacardiaceae,Cotinus coggygria,Scop.,no,LC,yes
Anacardiaceae,Pistacia atlantica,Desf.,no,NT,yes
Anacardiaceae,Pistacia eurycarpa,Yaltirik,no,LC,yes
Anacardiaceae,Pistacia khinjuk,Stocks,no,LC,yes
Anacardiaceae,Pistacia vera,L.,no,NT,yes
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,no,LC,yes
Apocynaceae,Periploca aphylla,Decne.,no,LC,yes
Aquifoliaceae,Ilex aquifolium,L.,no,LC,yes
Aquifoliaceae,Ilex spinigera,(Loes.) Loes.,no,NE,no
Arecaceae,Nannorrhops ritchieana,(Griff.) Aitch.,no,NE,no
Arecaceae,Phoenix dactylifera,L.,no,NE,yes
Betulaceae,Alnus djavanshirii,H.Zare,yes,CR,yes
Betulaceae,Alnus dolichocarpa,"H.Zare, Amini & Assadi",yes,CR,yes
Betulaceae,Alnus orientalis,Decne.,no,DD,yes
Betulaceae,Alnus subcordata,C.A.Mey.,no,LC,yes
Betulaceae,Betula medwediewii,Regel,no,DD,yes
Betulaceae,Betula pendula,Roth,no,LC,yes
Betulaceae,Carpinus betulus,L.,no,LC,yes
Betulaceae,Carpinus orientalis,Mill.,no,LC,yes
Betulaceae,Corylus avellana,L.,no,LC,yes
Betulaceae,Corylus colurna,L.,no,LC,yes
Bignoniaceae,Tecomella undulata,(Sm.) Seem.,no,EN,yes
Boraginaceae,Cordia crenata,Delile,no,LC,yes
Boraginaceae,Cordia myxa,L.,no,LC,yes
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,no,LC,yes
Buxaceae,Buxus sempervirens,L.,no,LC,yes
Cannabaceae,Celtis australis,L.,no,LC,yes
Cannabaceae,Celtis caucasica,Willd.,no,LC,yes
Cannabaceae,Celtis planchoniana,K.I.Chr.,no,DD,yes
Cannabaceae,Celtis tournefortii,Lam.,no,LC,yes
Capparaceae,Capparis decidua,(Forssk.) Edgew.,no,LC,yes
Capparaceae,Maerua crassifolia,Forssk.,no,LC,yes
Caprifoliaceae,Lonicera nummulariifolia,Jaub. & Spach,no,LC,yes
Celastraceae,Euonymus europaeus,L.,no,LC,yes
Celastraceae,Euonymus latifolius,(L.) Mill.,no,LC,yes
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,no,LC,yes
Cornaceae,Cornus mas,L.,no,LC,yes
Cupressaceae,Cupressus sempervirens,L.,no,LC,yes
Cupressaceae,Juniperus communis,L.,no,LC,yes
Cupressaceae,Juniperus deltoides,R.P.Adams,,,
Cupressaceae,Juniperus excelsa,M.Bieb.,no,LC,yes
Cupressaceae,Juniperus foetidissima,Willd.,no,LC,yes
Cupressaceae,Juniperus oxycedrus,L.,no,LC,yes
Cupressaceae,Juniperus seravschanica,Kom.,no,NE,yes
Elaeagnaceae,Elaeagnus angustifolia,L.,no,LC,yes
Elaeagnaceae,Hippophae rhamnoides,L.,no,LC,yes
Euphorbiaceae,Euphorbia neriifolia,L.,no,LC,yes
Fabaceae,Albizia julibrissin,Durazz.,no,NE,yes
Fabaceae,Ammodendron conollyi,Bunge ex Boiss.,no,NE,yes
Fabaceae,Anagyris foetida,L.,no,LC,yes
Fabaceae,Ceratonia siliqua,L.,no,LC,yes
Fabaceae,Dalbergia sissoo,Roxb. ex DC.,no,LC,yes
Fabaceae,Faidherbia albida,(Delile) A.Chev.,no,LC,yes
Fabaceae,Gleditsia caspica,Desf.,no,EN,yes
