family,taxon,author,endemism,IUCN category,ThreatSearch assessed
Anacardiaceae,Rhus chinensis,Mill.,no,LC,yes
Anacardiaceae,Toxicodendron trichocarpum,(Miq.) Kuntze,no,LC,yes
Anacardiaceae,Toxicodendron vernicifluum,(Stokes) F.A.Barkley,no,LC,yes
Aquifoliaceae,Ilex macropoda,Miq.,no,LC,yes
Araliaceae,Aralia elata,(Miq.) Seem.,no,LC,yes
Araliaceae,Eleutherococcus sessiliflorus,(Rupr. & Maxim.) S.Y.Hu,no,NE,yes
Araliaceae,Kalopanax septemlobus,(Thunb.) Koidz.,no,NE,yes
Betulaceae,Alnus hirsuta,(Spach) Rupr.,no,LC,yes
Betulaceae,Alnus japonica,(Thunb.) Steud.,no,LC,yes
Betulaceae,Alnus mandshurica,(Callier) Hand.-Mazz.,no,LC,yes
Betulaceae,Alnus maximowiczii,Callier,no,DD,yes
Betulaceae,Alnus vermicularis,Nakai,yes,DD,yes
Betulaceae,Betula chinensis,Maxim.,no,LC,yes
Betulaceae,Betula costata,Trautv.,no,LC,yes
Betulaceae,Betula dahurica,Pall.,no,LC,yes
Betulaceae,Betula ermanii,Cham.,no,LC,yes
Betulaceae,Betula schmidtii,Regel,no,LC,yes
Betulaceae,Carpinus cordata,Blume,no,LC,yes
Betulaceae,Carpinus laxiflora,(Siebold & Zucc.) Blume,no,DD,yes
Betulaceae,Carpinus tschonoskii,Maxim.,no,LC,yes
Betulaceae,Carpinus turczaninowii,Hance,no,LC,yes
Betulaceae,Corylus heterophylla,Fisch. ex Trautv.,no,LC,yes
Cannabaceae,Celtis bungeana,Blume,no,LC,yes
Cannabaceae,Celtis jessoensis,Koidz.,no,LC,yes
Cannabaceae,Celtis koraiensis,Nakai,no,LC,yes
Caprifoliaceae,Zabelia tyaihyonii,(Nakai) Hisauti & H.Hara,no,NE,yes
Celastraceae,Euonymus hamiltonianus,Wall.,no,LC,yes
Celastraceae,Euonymus japonicus,Thunb.,no,NE,yes
Celastraceae,Euonymus oxyphyllus,Miq.,no,NE,yes
Celastraceae,Tripterygium wilfordii,Hook.f.,no,LC,yes
Cornaceae,Alangium platanifolium,(Siebold & Zucc.) Harms,no,LC,yes
Cornaceae,Cornus controversa,Hemsl.,no,LC,yes
