family,taxon,author,endemism,IUCN category,ThreatSearch assessed
Altingiaceae,Liquidambar formosana,Hance,no,LC,yes
Anacardiaceae,Rhus chinensis,Mill.,no,LC,yes
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,no,LC,yes
Anacardiaceae,Toxicodendron sylvestre,(Siebold & Zucc.) Kuntze,no,LC,yes
Anacardiaceae,Toxicodendron trichocarpum,(Miq.) Kuntze,no,LC,yes
Anacardiaceae,Toxicodendron vernicifluum,(Stokes) F.A.Barkley,no,LC,yes
Aquifoliaceae,Ilex cornuta,Lindl. & Paxton,no,LC,yes
Aquifoliaceae,Ilex integra,Thunb.,no,NE,yes
Aquifoliaceae,Ilex macropoda,Miq.,no,LC,yes
Aquifoliaceae,Ilex rotunda,Thunb.,no,LC,yes
Araliaceae,Aralia elata,(Miq.) Seem.,no,LC,yes
Araliaceae,Dendropanax trifidus,(Thunb.) Makino ex H.Hara,no,NE,yes
Araliaceae,Eleutherococcus sessiliflorus,(Rupr. & Maxim.) S.Y.Hu,no,NE,yes
Araliaceae,Kalopanax septemlobus,(Thunb.) Koidz.,no,NE,yes
Betulaceae,Alnus hirsuta,(Spach) Rupr.,no,LC,yes
Betulaceae,Alnus japonica,(Thunb.) Steud.,no,LC,yes
Betulaceae,Alnus mandshurica,(Callier) Hand.-Mazz.,no,LC,yes
Betulaceae,Alnus maximowiczii,Callier,no,DD,yes
Betulaceae,Betula chinensis,Maxim.,no,LC,yes
Betulaceae,Betula costata,Trautv.,no,LC,yes
Betulaceae,Betula dahurica,Pall.,no,LC,yes
Betulaceae,Betula ermanii,Cham.,no,LC,yes
Betulaceae,Betula schmidtii,Regel,no,LC,yes
Betulaceae,Carpinus cordata,Blume,no,LC,yes
Betulaceae,Carpinus laxiflora,(Siebold & Zucc.) Blume,no,DD,yes
Betulaceae,Carpinus tschonoskii,Maxim.,no,LC,yes
Betulaceae,Carpinus turczaninowii,Hance,no,LC,yes
Betulaceae,Corylus heterophylla,Fisch. ex Trautv.,no,LC,yes
Betulaceae,Ostrya japonica,Sarg.,no,LC,yes
Cannabaceae,Aphananthe aspera,(Thunb.) Planch.,no,LC,yes
Cannabaceae,Celtis biondii,Pamp.,no,LC,yes
Cannabaceae,Celtis bungeana,Blume,no,LC,yes
Cannabaceae,Celtis jessoensis,Koidz.,no,LC,yes
Cannabaceae,Celtis koraiensis,Nakai,no,LC,yes
Caprifoliaceae,Zabelia tyaihyonii,(Nakai) Hisauti & H.Hara,no,NE,yes
Celastraceae,Euonymus hamiltonianus,Wall.,no,LC,yes
Celastraceae,Euonymus japonicus,Thunb.,no,NE,yes
Celastraceae,Euonymus maackii,Rupr.,no,LC,yes
Celastraceae,Euonymus oxyphyllus,Miq.,no,NE,yes
Celastraceae,Tripterygium wilfordii,Hook.f.,no,LC,yes
Clethraceae,Clethra barbinervis,Siebold & Zucc.,no,LC,yes
Cornaceae,Alangium platanifolium,(Siebold & Zucc.) Harms,no,LC,yes
Cornaceae,Cornus controversa,Hemsl.,no,LC,yes
Cornaceae,Cornus kousa,F.Buerger ex Hance,no,LC,yes
Cornaceae,Cornus macrophylla,Wall.,no,LC,yes
Cornaceae,Cornus officinalis,Siebold & Zucc.,no,NE,yes
Cupressaceae,Juniperus chinensis,L.,no,LC,yes
Cupressaceae,Juniperus communis,L.,no,LC,yes
Cupressaceae,Juniperus rigida,Siebold & Zucc.,no,LC,yes
Cupressaceae,Thuja koraiensis,Nakai,no,VU,yes
Daphniphyllaceae,Daphniphyllum macropodum,Miq.,no,LC,yes
Daphniphyllaceae,Daphniphyllum teysmannii,Kurz ex Teijsm. & Binn.,no,LC,yes
Ericaceae,Rhododendron schlippenbachii,Maxim.,no,NE,yes
Ericaceae,Rhododendron weyrichii,Maxim.,no,NE,yes
Ericaceae,Vaccinium bracteatum,Thunb.,no,LC,yes
Euphorbiaceae,Neoshirakia japonica,(Siebold & Zucc.) Esser,no,LC,yes
Fabaceae,Albizia julibrissin,Durazz.,no,NE,yes
Fabaceae,Gleditsia japonica,Miq.,no,LC,yes
Fabaceae,Maackia floribunda,(Miq.) Takeda,yes,NE,no
Fagaceae,Castanea crenata,Siebold & Zucc.,no,LC,yes
Fagaceae,Castanopsis cuspidata,(Thunb.) Schottky,no,LC,yes
Fagaceae,Castanopsis sieboldii,(Makino) Hatus.,no,LC,yes
Fagaceae,Fagus multinervis,Nakai,yes,NE,yes
Fagaceae,Quercus acuta,Thunb.,no,LC,yes
Fagaceae,Quercus acutissima,Carruth.,no,LC,yes
Fagaceae,Quercus aliena,Blume,no,LC,yes
Fagaceae,Quercus dentata,Thunb.,no,LC,yes
Fagaceae,Quercus gilva,Blume,no,LC,yes
Fagaceae,Quercus glauca,Thunb.,no,LC,yes
Fagaceae,Quercus mongolica,Fisch. ex Ledeb.,no,LC,yes
Fagaceae,Quercus myrsinifolia,Blume,no,LC,yes
Fagaceae,Quercus phillyreoides,A.Gray,no,LC,yes
Fagaceae,Quercus salicina,Blume,no,LC,yes
Fagaceae,Quercus serrata,Murray,no,LC,yes
Fagaceae,Quercus variabilis,Blume,no,LC,yes
Hamamelidaceae,Distylium racemosum,Siebold & Zucc.,no,LC,yes
Juglandaceae,Juglans cathayensis,Dode,no,NE,yes
Juglandaceae,Juglans mandshurica,Maxim.,no,NE,yes
Juglandaceae,Platycarya strobilacea,Siebold & Zucc.,no,NE,yes
Juglandaceae,Pterocarya stenoptera,C.DC.,no,LC,yes
Lamiaceae,Clerodendrum cyrtophyllum,Turcz.,no,LC,yes
Lauraceae,Cinnamomum camphora,(L.) J.Presl,no,LC,yes
Lauraceae,Cinnamomum japonicum,Siebold,no,LC,yes
Lauraceae,Cinnamomum yabunikkei,H.Ohba,no,LC,yes
Lauraceae,Lindera angustifolia,W.C. Cheng,no,LC,yes
Lauraceae,Lindera erythrocarpa,Makino,no,LC,yes
Lauraceae,Lindera glauca,(Siebold & Zucc.) Blume,no,LC,yes
Lauraceae,Lindera obtusiloba,Blume,no,LC,yes
Lauraceae,Lindera sericea,(Siebold & Zucc.) Blume,no,LC,yes
Lauraceae,Litsea coreana,H. Lév.,no,LC,yes
Lauraceae,Machilus japonica,Siebold & Zucc.,no,NE,yes
Lauraceae,Machilus thunbergii,Siebold & Zucc.,no,LC,yes
Lauraceae,Neolitsea sericea,(Blume) Koidz.,no,LC,yes
Magnoliaceae,Magnolia sieboldii,K.Koch,no,LC,yes
Malvaceae,Grewia biloba,G.Don,no,LC,yes
Malvaceae,Tilia amurensis,Rupr.,no,LC,yes
Malvaceae,Tilia mandshurica,Rupr. & Maxim.,no,LC,yes
Moraceae,Broussonetia monoica,Hance,no,NE,no
Moraceae,Broussonetia papyrifera,(L.) L'Hér. ex Vent.,no,LC,yes
Moraceae,Ficus erecta,Thunb.,no,LC,yes
Moraceae,Maclura tricuspidata,Carrière,no,LC,yes
Moraceae,Morus cathayana,Hemsl.,no,LC,yes
Moraceae,Morus indica,L.,no,NE,no
Myricaceae,Morella rubra,Lour.,no,NE,yes
Oleaceae,Chionanthus retusus,Lindl. & Paxton,no,NE,yes
Oleaceae,Fraxinus chiisanensis,Nakai,yes,EN,yes
Oleaceae,Fraxinus chinensis,Roxb.,no,LC,yes
Oleaceae,Fraxinus mandshurica,Rupr.,no,LC,yes
Oleaceae,Ligustrum japonicum,Thunb.,no,NE,yes
Oleaceae,Ligustrum ovalifolium,Hassk.,no,LC,yes
Oleaceae,Ligustrum salicinum,Nakai,no,LC,yes
Oleaceae,Osmanthus insularis,Koidz.,no,NE,yes
Oleaceae,Syringa oblata,Lindl.,no,LC,yes
Oleaceae,Syringa reticulata,(Blume) H.Hara,no,LC,yes
Pinaceae,Abies holophylla,Maxim.,no,NT,yes
Pinaceae,Abies koreana,E.H.Wilson,yes,EN,yes
Pinaceae,Pinus densiflora,Siebold & Zucc.,no,LC,yes
Pinaceae,Pinus koraiensis,Siebold & Zucc.,no,LC,yes
Pinaceae,Pinus parviflora,Siebold & Zucc.,no,LC,yes
Pinaceae,Pinus thunbergii,Parl.,no,LC,yes
Pinaceae,Tsuga sieboldii,Carrière,no,NT,yes
Rhamnaceae,Frangula crenata,(Siebold & Zucc.) Miq.,no,LC,yes
Rhamnaceae,Hovenia dulcis,Thunb.,no,LC,yes
Rhamnaceae,Paliurus ramosissimus,(Lour.) Poir.,no,NE,yes
Rhamnaceae,Rhamnella franguloides,(Maxim.) Weberb.,no,NE,yes
Rhamnaceae,Rhamnus davurica,Pall.,no,LC,yes
Rhamnaceae,Rhamnus taquetii,(H.Lév.) H.Lév.    ,yes,CR,yes
Rhamnaceae,Rhamnus utilis,Decne.,no,LC,yes
Rosaceae,Cotoneaster wilsonii,Nakai,yes,NE,yes
Rosaceae,Crataegus maximowiczii,C.K.Schneid.,no,NE,yes
Rosaceae,Crataegus pinnatifida,Bunge,no,LC,yes
Rosaceae,Malus baccata,(L.) Borkh.,no,LC,yes
Rosaceae,Malus sieboldii,(Regel) Rehder,no,NE,yes
Rosaceae,Malus toringo,(Siebold) Siebold,no,DD,yes
Rosaceae,Photinia villosa,(Thunb.) DC.,no,LC,yes
Rosaceae,Prunus armeniaca,L.,no,DD,yes
Rosaceae,Prunus buergeriana,Miq.,no,NE,yes
Rosaceae,Prunus maackii,Rupr.,no,NE,yes
Rosaceae,Prunus mandshurica,Koehne,no,DD,yes
Rosaceae,Prunus maximowiczii,Rupr.,no,LC,yes
Rosaceae,Prunus padus,L.,no,LC,yes
Rosaceae,Prunus sargentii,Rehder,no,LC,yes
Rosaceae,Prunus serrulata,Lindl.,no,NE,no
Rosaceae,Prunus sibirica,L.,no,LC,yes
Rosaceae,Prunus takesimensis,Nakai,yes,LC,yes
Rosaceae,Prunus triloba,Lindl.,no,NE,yes
Rosaceae,Pyrus ussuriensis,Maxim.,no,NE,yes
Rosaceae,Sorbus alnifolia,(Siebold & Zucc.) K.Koch,no,LC,yes
Rosaceae,Sorbus aucuparia,L.,no,LC,yes
Rosaceae,Sorbus commixta,Hedl.,no,LC,yes
Rosaceae,Spiraea insularis,"(Nakai) H.Shin, Y.D.Kim & S.H.Oh    ",no,NE,yes
Rutaceae,Orixa japonica,Thunb.,no,LC,yes
Rutaceae,Phellodendron amurense,Rupr.,no,DD,yes
Rutaceae,Tetradium daniellii,(Benn.) T.G.Hartley,no,LC,yes
Rutaceae,Zanthoxylum ailanthoides,Siebold & Zucc.,no,NE,yes
Rutaceae,Zanthoxylum armatum,DC.,no,LC,yes
Sabiaceae,Meliosma arnottiana,(Wight) Walp.,no,NE,yes
Sabiaceae,Meliosma myriantha,Siebold & Zucc.,no,LC,yes
Sabiaceae,Meliosma oldhamii,Miq.,no,LC,yes
Salicaceae,Idesia polycarpa,Maxim.,no,NE,yes
Salicaceae,Salix babylonica,L.,no,DD,yes
Salicaceae,Salix bebbiana,Sarg.,no,LC,yes
Salicaceae,Salix caprea,L.,no,LC,yes
Salicaceae,Salix cardiophylla,Trautv. & C.A.Mey.,no,LC,yes
Salicaceae,Salix chaenomeloides,Kimura,no,LC,yes
Salicaceae,Salix miyabeana,Seemen,no,LC,yes
Salicaceae,Salix nipponica,Franch. & Sav.,no,LC,yes
Salicaceae,Salix pseudopentandra,(Flod.) Flod.,no,LC,yes
Salicaceae,Salix rorida,Laksch.,no,LC,yes
Salicaceae,Salix schwerinii,E.L.Wolf,no,LC,yes
Salicaceae,Xylosma congesta,(Lour.) Merr.,no,NE,yes
Sapindaceae,Acer mandshuricum,Maxim.,no,LC,yes
Sapindaceae,Acer okamotoanum,Nakai,yes,VU,yes
Sapindaceae,Acer palmatum,Thunb.,no,LC,yes
Sapindaceae,Acer pictum,Thunb.,no,LC,yes
Sapindaceae,Acer pseudosieboldianum,(Pax) Kom.,no,LC,yes
Sapindaceae,Acer takesimense,Nakai,yes,VU,yes
Sapindaceae,Acer tataricum,L.,no,LC,yes
Sapindaceae,Acer tegmentosum,Maxim.,no,LC,yes
Sapindaceae,Acer triflorum,Kom.,no,LC,yes
Sapindaceae,Acer truncatum,Bunge,no,LC,yes
Sapindaceae,Acer ukurunduense,Trautv. & C.A.Mey.,no,LC,yes
Sapindaceae,Sapindus mukorossi,Gaertn.,no,LC,yes
Sapindaceae,Xanthoceras sorbifolium,Bunge,no,NE,yes
Simaroubaceae,Picrasma quassioides,(D.Don) Benn.,no,NE,yes
Staphyleaceae,Staphylea bumalda,DC.,no,LC,yes
Staphyleaceae,Staphylea japonica,(Thunb.) Mabb.,no,LC,yes
Styracaceae,Styrax japonicus,Siebold & Zucc.,no,LC,yes
Styracaceae,Styrax obassis,Siebold & Zucc.,no,LC,yes
Symplocaceae,Symplocos paniculata,(Thunb.) Miq.,no,NE,yes
Symplocaceae,Symplocos sumuntia,Buch.-Ham. ex D. Don,no,NE,yes
Tamaricaceae,Tamarix ramosissima,Ledeb.,no,LC,yes
Taxaceae,Cephalotaxus harringtonii,(Knight ex J.Forbes) K.Koch,no,LC,yes
Taxaceae,Taxus cuspidata,Siebold & Zucc.,no,LC,yes
Taxaceae,Torreya nucifera,(L.) Siebold & Zucc.,no,LC,yes
Theaceae,Camellia japonica,L.,no,LC,yes
Theaceae,Stewartia pseudocamellia,Maxim.,no,LC,yes
Ulmaceae,Hemiptelea davidii,(Hance) Planch.,no,LC,yes
Ulmaceae,Ulmus davidiana,Planch.,no,LC,yes
Ulmaceae,Ulmus laciniata,(Herder) Mayr ex Schwapp.,no,LC,yes
Ulmaceae,Ulmus macrocarpa,Hance,no,LC,yes
Ulmaceae,Ulmus parvifolia,Jacq.,no,LC,yes
Ulmaceae,Ulmus pumila,L.,no,LC,yes
