family,taxon,author,endemism,IUCN category,ThreatSearch assessed
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,no,LC,yes
Actinidiaceae,Saurauia tristyla,DC.,no,LC,yes
Akaniaceae,Bretschneidera sinensis,Hemsl.,no,EN,yes
Altingiaceae,Liquidambar formosana,Hance,no,LC,yes
Anacardiaceae,Buchanania arborescens,(Blume) Blume,no,LC,yes
Anacardiaceae,Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill,no,LC,yes
Anacardiaceae,Pistacia chinensis,Bunge,no,LC,yes
Anacardiaceae,Rhus chinensis,Mill.,no,LC,yes
Anacardiaceae,Rhus hypoleuca,Champ. ex Benth.,no,NE,yes
Anacardiaceae,Semecarpus cuneiformis,Blanco,no,NE,yes
Anacardiaceae,Semecarpus longifolius,Blume,no,LC,yes
Anacardiaceae,Toxicodendron succedaneum,(L.) Kuntze,no,LC,yes
Anacardiaceae,Toxicodendron sylvestre,(Siebold & Zucc.) Kuntze,no,LC,yes
Annonaceae,Goniothalamus amuyon,(Blanco) Merr.,no,NE,yes
Annonaceae,Monoon liukiuense,(Hatus.) B.Xue & R.M.K.Saunders,yes,NE,yes
Apocynaceae,Cerbera manghas,L.,no,LC,yes
Apocynaceae,Holarrhena pubescens,Wall. ex G.Don,no,LC,yes
Apocynaceae,Rauvolfia verticillata,(Lour.) Baill.,no,NE,yes
Aquifoliaceae,Ilex arisanensis,Yamam.,yes,EN,yes
Aquifoliaceae,Ilex bioritsensis,Hayata,no,LC,yes
Aquifoliaceae,Ilex chinensis,Sims,no,LC,yes
Aquifoliaceae,Ilex cochinchinensis,(Lour.) Loes.,no,LC,yes
Aquifoliaceae,Ilex ficoidea,Hemsl.,no,LC,yes
Aquifoliaceae,Ilex formosana,Maxim.,no,LC,yes
Aquifoliaceae,Ilex goshiensis,Hayata,no,LC,yes
Aquifoliaceae,Ilex hayatana,Loes.,no,NE,yes
Aquifoliaceae,Ilex integra,Thunb.,no,NE,yes
Aquifoliaceae,Ilex kusanoi,Hayata,no,NE,yes
Aquifoliaceae,Ilex lonicerifolia,Hayata,yes,NE,yes
Aquifoliaceae,Ilex maximowicziana,Loes.,no,NE,yes
Aquifoliaceae,Ilex micrococca,Maxim.,no,LC,yes
Aquifoliaceae,Ilex pedunculosa,Miq.,no,LC,yes
Aquifoliaceae,Ilex pubescens,Hook. & Arn.,no,NE,yes
Aquifoliaceae,Ilex rarasanensis,Sasaki,yes,EN,yes
Aquifoliaceae,Ilex rotunda,Thunb.,no,LC,yes
Aquifoliaceae,Ilex sugerokii,Maxim.,no,LC,yes
Aquifoliaceae,Ilex suzukii,S.Y. Hu,yes,NE,yes
Aquifoliaceae,Ilex triflora,Blume,no,LC,yes
Aquifoliaceae,Ilex tugitakayamensis,Sasaki,yes,EN,yes
Aquifoliaceae,Ilex uraiensis,Yamam.,yes,EN,yes
Aquifoliaceae,Ilex wilsonii,Loes.,no,LC,yes
Aquifoliaceae,Ilex yunnanensis,Franch.,no,LC,yes
Araliaceae,Aralia bipinnata,Blanco,no,NE,yes
Araliaceae,Aralia castanopsiscola,(Hayata) J.Wen,yes,VU,yes
Araliaceae,Aralia elata,(Miq.) Seem.,no,LC,yes
Araliaceae,Dendropanax dentiger,(Harms) Merr.,no,NE,yes
Araliaceae,Dendropanax trifidus,(Thunb.) Makino ex H.Hara,no,NE,yes
Araliaceae,Fatsia polycarpa,Hayata,yes,NT,yes
Araliaceae,Heptapleurum taiwanianum,(Nakai) G.M.Plunkett & Lowry,yes,LC,yes
Araliaceae,Osmoxylon pectinatum,(Merr.) Philipson,no,NE,yes
Araliaceae,Sinopanax formosanus,(Hayata) H.L.Li,yes,VU,yes
Araliaceae,Tetrapanax papyrifer,(Hook.) K.Koch,no,LC,yes
Arecaceae,Arenga engleri,Becc.,yes,NE,no
Arecaceae,Livistona chinensis,(Jacq.) R.Br. ex Mart.,no,NE,yes
Arecaceae,Nypa fruticans,Wurmb,no,LC,yes
Arecaceae,Phoenix loureiroi,Kunth,no,LC,yes
Arecaceae,Pinanga tashiroi,Hayata,yes,CR,yes
Aristolochiaceae,Aristolochia acuminata,Lam.,no,NE,yes
Asteraceae,Blumea balsamifera,DC.,no,LC,yes
Asteraceae,Senecio scandens,Buch.-Ham. ex D.Don,no,LC,yes
Berberidaceae,Mahonia oiwakensis,Hayata,yes,VU,yes
Betulaceae,Alnus formosana,(Burkill) Makino,yes,LC,yes
Betulaceae,Alnus henryi,C.K.Schneid.,yes,CR,yes
Betulaceae,Carpinus hebestroma,Yamam.,yes,CR,yes
Betulaceae,Carpinus kawakamii,Hayata,no,LC,yes
Betulaceae,Carpinus rankanensis,Hayata,yes,LC,yes
Bignoniaceae,Mayodendron igneum,(Kurz) Kurz,no,NE,yes
Bignoniaceae,Oroxylum indicum,(L.) Kurz,no,NE,yes
Bignoniaceae,Radermachera sinica,(Hance) Hemsl.,no,LC,yes
Boraginaceae,Cordia kanehirai,Hayata,no,NE,yes
Boraginaceae,Ehretia acuminata,R.Br.,no,LC,yes
Boraginaceae,Ehretia dicksonii,Hance,no,LC,yes
Boraginaceae,Ehretia longiflora,Champ. ex Benth.,no,LC,yes
Boraginaceae,Ehretia philippinensis,A.DC.,no,NE,yes
Boraginaceae,Ehretia resinosa,Hance,no,NE,yes
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,no,LC,yes
Burseraceae,Garuga floribunda,Decne.,no,LC,yes
Buxaceae,Buxus liukiuensis,(Makino) Makino,no,NE,yes
Buxaceae,Buxus sinica,(Rehder & E.H.Wilson) M.Cheng,no,LC,yes
Calophyllaceae,Calophyllum blancoi,Planch. & Triana,no,NE,yes
Calophyllaceae,Calophyllum inophyllum,L.,no,LC,yes
Cannabaceae,Aphananthe aspera,(Thunb.) Planch.,no,LC,yes
Cannabaceae,Celtis biondii,Pamp.,no,LC,yes
Cannabaceae,Celtis luzonica,Warb.,no,VU,yes
Cannabaceae,Celtis philippensis,Blanco,no,LC,yes
Cannabaceae,Celtis sinensis,Pers.,no,LC,yes
Cannabaceae,Celtis tetrandra,Roxb.,no,LC,yes
Cannabaceae,Trema cannabinum,Lour.,no,LC,yes
Cannabaceae,Trema orientale,(L.) Blume,no,LC,yes
Cannabaceae,Trema tomentosum,(Roxb.) H.Hara,no,LC,yes
Cardiopteridaceae,Gonocaryum calleryanum,(Baill.) Becc.,no,NE,yes
Celastraceae,Euonymus carnosus,Hemsl.,no,LC,yes
Celastraceae,Euonymus cochinchinensis,Pierre,no,LC,yes
Celastraceae,Euonymus echinatus,Wall.,no,LC,yes
Celastraceae,Euonymus gibber,Hance,no,NE,yes
Celastraceae,Euonymus huangii,H.Y.Li & Yuen P.Yang,yes,VU,yes
Celastraceae,Euonymus laxiflorus,Champ. ex Benth.,no,LC,yes
Celastraceae,Euonymus oxyphyllus,Miq.,no,NE,yes
Celastraceae,Euonymus pallidifolius,Hayata,yes,CR,yes
Celastraceae,Gymnosporia diversifolia,Maxim.,no,LC,yes
Celastraceae,Microtropis fokienensis,Dunn,no,LC,yes
Celastraceae,Microtropis japonica,(Franch. & Sav.) Hallier f.,no,LC,yes
Celastraceae,Tripterygium wilfordii,Hook.f.,no,LC,yes
Clusiaceae,Garcinia linii,C.E.Chang,yes,EN,yes
Clusiaceae,Garcinia multiflora,Champ. ex Benth.,no,LC,yes
Clusiaceae,Garcinia subelliptica,Merr.,no,NE,yes
Combretaceae,Lumnitzera littorea,(Jack) Voigt,no,LC,yes
Combretaceae,Lumnitzera racemosa,Willd.,no,LC,yes
Combretaceae,Terminalia catappa,L.,no,LC,yes
Cornaceae,Alangium chinense,(Lour.) Harms,no,NE,yes
Cornaceae,Alangium platanifolium,(Siebold & Zucc.) Harms,no,LC,yes
Cornaceae,Cornus controversa,Hemsl.,no,LC,yes
Cornaceae,Cornus kousa,F.Buerger ex Hance,no,LC,yes
Cornaceae,Cornus macrophylla,Wall.,no,LC,yes
Cupressaceae,Calocedrus formosana,(Florin) Florin,yes,EN,yes
Cupressaceae,Chamaecyparis formosensis,Matsum.,yes,EN,yes
Cupressaceae,Chamaecyparis obtusa,(Siebold & Zucc.) Endl.,no,NT,yes
Cupressaceae,Cunninghamia konishii,Hayata,no,EN,yes
Cupressaceae,Juniperus chinensis,L.,no,LC,yes
Cupressaceae,Juniperus formosana,Hayata,no,LC,yes
Cupressaceae,Juniperus morrisonicola,Hayata,yes,NE,no
Cupressaceae,Taiwania cryptomerioides,Hayata,no,VU,yes
Cycadaceae,Cycas taitungensis,"C.F.Shen, K.D.Hill, C.H.Tsou & C.J.Chen",yes,EN,yes
Daphniphyllaceae,Daphniphyllum luzonense,Elmer,no,LC,yes
Daphniphyllaceae,Daphniphyllum macropodum,Miq.,no,LC,yes
Daphniphyllaceae,Daphniphyllum pentandrum,Hayata,no,LC,yes
Dipentodontaceae,Perrottetia arisanensis,Hayata,no,NE,yes
Ebenaceae,Diospyros discolor,Willd.,no,NE,yes
Ebenaceae,Diospyros eriantha,Champ. ex Benth.,no,NE,yes
Ebenaceae,Diospyros fengchangensis,S.Y.Lu,yes,NE,yes
Ebenaceae,Diospyros ferrea,(Willd.) Bakh.,no,NE,yes
Ebenaceae,Diospyros kotoensis,T.Yamaz.,yes,EN,yes
Ebenaceae,Diospyros maritima,Blume,no,LC,yes
Ebenaceae,Diospyros morrisiana,Hance ex Walp.,no,LC,yes
Ebenaceae,Diospyros oldhamii,Maxim.,no,NE,yes
Ebenaceae,Diospyros rhombifolia,Hemsl.,no,NE,yes
Ebenaceae,Diospyros vaccinioides,Lindl.,no,CR,yes
Elaeagnaceae,Elaeagnus oldhamii,Maxim.,no,LC,yes
Elaeagnaceae,Elaeagnus tarokoensis,S.Y.Lu & Yuen P.Yang,yes,VU,yes
Elaeocarpaceae,Elaeocarpus argenteus,Merr.,no,NE,yes
Elaeocarpaceae,Elaeocarpus hayatae,Kaneh. & Sasaki,yes,NE,yes
Elaeocarpaceae,Elaeocarpus japonicus,Siebold & Zucc.,no,LC,yes
Elaeocarpaceae,Elaeocarpus multiflorus,(Turcz.) Fern.-Vill.,no,NE,yes
Elaeocarpaceae,Sloanea dasycarpa,(Benth.) Hemsl.,no,LC,yes
Ericaceae,Lyonia ovalifolia,(Wall.) Drude,no,LC,yes
Ericaceae,Pieris japonica,(Thunb.) D. Don ex G. Don,no,LC,yes
Ericaceae,Rhododendron formosanum,Hemsl.,yes,NE,yes
Ericaceae,Rhododendron mariesii,Hemsl. & E.H. Wilson,no,LC,yes
Ericaceae,Rhododendron morii,Hayata,yes,NE,yes
Ericaceae,Vaccinium bracteatum,Thunb.,no,LC,yes
Ericaceae,Vaccinium dunalianum,Wight,no,LC,yes
Ericaceae,Vaccinium kengii,C.E. Chang,yes,NE,yes
Ericaceae,Vaccinium wrightii,A. Gray,no,LC,yes
Euphorbiaceae,Acalypha angatensis,Blanco,no,NE,yes
Euphorbiaceae,Acalypha cardiophylla,Merr.,no,LC,yes
Euphorbiaceae,Acalypha caturus,Blume,no,LC,yes
Euphorbiaceae,Acalypha grandibracteata,Merr.,no,NE,no
Euphorbiaceae,Acalypha suirenbiensis,Yamam.,yes,VU,yes
Euphorbiaceae,Croton cascarilloides,Raeusch.,no,LC,yes
Euphorbiaceae,Excoecaria agallocha,L.,no,LC,yes
Euphorbiaceae,Excoecaria formosana,(Hayata) Hayata & Kawak.,no,NE,yes
Euphorbiaceae,Homalanthus fastuosus,(Linden) Fern.-Vill.,no,NE,yes
Euphorbiaceae,Homalanthus macradenius,Pax & K.Hoffm.,no,LC,yes
Euphorbiaceae,Homonoia riparia,Lour.,no,LC,yes
Euphorbiaceae,Macaranga sinensis,(Baill.) Müll.Arg.,no,NE,yes
Euphorbiaceae,Macaranga tanarius,(L.) Müll.Arg.,no,LC,yes
Euphorbiaceae,Mallotus paniculatus,(Lam.) Müll.Arg.,no,LC,yes
Euphorbiaceae,Mallotus philippensis,(Lam.) Müll.Arg.,no,LC,yes
Euphorbiaceae,Mallotus repandus,(Rottler) Müll.Arg.,no,LC,yes
