family,taxon,author,endemism,IUCN category,ThreatSearch assessed
Acanthaceae,Anisotes pubinervius,(T.Anderson) Heine,no,NE,yes
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,no,LC,yes
Acanthaceae,Barleria mirabilis,I.Darbysh. & Q.Luke,yes,VU,yes
Acanthaceae,Mimulopsis arborescens,C.B.Clarke,no,LC,yes
Acanthaceae,Sclerochiton glandulosissimus,Vollesen,yes,VU,yes
Acanthaceae,Sclerochiton obtusisepalus,C.B.Clarke,no,EN,yes
Acanthaceae,Sclerochiton uluguruensis,Vollesen,yes,EN,yes
Achariaceae,Caloncoba welwitschii,(Oliv.) Gilg,no,LC,yes
Achariaceae,Dasylepis integra,Warb.,no,LC,yes
Achariaceae,Grandidiera boivinii,Jaub.,no,LC,yes
Achariaceae,Kiggelaria africana,L.,no,LC,yes
Achariaceae,Lindackeria bukobensis,Gilg,no,NE,yes
Achariaceae,Lindackeria fragrans,(Gilg) Gilg,no,VU,yes
Achariaceae,Lindackeria schweinfurthii,Gilg,no,NE,yes
Achariaceae,Peterodendron ovatum,(Sleumer) Sleumer,yes,LC,yes
Achariaceae,Rawsonia lucida,Harv. & Sond.,no,LC,yes
Achariaceae,Xylotheca tettensis,(Klotzsch) Gilg,no,LC,yes
Amaryllidaceae,Cryptostephanus haemanthoides,Pax,no,LC,yes
Anacardiaceae,Lannea alata,(Engl.) Engl.,no,LC,yes
Anacardiaceae,Lannea antiscorbutica,(Hiern) Engl.,no,NE,yes
Anacardiaceae,Lannea asymmetrica,R.E.Fr.,no,VU,yes
Anacardiaceae,Lannea cotoneaster,(Chiov.) Sacleux,no,NE,no
Anacardiaceae,Lannea fulva,(Engl.) Engl.,no,NE,yes
Anacardiaceae,Lannea humilis,(Oliv.) Engl.,no,LC,yes
Anacardiaceae,Lannea rivae,(Chiov.) Sacleux,no,LC,yes
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,no,NE,yes
Anacardiaceae,Lannea schweinfurthii,Engl.,no,NT,yes
Anacardiaceae,Lannea triphylla,(Hochst. ex A.Rich.) Engl.,no,NE,yes
Anacardiaceae,Lannea welwitschii,(Hiern) Engl.,no,EN,yes
Anacardiaceae,Ozoroa insignis,Delile,no,LC,yes
Anacardiaceae,Ozoroa kassneri,(Engl. & Brehmer) R.Fern. & A.Fern.,no,VU,yes
Anacardiaceae,Ozoroa obovata,(Oliv.) R.Fern. & A.Fern.,no,LC,yes
Anacardiaceae,Pistacia aethiopica,Kokwaro,no,NT,yes
Anacardiaceae,Pseudospondias microcarpa,(A.Rich.) Engl.,no,VU,yes
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,no,NE,yes
Anacardiaceae,Searsia anchietae,(Ficalho & Hiern) Moffett,no,LC,yes
Anacardiaceae,Searsia brenanii,(Kokwaro) Moffett,yes,EN,yes
Anacardiaceae,Searsia crenulata,(A.Rich.) Moffett,no,NE,yes
Anacardiaceae,Searsia longipes,(Engl.) Moffett,no,LC,yes
Anacardiaceae,Searsia natalensis,(Bernh. ex C.Krauss) F.A.Barkley,no,LC,yes
Anacardiaceae,Searsia pyroides,(Burch.) Moffett,no,LC,yes
Anacardiaceae,Searsia quartiniana,(A.Rich.) A.J.Mill.,no,LC,yes
Anacardiaceae,Searsia tenuinervis,(Engl.) Moffett,no,LC,yes
Anacardiaceae,Sorindeia calantha,Mildbr.,no,VU,yes
Anacardiaceae,Sorindeia juglandifolia,(A.Rich.) Planch. ex Oliv.,no,LC,yes
Anacardiaceae,Sorindeia madagascariensis,Thouars ex DC.,no,LC,yes
Anacardiaceae,Sorindeia winkleri,Engl.,no,LC,yes
Anacardiaceae,Trichoscypha lucens,Oliv.,no,LC,yes
Anacardiaceae,Trichoscypha ulugurensis,Mildbr.,no,NE,yes
Anisophylleaceae,Anisophyllea boehmii,Engl.,no,NE,no
Anisophylleaceae,Anisophyllea obtusifolia,Engl. & Brehmer,yes,NE,yes
Anisophylleaceae,Anisophyllea pomifera,Engl. & Brehmer,no,LC,yes
Annonaceae,Annickia kummeriae,(Engl. & Diels) Setten & Maas,yes,EN,yes
Annonaceae,Annona senegalensis,Pers.,no,LC,yes
Annonaceae,Anonidium usambarense,R.E.Fr.,yes,DD,yes
Annonaceae,Artabotrys brachypetalus,Benth.,no,LC,yes
Annonaceae,Artabotrys monteiroae,Oliv.,no,LC,yes
Annonaceae,Asteranthe asterias,(S.Moore) Engl. & Diels,no,NT,yes
Annonaceae,Asteranthe lutea,Vollesen,yes,EN,yes
Annonaceae,Cleistochlamys kirkii,(Benth.) Oliv.,no,LC,yes
Annonaceae,Dielsiothamnus divaricatus,(Diels) R.E.Fr.,yes,LC,yes
Annonaceae,Greenwayodendron usambaricum,"(Verdc.) Lissambou, Hardy & Couvreur",yes,EN,yes
Annonaceae,Hexalobus monopetalus,(A.Rich.) Engl. & Diels,no,LC,yes
Annonaceae,Huberantha tanganyikensis,(Vollesen) Chaowasku,yes,EN,yes
Annonaceae,Huberantha verdcourtii,(Vollesen) Chaowasku,yes,EN,yes
Annonaceae,Isolona cauliflora,Verdc.,no,VU,yes
Annonaceae,Isolona heinsenii,Engl.,yes,VU,yes
Annonaceae,Isolona hexaloba,(Pierre) Engl. & Diels,no,LC,yes
Annonaceae,Isolona linearis,Couvreur,yes,EN,yes
Annonaceae,Lettowianthus stellatus,Diels,no,LC,yes
Annonaceae,Mischogyne iddii,Gosline & A.R.Marshall,yes,EN,yes
Annonaceae,Mkilua fragrans,Verdc.,no,VU,yes
Annonaceae,Monanthotaxis buchananii,(Engl.) Verdc.,no,NE,yes
Annonaceae,Monanthotaxis ferruginea,(Oliv.) Verdc.,no,NE,yes
Annonaceae,Monanthotaxis fornicata,(Baill.) Verdc.,no,LC,yes
Annonaceae,Monanthotaxis obovata,(Benth.) P.H.Hoekstra,no,LC,yes
Annonaceae,Monanthotaxis parvifolia,(Oliv.) Verdc.,no,LC,yes
Annonaceae,Monodora angolensis,Welw.,no,LC,yes
Annonaceae,Monodora carolinae,Couvreur        ,no,EN,yes
Annonaceae,Monodora globiflora,Couvreur,yes,LC,yes
Annonaceae,Monodora grandidieri,Baill.,no,LC,yes
Annonaceae,Monodora hastipetala,Couvreur        ,yes,EN,yes
Annonaceae,Monodora junodii,Engl. & Diels,no,LC,yes
Annonaceae,Monodora minor,Engl. & Diels,no,NT,yes
Annonaceae,Monodora myristica,(Gaertn.) Dunal,no,LC,yes
Annonaceae,Mwasumbia alba,Couvreur & D.M.Johnson,yes,VU,yes
Annonaceae,Ophrypetalum odoratum,Diels,no,NT,yes
Annonaceae,Polyceratocarpus askhambryan-iringae,A.R.Marshall & D.M.Johnson,yes,EN,yes
Annonaceae,Polyceratocarpus scheffleri,Engl. & Diels,yes,EN,yes
Annonaceae,Sanrafaelia ruffonammari,Verdc.,yes,EN,yes
Annonaceae,Sphaerocoryne gracilis,(Engl. & Diels) Verdc.,no,LC,yes
