region_id,code,name,island,OBJIDsic,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_ISO,country
1,ABW,Aruba,1,508,ARU-OO,Aruba,ARU,81,8,Southern America,ABW,Aruba
2,AGO,Angola,0,509,ANG-OO,Angola,ANG,26,2,Africa,AGO,Angola
3,AIA,Anguilla,1,510,LEE-AG,Anguilla,LEE,81,8,Southern America,AIA,Anguilla
4,ALB,Albania,0,511,ALB-OO,Albania,ALB,13,1,Europe,ALB,Albania
5,ARG.BA,Buenos Aires,0,512,AGE-BA,Buenos Aires,AGE,85,8,Southern America,ARG,Argentina
6,ARG.CA,Catamarca,0,513,AGW-CA,Catamarca,AGW,85,8,Southern America,ARG,Argentina
7,ARG.CHA,Chaco,0,514,AGE-CH,Chaco,AGE,85,8,Southern America,ARG,Argentina
8,ARG.CHU,Chubut,0,515,AGS-CB,Chubut,AGS,85,8,Southern America,ARG,Argentina
9,ARG.CO,Córdoba,0,516,AGE-CD,C¢rdoba,AGE,85,8,Southern America,ARG,Argentina
10,ARG.COR,Corrientes,0,517,AGE-CN,Corrientes,AGE,85,8,Southern America,ARG,Argentina
11,ARG.DF,Ciudad de Buenos Aires,0,518,AGE-DF,Argentina Distrito Federal,AGE,85,8,Southern America,ARG,Argentina
12,ARG.ER,Entre Ríos,0,519,AGE-ER,Entre R¡os,AGE,85,8,Southern America,ARG,Argentina
13,ARG.FO,Formosa,0,520,AGE-FO,Formosa,AGE,85,8,Southern America,ARG,Argentina
14,ARG.JU,Jujuy,0,521,AGW-JU,Jujuy,AGW,85,8,Southern America,ARG,Argentina
15,ARG.LP,La Pampa,0,522,AGE-LP,La Pampa,AGE,85,8,Southern America,ARG,Argentina
16,ARG.LR,La Rioja,0,523,AGW-LR,La Rioja,AGW,85,8,Southern America,ARG,Argentina
17,ARG.ME,Mendoza,0,524,AGW-ME,Mendoza,AGW,85,8,Southern America,ARG,Argentina
18,ARG.MI,Misiones,0,525,AGE-MI,Misiones,AGE,85,8,Southern America,ARG,Argentina
19,ARG.NE,Neuquén,0,526,AGS-NE,Neuqu‚n,AGS,85,8,Southern America,ARG,Argentina
20,ARG.RN,Río Negro,0,527,AGS-RN,Rio Negro,AGS,85,8,Southern America,ARG,Argentina
21,ARG.SA,Salta,0,528,AGW-SA,Salta,AGW,85,8,Southern America,ARG,Argentina
22,ARG.SC,Santa Cruz,0,529,AGS-SC,Santa Cruz,AGS,85,8,Southern America,ARG,Argentina
23,ARG.SE,Santiago del Estero,0,530,AGW-SE,Santiago del Estero,AGW,85,8,Southern America,ARG,Argentina
24,ARG.SF,Santa Fe,0,531,AGE-SF,Santa F‚,AGE,85,8,Southern America,ARG,Argentina
25,ARG.SJ,San Juan,0,532,AGW-SJ,San Juan,AGW,85,8,Southern America,ARG,Argentina
26,ARG.SL,San Luis,0,533,AGW-SL,San Luis,AGW,85,8,Southern America,ARG,Argentina
27,ARG.TF,Tierra del Fuego,1,534,AGS-TF,Tierra del Fuego (Argentina),AGS,85,8,Southern America,ARG,Argentina
28,ARG.TU,Tucumán,0,535,AGW-TU,Tucuman,AGW,85,8,Southern America,ARG,Argentina
29,ASM.AUU,Aunuu,1,536,SAM-AS,American Samoa,SAM,60,6,Pacific,ASM,American Samoa
30,ASM.OFU,Ofu,1,537,SAM-AS,American Samoa,SAM,60,6,Pacific,ASM,American Samoa
31,ASM.OLO,Olosega,1,538,SAM-AS,American Samoa,SAM,60,6,Pacific,ASM,American Samoa
32,ASM.SWA,Swains,1,539,TOK-SW,Swains I.,TOK,60,6,Pacific,ASM,American Samoa
33,ASM.TAU,Tau,1,540,SAM-AS,American Samoa,SAM,60,6,Pacific,ASM,American Samoa
34,ASM.TUA,Tutuila,1,541,SAM-AS,American Samoa,SAM,60,6,Pacific,ASM,American Samoa
35,ATA,Antarctica,0,542,ANT-OO,Antarctica,ANT,91,9,Antarctic,ATA,Antarctica
36,ATG.AN,Antigua,1,543,LEE-AB,Antigua-Barbuda,LEE,81,8,Southern America,ATG,Antigua and Barbuda
37,ATG.BA,Barbuda,1,544,LEE-AB,Antigua-Barbuda,LEE,81,8,Southern America,ATG,Antigua and Barbuda
38,AUS.AI,"Alexander Island (Australia, not Antarctica)",1,545,WAU-WA,Western Australia,WAU,50,5,Australasia,AUS,Australia
39,AUS.AR,Ashmore Reef,1,546,WAU-AC,Ashmore-Cartier Is.,WAU,50,5,Australasia,AUS,Australia
40,AUS.BI,Beacon Island,1,547,WAU-WA,Western Australia,WAU,50,5,Australasia,AUS,Australia
