Search type: Characteristics
Tree|Shrub|Introduced - L48|Alabama

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARDO4,,Arundo donax L.,giant reed
BEJU4,,Berberis julianae C.K. Schneid.,wintergreen barberry
BEJU4,BEJU3,"Berberis julianiae C.K. Schneid., orth. var.",
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
ILCO80,,Ilex cornuta Lindl. & Paxton,Chinese holly
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
LAIN,,Lagerstroemia indica L.,crapemyrtle
LIAM,,Ligustrum amurense Carrière,Amur privet
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LIOV,,Ligustrum ovalifolium Hassk.,California privet
LIVU,,Ligustrum vulgare L.,European privet
MALUS,,Malus Mill.,apple
MAES,,Manihot esculenta Crantz,cassava
MEAZ,,Melia azedarach L.,Chinaberrytree
MOAL,,Morus alba L.,white mulberry
NADO,,Nandina domestica Thunb.,sacred bamboo
NEOL,,Nerium oleander L.,oleander
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PUGR2,,Punica granatum L.,pomegranate
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
QUAC80,,Quercus acutissima Carruthers,sawtooth oak
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SCTE,,Schinus terebinthifolius Raddi,Brazilian peppertree
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
ULPU,,Ulmus pumila L.,Siberian elm
