Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Alaska

Symbol,Scientific Name,Common Name
CAAR18,Caragana arborescens Lam.,Siberian peashrub
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
CYSC4,Cytisus scoparius (L.) Link,Scotch broom
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,Malus Mill.,apple
PRPA5,Prunus padus L.,European bird cherry
PRVI,Prunus virginiana L.,chokecherry
SASE10,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAPE4,Salix pentandra L.,laurel willow
SOAU,Sorbus aucuparia L.,European mountain ash
