Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Alberta

Symbol,Scientific Name,Common Name
CAAR18,Caragana arborescens Lam.,Siberian peashrub
ELAN,Elaeagnus angustifolia L.,Russian olive
HIRH80,Hippophae rhamnoides L.,seaberry
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIMU80,Pinus mugo Turra,mugo pine
PINI,Pinus nigra Arnold,Austrian pine
PISY,Pinus sylvestris L.,Scots pine
PRVI,Prunus virginiana L.,chokecherry
RIAU,Ribes aureum Pursh,golden currant
SAPE4,Salix pentandra L.,laurel willow
SOAU,Sorbus aucuparia L.,European mountain ash
VIOP,Viburnum opulus L.,European cranberrybush
