Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Arizona

Symbol,Scientific Name,Common Name
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,Albizia julibrissin Durazz.,silktree
ARDO4,Arundo donax L.,giant reed
ATSE,Atriplex semibaccata R. Br.,Australian saltbush
CAGI,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
CABI8,Catalpa bignonioides Walter,southern catalpa
ELAN,Elaeagnus angustifolia L.,Russian olive
LELE10,Leucaena leucocephala (Lam.) de Wit,white leadtree
MEAZ,Melia azedarach L.,Chinaberrytree
MOAL,Morus alba L.,white mulberry
NEOL,Nerium oleander L.,oleander
OPFI,Opuntia ficus-indica (L.) Mill.,Barbary fig
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIPU,Picea pungens Engelm.,blue spruce
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
PUGR2,Punica granatum L.,pomegranate
RIAU,Ribes aureum Pursh,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SASE10,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,Salix alba L.,white willow
ULPA,Ulmus parvifolia Jacq.,Chinese elm
ULPU,Ulmus pumila L.,Siberian elm
