Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Arkansas

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
AEPA,,Aesculus pavia L.,red buckeye
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARDO4,,Arundo donax L.,giant reed
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
LAIN,,Lagerstroemia indica L.,crapemyrtle
LIAM,,Ligustrum amurense Carrière,Amur privet
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MEAZ,,Melia azedarach L.,Chinaberrytree
MOAL,,Morus alba L.,white mulberry
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYVU,,Syringa vulgaris L.,common lilac
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
