Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|British Columbia

Symbol,Scientific Name,Common Name
ACPL,Acer platanoides L.,Norway maple
ACPS,Acer pseudoplatanus L.,sycamore maple
BEPE3,Betula pendula Roth,European white birch
CAAR18,Caragana arborescens Lam.,Siberian peashrub
COHO80,Cotoneaster horizontalis Decne.,rockspray cotoneaster
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
CYSC4,Cytisus scoparius (L.) Link,Scotch broom
ELAN,Elaeagnus angustifolia L.,Russian olive
LIVU,Ligustrum vulgare L.,European privet
LUAR,Lupinus arboreus Sims,yellow bush lupine
MALUS,Malus Mill.,apple
MOAL,Morus alba L.,white mulberry
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIMU80,Pinus mugo Turra,mugo pine
PINI,Pinus nigra Arnold,Austrian pine
PISY,Pinus sylvestris L.,Scots pine
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
PYCO2,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCO,Pyrus communis L.,common pear
RIAU,Ribes aureum Pursh,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SASE10,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAPE4,Salix pentandra L.,laurel willow
SOAU,Sorbus aucuparia L.,European mountain ash
SYVU,Syringa vulgaris L.,common lilac
ULPU,Ulmus pumila L.,Siberian elm
VIOP,Viburnum opulus L.,European cranberrybush
