Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|California

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACCY2,,Acacia cyclops A. Cunn. ex G. Don,coastal wattle
ACLO,,Acacia longifolia (Andrews) Willd.,Sydney golden wattle
ACME,,Acacia melanoxylon R. Br.,blackwood
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ARDO4,,Arundo donax L.,giant reed
ATNU,,Atriplex nummularia Lindl.,bluegreen saltbush
ATSE,,Atriplex semibaccata R. Br.,Australian saltbush
CAGI,,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
CAAR18,,Caragana arborescens Lam.,Siberian peashrub
CABI8,,Catalpa bignonioides Walter,southern catalpa
COAR6,,Colutea arborescens L.,bladder senna
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CYOB2,,Cydonia oblonga Mill.,quince
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELAN,,Elaeagnus angustifolia L.,Russian olive
EUCA2,,Eucalyptus camaldulensis Dehnh.,river redgum
EUGL,,Eucalyptus globulus Labill.,Tasmanian bluegum
HYCA10,,Hypericum calycinum L.,Aaron's beard
JURE80,,Juglans regia L.,English walnut
LELE10,,Leucaena leucocephala (Lam.) de Wit,white leadtree
LIOV,,Ligustrum ovalifolium Hassk.,California privet
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
LUAR,,Lupinus arboreus Sims,yellow bush lupine
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MEAZ,,Melia azedarach L.,Chinaberrytree
MOAL,,Morus alba L.,white mulberry
NEOL,,Nerium oleander L.,oleander
OPFI,,Opuntia ficus-indica (L.) Mill.,Barbary fig
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
PITO2,,Pittosporum tobira (Thunb.) W.T. Aiton,Japanese cheesewood
PLHI,,Platanus ×hispanica Mill. ex Münchh. [occidentalis × orientalis],London planetree
PLHI,PLHY3,Platanus hybrida Brot.,
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PUGR2,,Punica granatum L.,pomegranate
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCO,,Pyrus communis L.,common pear
RIAU,,Ribes aureum Pursh,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
ROOF,,Rosmarinus officinalis L.,rosemary
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SCTE,,Schinus terebinthifolius Raddi,Brazilian peppertree
SOAU,,Sorbus aucuparia L.,European mountain ash
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
