Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Colorado

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
BEPE3,,Betula pendula Roth,European white birch
CAAR18,,Caragana arborescens Lam.,Siberian peashrub
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
COAR6,,Colutea arborescens L.,bladder senna
ELAN,,Elaeagnus angustifolia L.,Russian olive
EUBU5,,Euonymus bungeanus Maxim.,winterberry euonymus
EUBU5,EUBU6,"Euonymus bungeanum Maxim., orth. var.",
FRAL4,,Frangula alnus Mill.,glossy buckthorn
LIVU,,Ligustrum vulgare L.,European privet
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MOAL,,Morus alba L.,white mulberry
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIPU,,Picea pungens Engelm.,blue spruce
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SOAU,,Sorbus aucuparia L.,European mountain ash
SPTR2,,Spiraea trilobata L.,Asian meadowsweet
SYVU,,Syringa vulgaris L.,common lilac
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
VILA,,Viburnum lantana L.,wayfaringtree
