Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Delaware

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACPL,,Acer platanoides L.,Norway maple
ACPS,,Acer pseudoplatanus L.,sycamore maple
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
ARDO4,,Arundo donax L.,giant reed
BETH,,Berberis thunbergii DC.,Japanese barberry
CABI8,,Catalpa bignonioides Walter,southern catalpa
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
ILCR2,,Ilex crenata Thunb.,Japanese holly
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
LIOV,,Ligustrum ovalifolium Hassk.,California privet
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MOAL,,Morus alba L.,white mulberry
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PISY,,Pinus sylvestris L.,Scots pine
PITH2,,Pinus thunbergii Parl.,Japanese black pine
PITH2,PITH3,Pinus thunbergiana Franco,
PIVI2,,Pinus virginiana Mill.,Virginia pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRPA5,,Prunus padus L.,European bird cherry
PRVI,,Prunus virginiana L.,chokecherry
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SAPU2,,Salix purpurea L.,purpleosier willow
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
TACU,,Taxus cuspidata Siebold & Zucc.,Japanese yew
TIAM,,Tilia americana L.,American basswood
