Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Florida

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABGR4,,Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora],glossy abelia
AEPA,,Aesculus pavia L.,red buckeye
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ALMO,,Aleurites moluccanus (L.) Willd.,Indian walnut
ALMO,ALMO2,"Aleurites moluccana (L.) Willd., orth. var.",
ARHE12,,Araucaria heterophylla (Salisb.) Franco,Norfolk Island pine
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARDO4,,Arundo donax L.,giant reed
BAVU2,,Bambusa vulgaris Schrad. ex J.C. Wendl.,common bamboo
CACA27,,Cajanus cajan (L.) Millsp.,pigeonpea
CAPA23,,Carica papaya L.,papaya
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CACU8,,Casuarina cunninghamiana Miq.,river sheoak
CAEQ,,Casuarina equisetifolia L.,beach sheoak
CAGL11,,Casuarina glauca Siebold ex Spreng.,gray sheoak
CABI8,,Catalpa bignonioides Walter,southern catalpa
CIPA3,,Citrus ×paradisi Macfad. (pro sp.) [maxima × sinensis],grapefruit
CISI3,,Citrus ×sinensis (L.) Osbeck (pro sp.) [maxima × reticulata],sweet orange
CISI3,CISI,"Citrus sinensis (L.) Osbeck, database artifact",
CONU,,Cocos nucifera L.,coconut palm
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
DERE,,Delonix regia (Bojer ex Hook.) Raf.,royal poinciana
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUCA2,,Eucalyptus camaldulensis Dehnh.,river redgum
EUGR12,,Eucalyptus grandis W. Hill ex Maid.,grand eucalyptus
EURO2,,Eucalyptus robusta Sm.,swampmahogany
EUBU5,,Euonymus bungeanus Maxim.,winterberry euonymus
EUBU5,EUBU6,"Euonymus bungeanum Maxim., orth. var.",
GLSE2,,Gliricidia sepium (Jacq.) Kunth ex Walp.,quickstick
GRRO,,Grevillea robusta A. Cunn. ex R. Br.,silkoak
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
LAIN,,Lagerstroemia indica L.,crapemyrtle
LELE10,,Leucaena leucocephala (Lam.) de Wit,white leadtree
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LIOV,,Ligustrum ovalifolium Hassk.,California privet
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MAIN3,,Mangifera indica L.,mango
MAES,,Manihot esculenta Crantz,cassava
MAZA,,Manilkara zapota (L.) P. Royen,sapodilla
MEAZ,,Melia azedarach L.,Chinaberrytree
MEBI,,Melicoccus bijugatus Jacq.,Spanish lime
MOCI3,,Morinda citrifolia L.,Indian mulberry
MOAL,,Morus alba L.,white mulberry
NADO,,Nandina domestica Thunb.,sacred bamboo
NEOL,,Nerium oleander L.,oleander
OPFI,,Opuntia ficus-indica (L.) Mill.,Barbary fig
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
PITO2,,Pittosporum tobira (Thunb.) W.T. Aiton,Japanese cheesewood
PLOR80,,Platycladus orientalis (L.) Franco,Oriental arborvitae
POMA32,,Podocarpus macrophyllus (Thunb.) Sweet,yew plum pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PSGU,,Psidium guajava L.,guava
PUGR2,,Punica granatum L.,pomegranate
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SCTE,,Schinus terebinthifolius Raddi,Brazilian peppertree
SEGR5,,Sesbania grandiflora (L.) Poir.,vegetable hummingbird
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYCU,,Syzygium cumini (L.) Skeels,Java plum
TAIN2,,Tamarindus indica L.,tamarind
TECA,,Terminalia catappa L.,tropical almond
THPO3,,Thespesia populnea (L.) Sol. ex Corrêa,Portia tree
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
