Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Georgia

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
AEPA,,Aesculus pavia L.,red buckeye
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARDO4,,Arundo donax L.,giant reed
BETH,,Berberis thunbergii DC.,Japanese barberry
CAGI,,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEDE2,,Cedrus deodara (Roxb.) G. Don f.,Deodar cedar
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CONU,,Cocos nucifera L.,coconut palm
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
DEGR3,,Deutzia gracilis Siebold & Zucc.,slender pride of Rochester
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUBU5,,Euonymus bungeanus Maxim.,winterberry euonymus
EUBU5,EUBU6,"Euonymus bungeanum Maxim., orth. var.",
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
LAIN,,Lagerstroemia indica L.,crapemyrtle
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MEAZ,,Melia azedarach L.,Chinaberrytree
MOAL,,Morus alba L.,white mulberry
NADO,,Nandina domestica Thunb.,sacred bamboo
NEOL,,Nerium oleander L.,oleander
OPFI,,Opuntia ficus-indica (L.) Mill.,Barbary fig
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
PIVI2,,Pinus virginiana Mill.,Virginia pine
PITO2,,Pittosporum tobira (Thunb.) W.T. Aiton,Japanese cheesewood
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
QUAC80,,Quercus acutissima Carruthers,sawtooth oak
ROPS,,Robinia pseudoacacia L.,black locust
SAAL2,,Salix alba L.,white willow
SAPU2,,Salix purpurea L.,purpleosier willow
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
ZESE80,,Zelkova serrata (Thunb.) Makino,Japanese zelkova
