Search type: State

Introduced - HI|Tree|Shrub

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABELM,,Abelmoschus Medik.,okra
ABMO,,Abelmoschus moschatus Medik.,musk okra
ABMO,HIAB,Hibiscus abelmoschus L.,
ABUTI,,Abutilon Mill.,Indian mallow
ABAU,,Abutilon auritum (Wall. ex Link) Sweet,Asian Indian mallow
ABGR3,,Abutilon grandifolium (Willd.) Sweet,hairy Indian mallow
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush
ACACI,,Acacia Mill.,acacia
ACAN10,,Acacia aneura F. Muell. ex Benth.,mulga
ACCO,,Acacia confusa Merr.,small Philippine acacia
ACME80,,Acacia mearnsii De Wild.,black wattle
ACME80,ACDEM,Acacia decurrens (Wendl. f.) Willd. var. mollis Lindl.,
ACME,,Acacia melanoxylon R. Br.,blackwood
ACPA81,,Acacia parramattensis Tindale,South Wales wattle
ACANT6,,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,triangle cactus
ACTE4,,Acanthocereus tetragonus (L.) Humm.,triangle cactus
ACTE4,ACFL3,Acanthocereus floridanus Small ex Britton & Rose,
ACTE4,ACPE5,Acanthocereus pentagonus (L.) Britton & Rose,
ACTE4,CATE30,Cactus tetragonus L.,
ACTE4,CEPE4,Cereus pentagonus (L.) Haw.,
ACHYR2,,Achyranthes L.,chaff flower
ADENA,,Adenanthera L.,beadtree
ADPA,,Adenanthera pavonina L.,red beadtree
AESCH,,Aeschynomene L.,jointvetch
AGAVE,,Agave L.,agave
AGAM,,Agave americana L.,American century plant
AGAMA,,Agave americana L. ssp. americana,American century plant
AGAMA,AGAMM,Agave americana L. var. marginata Trel.,
AGAMA,AGAMM2,Agave americana L. var. mediopicta Trel.,
AGAMA,AGAMS,Agave americana L. var. striata Trel.,
AGAMA2,,Agave americana L. ssp. americana var. americana,American century plant
AGSI2,,Agave sisalana Perrine,sisal hemp
AGSI2,AGRIS,Agave rigida Mill. var. sisalana (Perrine) Engelm.,
AGERA2,,Ageratina Spach,snakeroot
AGRI2,,Ageratina riparia (Regel) R.M. King & H. Rob.,spreading snakeroot
AGRI2,EURI4,Eupatorium riparium Regel,
AILAN,,Ailanthus Desf.,ailanthus
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
AIAL,AIGL,Ailanthus glandulosa Desf.,
AIAL,TOAL4,Toxicodendron altissimum Mill.,
ALBIZ,,Albizia Durazz.,albizia
ALCH2,,Albizia chinensis (Osbeck) Merr.,Chinese albizia
ALCH2,ALST9,Albizia stipulata (Roxb.) B. Boivin,
ALLE,,Albizia lebbeck (L.) Benth.,woman's tongue
ALLE,MILE6,Mimosa lebbeck L.,
ALSA10,,Albizia saponaria (Lour.) Blume ex Miq.,whiteflower albizia
