Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Idaho

Symbol,Scientific Name,Common Name
ACPL,Acer platanoides L.,Norway maple
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
CAAR18,Caragana arborescens Lam.,Siberian peashrub
COAC2,Cotoneaster acutifolius Turcz.,Peking cotoneaster
CYSC4,Cytisus scoparius (L.) Link,Scotch broom
ELAN,Elaeagnus angustifolia L.,Russian olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
JURE80,Juglans regia L.,English walnut
KOPA,Koelreuteria paniculata Laxm.,goldenrain tree
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MOAL,Morus alba L.,white mulberry
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIPU,Picea pungens Engelm.,blue spruce
POAL7,Populus alba L.,white poplar
PRVI,Prunus virginiana L.,chokecherry
PYCO,Pyrus communis L.,common pear
RIAU,Ribes aureum Pursh,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SOAU,Sorbus aucuparia L.,European mountain ash
ULPU,Ulmus pumila L.,Siberian elm
VIOP,Viburnum opulus L.,European cranberrybush
