Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Iowa

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACGI,,Acer ginnala Maxim.,Amur maple
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
BETH,,Berberis thunbergii DC.,Japanese barberry
BEPE3,,Betula pendula Roth,European white birch
CAAR18,,Caragana arborescens Lam.,Siberian peashrub
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
FRAL4,,Frangula alnus Mill.,glossy buckthorn
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MOAL,,Morus alba L.,white mulberry
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PISY,,Pinus sylvestris L.,Scots pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRTO80,,Prunus tomentosa Thunb.,Nanking cherry
PRVI,,Prunus virginiana L.,chokecherry
PYCO,,Pyrus communis L.,common pear
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SOAU,,Sorbus aucuparia L.,European mountain ash
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYVU,,Syringa vulgaris L.,common lilac
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULPU,,Ulmus pumila L.,Siberian elm
VILA,,Viburnum lantana L.,wayfaringtree
VIOP,,Viburnum opulus L.,European cranberrybush
