Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Kansas

Symbol,Scientific Name,Common Name
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALGL2,Alnus glutinosa (L.) Gaertn.,European alder
ARDO4,Arundo donax L.,giant reed
BETH,Berberis thunbergii DC.,Japanese barberry
CABI8,Catalpa bignonioides Walter,southern catalpa
CASP8,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
ELAN,Elaeagnus angustifolia L.,Russian olive
ELUM,Elaeagnus umbellata Thunb.,autumn olive
EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
FOSU,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
KOPA,Koelreuteria paniculata Laxm.,goldenrain tree
LOMA6,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,Malus Mill.,apple
MAFL80,Malus floribunda Siebold ex Van Houtte,Japanese flowering crab apple
MOAL,Morus alba L.,white mulberry
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
PYCO,Pyrus communis L.,common pear
RIAU,Ribes aureum Pursh,golden currant
RIAUV,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SYOR,Symphoricarpos orbiculatus Moench,coralberry
SYVU,Syringa vulgaris L.,common lilac
TIAM,Tilia americana L.,American basswood
ULPU,Ulmus pumila L.,Siberian elm
