Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Kentucky

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACGI,,Acer ginnala Maxim.,Amur maple
ACPL,,Acer platanoides L.,Norway maple
ACPS,,Acer pseudoplatanus L.,sycamore maple
AEPA,,Aesculus pavia L.,red buckeye
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
ARDO4,,Arundo donax L.,giant reed
BETH,,Berberis thunbergii DC.,Japanese barberry
BEPE3,,Betula pendula Roth,European white birch
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
COAP3,,Cotoneaster apiculatus Rehder & E.H. Wilson,cranberry cotoneaster
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
FRAL4,,Frangula alnus Mill.,glossy buckthorn
GIBI2,,Ginkgo biloba L.,maidenhair tree
ILCO80,,Ilex cornuta Lindl. & Paxton,Chinese holly
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
LAIN,,Lagerstroemia indica L.,crapemyrtle
LIAM,,Ligustrum amurense Carrière,Amur privet
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LIOV,,Ligustrum ovalifolium Hassk.,California privet
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MOAL,,Morus alba L.,white mulberry
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
PIAB,,Picea abies (L.) Karst.,Norway spruce
PIVI2,,Pinus virginiana Mill.,Virginia pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYVU,,Syringa vulgaris L.,common lilac
TACU,,Taxus cuspidata Siebold & Zucc.,Japanese yew
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
VILA,,Viburnum lantana L.,wayfaringtree
VIOP,,Viburnum opulus L.,European cranberrybush
