Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Louisiana

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
AEPA,,Aesculus pavia L.,red buckeye
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARDO4,,Arundo donax L.,giant reed
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CISI3,,Citrus ×sinensis (L.) Osbeck (pro sp.) [maxima × reticulata],sweet orange
CISI3,CISI,"Citrus sinensis (L.) Osbeck, database artifact",
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CRJA3,,Cryptomeria japonica (L. f.) D. Don,Japanese cedar
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
ILCR2,,Ilex crenata Thunb.,Japanese holly
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
LAIN,,Lagerstroemia indica L.,crapemyrtle
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LIVU,,Ligustrum vulgare L.,European privet
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MAFL80,,Malus floribunda Siebold ex Van Houtte,Japanese flowering crab apple
MEAZ,,Melia azedarach L.,Chinaberrytree
MOAL,,Morus alba L.,white mulberry
NADO,,Nandina domestica Thunb.,sacred bamboo
NEOL,,Nerium oleander L.,oleander
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PSGU,,Psidium guajava L.,guava
PUGR2,,Punica granatum L.,pomegranate
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
QUAC80,,Quercus acutissima Carruthers,sawtooth oak
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
