Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Maine

Symbol,Scientific Name,Common Name
ACGI,Acer ginnala Maxim.,Amur maple
ACPL,Acer platanoides L.,Norway maple
ACPS,Acer pseudoplatanus L.,sycamore maple
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
BETH,Berberis thunbergii DC.,Japanese barberry
BEPE3,Betula pendula Roth,European white birch
CAAR18,Caragana arborescens Lam.,Siberian peashrub
CABI8,Catalpa bignonioides Walter,southern catalpa
CASP8,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CLKE,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
CRPH,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CYSC4,Cytisus scoparius (L.) Link,Scotch broom
ELAN,Elaeagnus angustifolia L.,Russian olive
ELUM,Elaeagnus umbellata Thunb.,autumn olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
LADE2,Larix decidua Mill.,European larch
LIAM,Ligustrum amurense Carrière,Amur privet
LIVU,Ligustrum vulgare L.,European privet
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,Malus Mill.,apple
MOAL,Morus alba L.,white mulberry
PHCO7,Philadelphus coronarius L.,sweet mock orange
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,Picea abies (L.) Karst.,Norway spruce
PIPU,Picea pungens Engelm.,blue spruce
PINI,Pinus nigra Arnold,Austrian pine
PISY,Pinus sylvestris L.,Scots pine
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
PYCO,Pyrus communis L.,common pear
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SAPU2,Salix purpurea L.,purpleosier willow
SOAU,Sorbus aucuparia L.,European mountain ash
SPJA,Spiraea japonica L. f.,Japanese meadowsweet
SYVU,Syringa vulgaris L.,common lilac
TIAM,Tilia americana L.,American basswood
TIAMH,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
TICO2,Tilia cordata Mill.,littleleaf linden
ULPA,Ulmus parvifolia Jacq.,Chinese elm
VILA,Viburnum lantana L.,wayfaringtree
VIOP,Viburnum opulus L.,European cranberrybush
