Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Manitoba

Symbol,Scientific Name,Common Name
ACGI,Acer ginnala Maxim.,Amur maple
BEPE3,Betula pendula Roth,European white birch
CAAR18,Caragana arborescens Lam.,Siberian peashrub
COAC2,Cotoneaster acutifolius Turcz.,Peking cotoneaster
ELAN,Elaeagnus angustifolia L.,Russian olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,Malus Mill.,apple
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PISY,Pinus sylvestris L.,Scots pine
POAL7,Populus alba L.,white poplar
PRVI,Prunus virginiana L.,chokecherry
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
TIAM,Tilia americana L.,American basswood
ULPU,Ulmus pumila L.,Siberian elm
VIOP,Viburnum opulus L.,European cranberrybush
