Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Minnesota

Symbol,Scientific Name,Common Name
ACGI,Acer ginnala Maxim.,Amur maple
ACPL,Acer platanoides L.,Norway maple
ALGL2,Alnus glutinosa (L.) Gaertn.,European alder
BETH,Berberis thunbergii DC.,Japanese barberry
CAAR18,Caragana arborescens Lam.,Siberian peashrub
CASP8,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
ELAN,Elaeagnus angustifolia L.,Russian olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
LADE2,Larix decidua Mill.,European larch
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,Malus Mill.,apple
MOAL,Morus alba L.,white mulberry
PHCO7,Philadelphus coronarius L.,sweet mock orange
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,Picea abies (L.) Karst.,Norway spruce
PIPU,Picea pungens Engelm.,blue spruce
PISY,Pinus sylvestris L.,Scots pine
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRTO80,Prunus tomentosa Thunb.,Nanking cherry
PRVI,Prunus virginiana L.,chokecherry
RIAU,Ribes aureum Pursh,golden currant
RIAUV,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SAPU2,Salix purpurea L.,purpleosier willow
SOAU,Sorbus aucuparia L.,European mountain ash
SYOR,Symphoricarpos orbiculatus Moench,coralberry
SYVU,Syringa vulgaris L.,common lilac
TIAM,Tilia americana L.,American basswood
ULPU,Ulmus pumila L.,Siberian elm
VIOP,Viburnum opulus L.,European cranberrybush
