Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Montana

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACPL,,Acer platanoides L.,Norway maple
CAAR18,,Caragana arborescens Lam.,Siberian peashrub
CHJA2,,Chaenomeles japonica (Thunb.) Lindl. ex Spach,Maule's quince
COAC2,,Cotoneaster acutifolius Turcz.,Peking cotoneaster
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
LIVU,,Ligustrum vulgare L.,European privet
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,,Malus Mill.,apple
MOAL,,Morus alba L.,white mulberry
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
POAL7,,Populus alba L.,white poplar
PRFR2,,Prunus fruticosa Pall.,European dwarf cherry
PRPA5,,Prunus padus L.,European bird cherry
PRTO80,,Prunus tomentosa Thunb.,Nanking cherry
PRVI,,Prunus virginiana L.,chokecherry
PYCO,,Pyrus communis L.,common pear
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SOAU,,Sorbus aucuparia L.,European mountain ash
ULPU,,Ulmus pumila L.,Siberian elm
VILA,,Viburnum lantana L.,wayfaringtree
VIOP,,Viburnum opulus L.,European cranberrybush
