Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Nebraska

Symbol,Scientific Name,Common Name
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
BETH,Berberis thunbergii DC.,Japanese barberry
CAAR18,Caragana arborescens Lam.,Siberian peashrub
CASP8,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
ELAN,Elaeagnus angustifolia L.,Russian olive
ELUM,Elaeagnus umbellata Thunb.,autumn olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
LIVU,Ligustrum vulgare L.,European privet
LOMA6,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,Malus Mill.,apple
MOAL,Morus alba L.,white mulberry
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
RIAU,Ribes aureum Pursh,golden currant
RIAUV,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SYOR,Symphoricarpos orbiculatus Moench,coralberry
TIAM,Tilia americana L.,American basswood
ULPU,Ulmus pumila L.,Siberian elm
VIOP,Viburnum opulus L.,European cranberrybush
