Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Nevada

Symbol,Scientific Name,Common Name
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
ARDO4,Arundo donax L.,giant reed
ATSE,Atriplex semibaccata R. Br.,Australian saltbush
CAGI,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
COAR6,Colutea arborescens L.,bladder senna
ELAN,Elaeagnus angustifolia L.,Russian olive
MALUS,Malus Mill.,apple
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
RIAU,Ribes aureum Pursh,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SASE10,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,Salix alba L.,white willow
ULPA,Ulmus parvifolia Jacq.,Chinese elm
ULPU,Ulmus pumila L.,Siberian elm
