Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|New Brunswick

Symbol,Scientific Name,Common Name
ACGI,Acer ginnala Maxim.,Amur maple
ACPL,Acer platanoides L.,Norway maple
ACPS,Acer pseudoplatanus L.,sycamore maple
BETH,Berberis thunbergii DC.,Japanese barberry
BEPE3,Betula pendula Roth,European white birch
CAAR18,Caragana arborescens Lam.,Siberian peashrub
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
ELAN,Elaeagnus angustifolia L.,Russian olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,Malus Mill.,apple
PHCO7,Philadelphus coronarius L.,sweet mock orange
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,Picea abies (L.) Karst.,Norway spruce
PISY,Pinus sylvestris L.,Scots pine
POAL7,Populus alba L.,white poplar
PRPA5,Prunus padus L.,European bird cherry
PRVI,Prunus virginiana L.,chokecherry
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SAPU2,Salix purpurea L.,purpleosier willow
SOAU,Sorbus aucuparia L.,European mountain ash
SYVU,Syringa vulgaris L.,common lilac
TIAM,Tilia americana L.,American basswood
TIAMH,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
TICO2,Tilia cordata Mill.,littleleaf linden
ULPU,Ulmus pumila L.,Siberian elm
VILA,Viburnum lantana L.,wayfaringtree
VIOP,Viburnum opulus L.,European cranberrybush
