Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|New Mexico

Symbol,Scientific Name,Common Name
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,Albizia julibrissin Durazz.,silktree
ARDO4,Arundo donax L.,giant reed
ATSE,Atriplex semibaccata R. Br.,Australian saltbush
CAGI,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
CAAR18,Caragana arborescens Lam.,Siberian peashrub
CASP8,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
COAR6,Colutea arborescens L.,bladder senna
ELAN,Elaeagnus angustifolia L.,Russian olive
LIVU,Ligustrum vulgare L.,European privet
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,Malus Mill.,apple
MEAZ,Melia azedarach L.,Chinaberrytree
MOAL,Morus alba L.,white mulberry
OPFI,Opuntia ficus-indica (L.) Mill.,Barbary fig
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIPU,Picea pungens Engelm.,blue spruce
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
PYCO2,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCO,Pyrus communis L.,common pear
RIAU,Ribes aureum Pursh,golden currant
RIAUV,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SASE10,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,Salix alba L.,white willow
SYVU,Syringa vulgaris L.,common lilac
ULPU,Ulmus pumila L.,Siberian elm
VIOP,Viburnum opulus L.,European cranberrybush
