Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Newfoundland

Symbol,Scientific Name,Common Name
LADE2,Larix decidua Mill.,European larch
LAKA2,Larix kaempferi (Lam.) Carrière,Japanese larch
MALUS,Malus Mill.,apple
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,Picea abies (L.) Karst.,Norway spruce
PISY,Pinus sylvestris L.,Scots pine
PRVI,Prunus virginiana L.,chokecherry
SAPE4,Salix pentandra L.,laurel willow
SAPU2,Salix purpurea L.,purpleosier willow
SOAU,Sorbus aucuparia L.,European mountain ash
VIOP,Viburnum opulus L.,European cranberrybush
