Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|North Dakota

Symbol,Scientific Name,Common Name
ACGI,Acer ginnala Maxim.,Amur maple
BETH,Berberis thunbergii DC.,Japanese barberry
CAAR18,Caragana arborescens Lam.,Siberian peashrub
CABI8,Catalpa bignonioides Walter,southern catalpa
CASP8,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
ELAN,Elaeagnus angustifolia L.,Russian olive
LOMA6,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MOAL,Morus alba L.,white mulberry
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
RIAU,Ribes aureum Pursh,golden currant
RIAUV,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SOAU,Sorbus aucuparia L.,European mountain ash
TIAM,Tilia americana L.,American basswood
ULPU,Ulmus pumila L.,Siberian elm
VIOP,Viburnum opulus L.,European cranberrybush
