Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Nova Scotia

Symbol,Scientific Name,Common Name
ACPL,Acer platanoides L.,Norway maple
ACPS,Acer pseudoplatanus L.,sycamore maple
ALGL2,Alnus glutinosa (L.) Gaertn.,European alder
BETH,Berberis thunbergii DC.,Japanese barberry
BEPE3,Betula pendula Roth,European white birch
CHJA2,Chaenomeles japonica (Thunb.) Lindl. ex Spach,Maule's quince
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
CYSC4,Cytisus scoparius (L.) Link,Scotch broom
ELAN,Elaeagnus angustifolia L.,Russian olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
LADE2,Larix decidua Mill.,European larch
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,Malus Mill.,apple
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,Picea abies (L.) Karst.,Norway spruce
PIPU,Picea pungens Engelm.,blue spruce
PISY,Pinus sylvestris L.,Scots pine
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
PYCO,Pyrus communis L.,common pear
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SAPU2,Salix purpurea L.,purpleosier willow
SOAU,Sorbus aucuparia L.,European mountain ash
SPJA,Spiraea japonica L. f.,Japanese meadowsweet
SPPR,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYVU,Syringa vulgaris L.,common lilac
TICO2,Tilia cordata Mill.,littleleaf linden
VIOP,Viburnum opulus L.,European cranberrybush
