Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Oregon

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACPL,,Acer platanoides L.,Norway maple
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
BEPE3,,Betula pendula Roth,European white birch
CAAR18,,Caragana arborescens Lam.,Siberian peashrub
CABI8,,Catalpa bignonioides Walter,southern catalpa
COHO80,,Cotoneaster horizontalis Decne.,rockspray cotoneaster
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CYOB2,,Cydonia oblonga Mill.,quince
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
HYCA10,,Hypericum calycinum L.,Aaron's beard
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
LUAR,,Lupinus arboreus Sims,yellow bush lupine
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MAFL80,,Malus floribunda Siebold ex Van Houtte,Japanese flowering crab apple
MATO6,,Malus toringo (Siebold) Siebold ex de Vriese,toringo crab
MATO6,MASI80,Malus sieboldii (Regel) Rehder,
MOAL,,Morus alba L.,white mulberry
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCO,,Pyrus communis L.,common pear
RIAU,,Ribes aureum Pursh,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
ROOF,,Rosmarinus officinalis L.,rosemary
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SOAU,,Sorbus aucuparia L.,European mountain ash
SYVU,,Syringa vulgaris L.,common lilac
ULPU,,Ulmus pumila L.,Siberian elm
