Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Pennsylvania

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACGI,,Acer ginnala Maxim.,Amur maple
ACPL,,Acer platanoides L.,Norway maple
ACPS,,Acer pseudoplatanus L.,sycamore maple
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
BETH,,Berberis thunbergii DC.,Japanese barberry
BEPE3,,Betula pendula Roth,European white birch
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CHJA2,,Chaenomeles japonica (Thunb.) Lindl. ex Spach,Maule's quince
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
COAR6,,Colutea arborescens L.,bladder senna
COAP3,,Cotoneaster apiculatus Rehder & E.H. Wilson,cranberry cotoneaster
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CYOB2,,Cydonia oblonga Mill.,quince
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
FRAL4,,Frangula alnus Mill.,glossy buckthorn
GIBI2,,Ginkgo biloba L.,maidenhair tree
ILCR2,,Ilex crenata Thunb.,Japanese holly
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
LADE2,,Larix decidua Mill.,European larch
LAKA2,,Larix kaempferi (Lam.) Carrière,Japanese larch
LIAM,,Ligustrum amurense Carrière,Amur privet
LIOV,,Ligustrum ovalifolium Hassk.,California privet
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MASO9,,Magnolia ×soulangiana Soul.-Bod. [denudata × liliifolia],Chinese magnolia
MALUS,,Malus Mill.,apple
MAFL80,,Malus floribunda Siebold ex Van Houtte,Japanese flowering crab apple
MATO6,,Malus toringo (Siebold) Siebold ex de Vriese,toringo crab
MATO6,MASI80,Malus sieboldii (Regel) Rehder,
MOAL,,Morus alba L.,white mulberry
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,,Picea abies (L.) Karst.,Norway spruce
PIPU,,Picea pungens Engelm.,blue spruce
PINI,,Pinus nigra Arnold,Austrian pine
PISY,,Pinus sylvestris L.,Scots pine
PIVI2,,Pinus virginiana Mill.,Virginia pine
PLHI,,Platanus ×hispanica Mill. ex Münchh. [occidentalis × orientalis],London planetree
PLHI,PLHY3,Platanus hybrida Brot.,
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRPA5,,Prunus padus L.,European bird cherry
PRTO80,,Prunus tomentosa Thunb.,Nanking cherry
PRVI,,Prunus virginiana L.,chokecherry
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
QUAC80,,Quercus acutissima Carruthers,sawtooth oak
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SOAU,,Sorbus aucuparia L.,European mountain ash
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYVU,,Syringa vulgaris L.,common lilac
TABA80,,Taxus baccata L.,English yew
TACU,,Taxus cuspidata Siebold & Zucc.,Japanese yew
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
VILA,,Viburnum lantana L.,wayfaringtree
VIOP,,Viburnum opulus L.,European cranberrybush
ZESE80,,Zelkova serrata (Thunb.) Makino,Japanese zelkova
