Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Prince Edward Island

Symbol,Scientific Name,Common Name
ACPL,Acer platanoides L.,Norway maple
BETH,Berberis thunbergii DC.,Japanese barberry
BEPE3,Betula pendula Roth,European white birch
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
CYSC4,Cytisus scoparius (L.) Link,Scotch broom
FRAL4,Frangula alnus Mill.,glossy buckthorn
MALUS,Malus Mill.,apple
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PISY,Pinus sylvestris L.,Scots pine
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SAPU2,Salix purpurea L.,purpleosier willow
SOAU,Sorbus aucuparia L.,European mountain ash
SYVU,Syringa vulgaris L.,common lilac
VIOP,Viburnum opulus L.,European cranberrybush
