Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Quebec

Symbol,Scientific Name,Common Name
ACPL,Acer platanoides L.,Norway maple
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
BETH,Berberis thunbergii DC.,Japanese barberry
CAAR18,Caragana arborescens Lam.,Siberian peashrub
COAC2,Cotoneaster acutifolius Turcz.,Peking cotoneaster
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
ELAN,Elaeagnus angustifolia L.,Russian olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
HIRH80,Hippophae rhamnoides L.,seaberry
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,Malus Mill.,apple
MOAL,Morus alba L.,white mulberry
PHCO7,Philadelphus coronarius L.,sweet mock orange
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,Picea abies (L.) Karst.,Norway spruce
PIMU80,Pinus mugo Turra,mugo pine
PINI,Pinus nigra Arnold,Austrian pine
PISY,Pinus sylvestris L.,Scots pine
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
RIAU,Ribes aureum Pursh,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SASE10,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SAPU2,Salix purpurea L.,purpleosier willow
SOAU,Sorbus aucuparia L.,European mountain ash
SYVU,Syringa vulgaris L.,common lilac
TIAM,Tilia americana L.,American basswood
ULPU,Ulmus pumila L.,Siberian elm
VILA,Viburnum lantana L.,wayfaringtree
VIOP,Viburnum opulus L.,European cranberrybush
