Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Rhode Island

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACPL,,Acer platanoides L.,Norway maple
ACPS,,Acer pseudoplatanus L.,sycamore maple
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
BETH,,Berberis thunbergii DC.,Japanese barberry
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
COAR6,,Colutea arborescens L.,bladder senna
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
FRAL4,,Frangula alnus Mill.,glossy buckthorn
LADE2,,Larix decidua Mill.,European larch
LIVU,,Ligustrum vulgare L.,European privet
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MOAL,,Morus alba L.,white mulberry
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,,Picea abies (L.) Karst.,Norway spruce
PISY,,Pinus sylvestris L.,Scots pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PYCO,,Pyrus communis L.,common pear
ROPS,,Robinia pseudoacacia L.,black locust
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SOAU,,Sorbus aucuparia L.,European mountain ash
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYVU,,Syringa vulgaris L.,common lilac
TIAM,,Tilia americana L.,American basswood
ULPU,,Ulmus pumila L.,Siberian elm
VIOP,,Viburnum opulus L.,European cranberrybush
