Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Saskatchewan

Symbol,Scientific Name,Common Name
ACGI,Acer ginnala Maxim.,Amur maple
CAAR18,Caragana arborescens Lam.,Siberian peashrub
COAC2,Cotoneaster acutifolius Turcz.,Peking cotoneaster
ELAN,Elaeagnus angustifolia L.,Russian olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
HIRH80,Hippophae rhamnoides L.,seaberry
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PRTO80,Prunus tomentosa Thunb.,Nanking cherry
PRVI,Prunus virginiana L.,chokecherry
RIAU,Ribes aureum Pursh,golden currant
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SOAU,Sorbus aucuparia L.,European mountain ash
SYVU,Syringa vulgaris L.,common lilac
TIAM,Tilia americana L.,American basswood
ULPU,Ulmus pumila L.,Siberian elm
VIOP,Viburnum opulus L.,European cranberrybush
