Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Utah

Symbol,Scientific Name,Common Name
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,Albizia julibrissin Durazz.,silktree
ARDO4,Arundo donax L.,giant reed
ATSE,Atriplex semibaccata R. Br.,Australian saltbush
CAGI,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
CAAR18,Caragana arborescens Lam.,Siberian peashrub
CABI8,Catalpa bignonioides Walter,southern catalpa
CASP8,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
COAR6,Colutea arborescens L.,bladder senna
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
CYSC4,Cytisus scoparius (L.) Link,Scotch broom
ELAN,Elaeagnus angustifolia L.,Russian olive
FOSU,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
KOPA,Koelreuteria paniculata Laxm.,goldenrain tree
LIVU,Ligustrum vulgare L.,European privet
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,Malus Mill.,apple
MASY2,Malus sylvestris (L.) Mill.,European crab apple
MEAZ,Melia azedarach L.,Chinaberrytree
MOAL,Morus alba L.,white mulberry
NEOL,Nerium oleander L.,oleander
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIPU,Picea pungens Engelm.,blue spruce
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRTO80,Prunus tomentosa Thunb.,Nanking cherry
PRVI,Prunus virginiana L.,chokecherry
PUGR2,Punica granatum L.,pomegranate
PYCO2,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCO,Pyrus communis L.,common pear
RIAU,Ribes aureum Pursh,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SASE10,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SOAU,Sorbus aucuparia L.,European mountain ash
SYOR,Symphoricarpos orbiculatus Moench,coralberry
SYVU,Syringa vulgaris L.,common lilac
ULPU,Ulmus pumila L.,Siberian elm
