Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Virginia

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACPL,,Acer platanoides L.,Norway maple
AEPA,,Aesculus pavia L.,red buckeye
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARDO4,,Arundo donax L.,giant reed
BETH,,Berberis thunbergii DC.,Japanese barberry
BEPE3,,Betula pendula Roth,European white birch
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
FOIN3,,Forsythia ×intermedia Zabel [suspensa × viridissima],showy forsythia
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
GIBI2,,Ginkgo biloba L.,maidenhair tree
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
LAIN,,Lagerstroemia indica L.,crapemyrtle
LADE2,,Larix decidua Mill.,European larch
LIAM,,Ligustrum amurense Carrière,Amur privet
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LIOV,,Ligustrum ovalifolium Hassk.,California privet
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MAFL80,,Malus floribunda Siebold ex Van Houtte,Japanese flowering crab apple
MATO6,,Malus toringo (Siebold) Siebold ex de Vriese,toringo crab
MATO6,MASI80,Malus sieboldii (Regel) Rehder,
MAZU2,,Malus zumi (Matsum.) Rehder,o-zumi
MAZU2,MASIZ,Malus sieboldii (Regel) Rehder var. zumi (Matsum.) Asami,
MEAZ,,Melia azedarach L.,Chinaberrytree
MOAL,,Morus alba L.,white mulberry
NADO,,Nandina domestica Thunb.,sacred bamboo
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
PIAB,,Picea abies (L.) Karst.,Norway spruce
PITH2,,Pinus thunbergii Parl.,Japanese black pine
PITH2,PITH3,Pinus thunbergiana Franco,
PIVI2,,Pinus virginiana Mill.,Virginia pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
QUAC80,,Quercus acutissima Carruthers,sawtooth oak
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYVU,,Syringa vulgaris L.,common lilac
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
VILA,,Viburnum lantana L.,wayfaringtree
VIOP,,Viburnum opulus L.,European cranberrybush
