Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Washington

Symbol,Scientific Name,Common Name
ACPL,Acer platanoides L.,Norway maple
AIAL,Ailanthus altissima (Mill.) Swingle,tree of heaven
BETH,Berberis thunbergii DC.,Japanese barberry
BEPE3,Betula pendula Roth,European white birch
CAAR18,Caragana arborescens Lam.,Siberian peashrub
COAC2,Cotoneaster acutifolius Turcz.,Peking cotoneaster
COHO80,Cotoneaster horizontalis Decne.,rockspray cotoneaster
CRMO3,Crataegus monogyna Jacq.,oneseed hawthorn
CYSC4,Cytisus scoparius (L.) Link,Scotch broom
ELAN,Elaeagnus angustifolia L.,Russian olive
ELUM,Elaeagnus umbellata Thunb.,autumn olive
FOSU,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
HYCA10,Hypericum calycinum L.,Aaron's beard
ILCR2,Ilex crenata Thunb.,Japanese holly
JURE80,Juglans regia L.,English walnut
LIOV,Ligustrum ovalifolium Hassk.,California privet
LIVU,Ligustrum vulgare L.,European privet
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
LUAR,Lupinus arboreus Sims,yellow bush lupine
MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,Malus Mill.,apple
MASA9,Malus sargentii Rehder,Sargent's apple
MOAL,Morus alba L.,white mulberry
PATO2,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRPA5,Prunus padus L.,European bird cherry
PRVI,Prunus virginiana L.,chokecherry
PYCO,Pyrus communis L.,common pear
RIAU,Ribes aureum Pursh,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SAAL2,Salix alba L.,white willow
SAPU2,Salix purpurea L.,purpleosier willow
SOAU,Sorbus aucuparia L.,European mountain ash
TABA80,Taxus baccata L.,English yew
ULPU,Ulmus pumila L.,Siberian elm
VILA,Viburnum lantana L.,wayfaringtree
VIOP,Viburnum opulus L.,European cranberrybush
