Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Wyoming

Symbol,Scientific Name,Common Name
BETH,Berberis thunbergii DC.,Japanese barberry
CAAR18,Caragana arborescens Lam.,Siberian peashrub
COAC2,Cotoneaster acutifolius Turcz.,Peking cotoneaster
ELAN,Elaeagnus angustifolia L.,Russian olive
FRAL4,Frangula alnus Mill.,glossy buckthorn
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,Malus Mill.,apple
MOAL,Morus alba L.,white mulberry
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIPU,Picea pungens Engelm.,blue spruce
POAL7,Populus alba L.,white poplar
PONI,Populus nigra L.,Lombardy poplar
PRVI,Prunus virginiana L.,chokecherry
RIAU,Ribes aureum Pursh,golden currant
RIAUV,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,Robinia pseudoacacia L.,black locust
SASE10,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,Salix alba L.,white willow
SAPE4,Salix pentandra L.,laurel willow
SOAU,Sorbus aucuparia L.,European mountain ash
ULPU,Ulmus pumila L.,Siberian elm
VILA,Viburnum lantana L.,wayfaringtree
VIOP,Viburnum opulus L.,European cranberrybush
